Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1629.020000000	1629.252349352	0.000	8000.000	0.2323	-32.64	17.09	1629.0200	S00974_20190805_154415.wav	S00974_20190805_154415.wav	Phaser
2	Spectrogram 1	1	1632.061664249	1634.089440415	0.000	8000.000	2.0278	-32.50	19.43	1632.0617	S00974_20190805_154415.wav	S00974_20190805_154415.wav	Upsweep
3	Spectrogram 1	1	1636.053848576	1638.195320689	0.000	8000.000	2.1415	-32.54	16.16	1636.0538	S00974_20190805_154415.wav	S00974_20190805_154415.wav	Downsweep
4	Spectrogram 1	1	1641.081043659	1643.151065159	0.000	8000.000	2.0700	-32.53	18.56	1641.0810	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
5	Spectrogram 1	1	1645.033874169	1647.146141009	0.000	8000.000	2.1123	-32.55	16.45	1645.0339	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
6	Spectrogram 1	1	1650.039946579	1652.131090749	0.000	8000.000	2.0911	-32.50	18.56	1650.0399	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
7	Spectrogram 1	1	1654.074376239	1656.186643079	0.000	8000.000	2.1123	-32.53	16.55	1654.0744	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
8	Spectrogram 1	1	1658.077121899	1658.330593919	0.000	8000.000	0.2535	-32.75	18.28	1658.0771	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
9	Spectrogram 1	1	1667.406218779	1671.894901599	580.000	1080.800	4.4887	-45.75	22.67	1667.4062	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
10	Spectrogram 1	1	1682.802931729	1684.338338949	143.400	470.100	1.5354	-57.29	12.74	1682.8029	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
11	Spectrogram 1	1	1685.363701289	1686.394317089	159.300	709.100	1.0306	-48.66	14.26	1685.3637	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
12	Spectrogram 1	1	1671.939519279	1678.736279029	580.000	1526.500	6.7968	-50.33	18.15	1671.9395	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
13	Spectrogram 1	1	1687.638806709	1688.412179809	326.700	756.900	0.7734	-46.13	22.70	1687.6388	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
14	Spectrogram 1	1	1689.765582729	1690.747171669	294.800	669.300	0.9816	-46.86	20.85	1689.7656	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
15	Spectrogram 1	1	1692.293917869	1693.111908649	318.700	693.200	0.8180	-50.40	20.90	1692.2939	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
16	Spectrogram 1	1	1694.809821669	1695.612939889	278.900	605.500	0.8031	-50.27	17.63	1694.8098	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
17	Spectrogram 1	1	1697.605862879	1698.468471339	294.800	701.100	0.8626	-47.20	21.74	1697.6059	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
18	Spectrogram 1	1	1700.409773909	1701.525215879	255.000	669.300	1.1154	-51.93	16.53	1700.4098	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
19	Spectrogram 1	1	1703.473521189	1704.797178999	159.300	390.400	1.3237	-55.49	13.59	1703.4735	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
20	Spectrogram 1	1	1707.025782179	1708.364312549	127.500	398.400	1.3385	-56.31	12.64	1707.0258	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
21	Spectrogram 1	1	1710.542002369	1712.088748569	127.500	398.400	1.5467	-57.41	12.59	1710.5420	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
22	Spectrogram 1	1	1734.353321659	1741.546599259	589.600	1381.600	7.1933	-54.15	12.43	1734.3533	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
23	Spectrogram 1	1	1741.714863059	1746.384183659	748.900	1593.500	4.6693	-49.24	18.70	1741.7149	S00974_20190805_154415.wav	S00974_20190805_154415.wav	
