Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	2906.460000000	2906.692349352	0.000	8000.000	0.2323	-34.06	18.98	2906.4600	S00974_20190807_223029.wav	S00974_20190807_223029.wav	Phaser
2	Spectrogram 1	1	2909.501664249	2911.529440415	0.000	8000.000	2.0278	-33.72	21.22	2909.5017	S00974_20190807_223029.wav	S00974_20190807_223029.wav	Upsweep
3	Spectrogram 1	1	2913.493848576	2915.635320689	0.000	8000.000	2.1415	-33.69	19.70	2913.4938	S00974_20190807_223029.wav	S00974_20190807_223029.wav	Downsweep
4	Spectrogram 1	1	2918.521043659	2920.591065159	0.000	8000.000	2.0700	-33.63	20.35	2918.5210	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
5	Spectrogram 1	1	2922.473874169	2924.586141009	0.000	8000.000	2.1123	-33.66	19.81	2922.4739	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
6	Spectrogram 1	1	2927.479946579	2929.571090749	0.000	8000.000	2.0911	-33.39	22.39	2927.4799	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
7	Spectrogram 1	1	2931.514376239	2933.626643079	0.000	8000.000	2.1123	-33.45	22.05	2931.5144	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
8	Spectrogram 1	1	2935.517121899	2935.770593919	0.000	8000.000	0.2535	-33.82	20.69	2935.5171	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
9	Spectrogram 1	1	2944.846218779	2949.334901599	580.000	1080.800	4.4887	-50.59	21.13	2944.8462	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
10	Spectrogram 1	1	2960.242931729	2961.778338949	143.400	470.100	1.5354	-56.04	13.00	2960.2429	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
11	Spectrogram 1	1	2962.803701289	2963.834317089	159.300	709.100	1.0306	-44.85	15.80	2962.8037	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
12	Spectrogram 1	1	2949.379519279	2956.176279029	580.000	1526.500	6.7968	-54.84	15.05	2949.3795	S00974_20190807_223029.wav	S00974_20190807_223029.wav	
