Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1367.060000000	1367.292349352	0.000	8000.000	0.2323	-32.32	17.81	1367.0600	S00974_20190808_164219.wav	S00974_20190808_164219.wav	Phaser
2	Spectrogram 1	1	1370.101664249	1372.129440415	0.000	8000.000	2.0278	-31.99	16.64	1370.1017	S00974_20190808_164219.wav	S00974_20190808_164219.wav	Upsweep
3	Spectrogram 1	1	1374.093848576	1376.235320689	0.000	8000.000	2.1415	-32.02	15.64	1374.0938	S00974_20190808_164219.wav	S00974_20190808_164219.wav	Downsweep
4	Spectrogram 1	1	1379.121043659	1381.191065159	0.000	8000.000	2.0700	-32.00	16.89	1379.1210	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
5	Spectrogram 1	1	1383.073874169	1385.186141009	0.000	8000.000	2.1123	-32.01	15.87	1383.0739	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
6	Spectrogram 1	1	1388.079946579	1390.171090749	0.000	8000.000	2.0911	-32.02	16.82	1388.0799	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
7	Spectrogram 1	1	1392.114376239	1394.226643079	0.000	8000.000	2.1123	-32.03	15.61	1392.1144	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
8	Spectrogram 1	1	1396.117121899	1396.370593919	0.000	8000.000	0.2535	-32.26	17.77	1396.1171	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
9	Spectrogram 1	1	1405.446218779	1409.934901599	580.000	1080.800	4.4887	-42.55	23.22	1405.4462	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
10	Spectrogram 1	1	1420.842931729	1422.378338949	143.400	470.100	1.5354	-54.31	13.35	1420.8429	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
11	Spectrogram 1	1	1423.403701289	1424.434317089	159.300	709.100	1.0306	-46.65	15.22	1423.4037	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
12	Spectrogram 1	1	1409.979519279	1416.776279029	580.000	1526.500	6.7968	-52.00	16.42	1409.9795	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
13	Spectrogram 1	1	1425.678806709	1426.452179809	326.700	756.900	0.7734	-41.59	23.39	1425.6788	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
14	Spectrogram 1	1	1427.805582729	1428.787171669	294.800	669.300	0.9816	-44.41	20.54	1427.8056	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
15	Spectrogram 1	1	1430.333917869	1431.151908649	318.700	693.200	0.8180	-46.18	22.20	1430.3339	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
16	Spectrogram 1	1	1432.849821669	1433.652939889	278.900	605.500	0.8031	-47.98	18.86	1432.8498	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
17	Spectrogram 1	1	1435.645862879	1436.508471339	294.800	701.100	0.8626	-42.25	22.94	1435.6459	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
18	Spectrogram 1	1	1438.449773909	1439.565215879	255.000	669.300	1.1154	-49.42	17.77	1438.4498	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
19	Spectrogram 1	1	1441.513521189	1442.837178999	159.300	390.400	1.3237	-53.06	13.02	1441.5135	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
20	Spectrogram 1	1	1445.065782179	1446.404312549	127.500	398.400	1.3385	-53.57	13.82	1445.0658	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
21	Spectrogram 1	1	1448.582002369	1450.128748569	127.500	398.400	1.5467	-55.60	13.31	1448.5820	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
22	Spectrogram 1	1	1472.393321659	1479.586599259	589.600	1381.600	7.1933	-51.20	12.29	1472.3933	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
23	Spectrogram 1	1	1479.754863059	1484.424183659	748.900	1593.500	4.6693	-52.08	17.56	1479.7549	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
24	Spectrogram 1	1	1484.811441759	1487.819157259	358.500	900.300	3.0077	-51.35	12.14	1484.8114	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
25	Spectrogram 1	1	1490.534084680	1491.375403680	661.334	980.034	0.8413	-52.97	17.98	1490.5341	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
26	Spectrogram 1	1	1492.476343418	1493.254563518	605.247	1043.447	0.7782	-47.73	22.50	1492.4763	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
27	Spectrogram 1	1	1494.384265080	1495.036287380	609.870	1024.170	0.6520	-47.29	25.42	1494.3843	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
28	Spectrogram 1	1	1496.089585914	1496.888839014	786.238	1096.938	0.7993	-58.51	17.68	1496.0896	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
29	Spectrogram 1	1	1498.111035257	1498.952354357	736.526	1007.426	0.8413	-52.34	25.09	1498.1110	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
30	Spectrogram 1	1	1501.977389459	1502.860774359	23.900	255.000	0.8834	-46.97	14.73	1501.9774	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
31	Spectrogram 1	1	1504.522379459	1505.300599559	47.800	247.000	0.7782	-47.63	18.29	1504.5224	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
32	Spectrogram 1	1	1506.857039759	1507.845589559	39.800	239.000	0.9885	-46.36	15.67	1506.8570	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
33	Spectrogram 1	1	1509.402029759	1510.390579659	31.900	247.000	0.9885	-46.13	15.89	1509.4020	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
34	Spectrogram 1	1	1511.859673559	1512.764091559	31.900	207.200	0.9044	-48.64	15.19	1511.8597	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
35	Spectrogram 1	1	1516.529000000	1516.761349352	0.000	8000.000	0.2323	-32.21	18.25	1516.5290	S00974_20190808_164219.wav	S00974_20190808_164219.wav	Phaser
36	Spectrogram 1	1	1519.570664249	1521.598440415	0.000	8000.000	2.0278	-31.98	17.04	1519.5707	S00974_20190808_164219.wav	S00974_20190808_164219.wav	Upsweep
37	Spectrogram 1	1	1523.562848576	1525.704320689	0.000	8000.000	2.1415	-32.02	15.55	1523.5628	S00974_20190808_164219.wav	S00974_20190808_164219.wav	Downsweep
38	Spectrogram 1	1	1528.590043659	1530.660065159	0.000	8000.000	2.0700	-32.03	17.07	1528.5900	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
39	Spectrogram 1	1	1532.542874169	1534.655141009	0.000	8000.000	2.1123	-32.02	15.62	1532.5429	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
40	Spectrogram 1	1	1537.548946579	1539.640090749	0.000	8000.000	2.0911	-32.02	16.78	1537.5489	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
41	Spectrogram 1	1	1541.583376239	1543.695643079	0.000	8000.000	2.1123	-32.03	15.57	1541.5834	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
42	Spectrogram 1	1	1545.586121899	1545.839593919	0.000	8000.000	0.2535	-32.25	18.62	1545.5861	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
43	Spectrogram 1	1	1554.915218779	1559.403901599	580.000	1080.800	4.4887	-42.19	23.20	1554.9152	S00974_20190808_164219.wav	S00974_20190808_164219.wav	
