Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1020.635000000	1020.867349352	0.000	8000.000	0.2323	-36.60	20.15	1020.6350	S01143_20190811_100702.wav	S01143_20190811_100702.wav	Phaser
2	Spectrogram 1	1	1023.676664249	1025.704440415	0.000	8000.000	2.0278	-34.92	21.13	1023.6767	S01143_20190811_100702.wav	S01143_20190811_100702.wav	Upsweep
3	Spectrogram 1	1	1027.668848576	1029.810320689	0.000	8000.000	2.1415	-35.38	19.23	1027.6688	S01143_20190811_100702.wav	S01143_20190811_100702.wav	Downsweep
4	Spectrogram 1	1	1032.696043659	1034.766065159	0.000	8000.000	2.0700	-35.37	21.30	1032.6960	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
5	Spectrogram 1	1	1036.648874169	1038.761141009	0.000	8000.000	2.1123	-35.42	19.37	1036.6489	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
6	Spectrogram 1	1	1041.654946579	1043.746090749	0.000	8000.000	2.0911	-35.50	20.81	1041.6549	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
7	Spectrogram 1	1	1045.689376239	1047.801643079	0.000	8000.000	2.1123	-35.52	19.12	1045.6894	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
8	Spectrogram 1	1	1049.692121899	1049.945593919	0.000	8000.000	0.2535	-36.28	19.74	1049.6921	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
9	Spectrogram 1	1	1059.021218779	1063.509901599	580.000	1080.800	4.4887	-43.08	20.19	1059.0212	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
10	Spectrogram 1	1	1074.417931729	1075.953338949	143.400	470.100	1.5354	-49.93	12.27	1074.4179	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
11	Spectrogram 1	1	1076.978701289	1078.009317089	159.300	709.100	1.0306	-45.19	13.63	1076.9787	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
12	Spectrogram 1	1	1063.554519279	1070.351279029	580.000	1526.500	6.7968	-47.72	15.37	1063.5545	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
13	Spectrogram 1	1	1079.253806709	1080.027179809	326.700	756.900	0.7734	-42.74	17.18	1079.2538	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
14	Spectrogram 1	1	1081.380582729	1082.362171669	294.800	669.300	0.9816	-43.05	17.36	1081.3806	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
15	Spectrogram 1	1	1083.908917869	1084.726908649	318.700	693.200	0.8180	-45.19	17.69	1083.9089	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
16	Spectrogram 1	1	1086.424821669	1087.227939889	278.900	605.500	0.8031	-47.24	14.72	1086.4248	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
17	Spectrogram 1	1	1089.220862879	1090.083471339	294.800	701.100	0.8626	-42.94	17.50	1089.2209	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
18	Spectrogram 1	1	1092.024773909	1093.140215879	255.000	669.300	1.1154	-47.99	13.85	1092.0248	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
19	Spectrogram 1	1	1095.088521189	1096.412178999	159.300	390.400	1.3237	-49.11	12.23	1095.0885	S01143_20190811_100702.wav	S01143_20190811_100702.wav	
