Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1026.640000000	1026.872349352	0.000	8000.000	0.2323	-33.36	19.71	Phaser
2	Spectrogram 1	1	1029.681664249	1031.709440415	0.000	8000.000	2.0278	-33.25	16.07	Upsweep
3	Spectrogram 1	1	1033.673848576	1035.815320689	0.000	8000.000	2.1415	-33.15	19.85	Downsweep
4	Spectrogram 1	1	1038.701043659	1040.771065159	0.000	8000.000	2.0700	-33.19	19.08	
5	Spectrogram 1	1	1042.653874169	1044.766141009	0.000	8000.000	2.1123	-33.29	15.10	
6	Spectrogram 1	1	1047.659946579	1049.751090749	0.000	8000.000	2.0911	-33.10	21.48	
7	Spectrogram 1	1	1051.694376239	1053.806643079	0.000	8000.000	2.1123	-33.29	14.95	
8	Spectrogram 1	1	1055.697121899	1055.950593919	0.000	8000.000	0.2535	-32.87	26.66	
9	Spectrogram 1	1	1065.026218779	1069.514901599	580.000	1080.800	4.4887	-50.76	20.45	
10	Spectrogram 1	1	1080.422931729	1081.958338949	143.400	470.100	1.5354	-55.84	12.66	
11	Spectrogram 1	1	1082.983701289	1084.014317089	159.300	709.100	1.0306	-45.62	15.22	
12	Spectrogram 1	1	1069.559519279	1076.356279029	580.000	1526.500	6.7968	-55.31	14.49	
13	Spectrogram 1	1	1085.258806709	1086.032179809	326.700	756.900	0.7734	-46.31	23.52	
14	Spectrogram 1	1	1087.385582729	1088.367171669	294.800	669.300	0.9816	-43.38	22.18	
15	Spectrogram 1	1	1089.913917869	1090.731908649	318.700	693.200	0.8180	-47.15	22.13	
16	Spectrogram 1	1	1092.429821669	1093.232939889	278.900	605.500	0.8031	-47.59	18.54	
17	Spectrogram 1	1	1095.225862879	1096.088471339	294.800	701.100	0.8626	-45.11	24.30	
18	Spectrogram 1	1	1098.029773909	1099.145215879	255.000	669.300	1.1154	-47.20	18.37	
19	Spectrogram 1	1	1101.093521189	1102.417178999	159.300	390.400	1.3237	-55.68	13.51	
20	Spectrogram 1	1	1104.645782179	1105.984312549	127.500	398.400	1.3385	-55.13	12.34	
21	Spectrogram 1	1	1108.162002369	1109.708748569	127.500	398.400	1.5467	-57.01	12.31	
22	Spectrogram 1	1	1131.973321659	1139.166599259	589.600	1381.600	7.1933	-56.16	11.85	
23	Spectrogram 1	1	1139.334863059	1144.004183659	748.900	1593.500	4.6693	-54.00	15.71	
24	Spectrogram 1	1	1144.391441759	1147.399157259	358.500	900.300	3.0077	-53.33	11.35	
25	Spectrogram 1	1	1150.114084680	1150.955403680	661.334	980.034	0.8413	-54.32	14.50	
