Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1133.698500000	1133.930849352	0.000	8000.000	0.2323	-34.97	16.53	Phaser
2	Spectrogram 1	1	1136.740164249	1138.767940415	0.000	8000.000	2.0278	-34.59	16.34	Upsweep
3	Spectrogram 1	1	1140.732348576	1142.873820689	0.000	8000.000	2.1415	-34.62	15.28	Downsweep
4	Spectrogram 1	1	1145.759543659	1147.829565159	0.000	8000.000	2.0700	-34.61	16.28	
5	Spectrogram 1	1	1149.712374169	1151.824641009	0.000	8000.000	2.1123	-34.63	15.22	
6	Spectrogram 1	1	1154.718446579	1156.809590749	0.000	8000.000	2.0911	-34.62	16.43	
7	Spectrogram 1	1	1158.752876239	1160.865143079	0.000	8000.000	2.1123	-34.64	15.06	
8	Spectrogram 1	1	1162.755621899	1163.009093919	0.000	8000.000	0.2535	-34.81	16.51	
9	Spectrogram 1	1	1172.084718779	1176.573401599	580.000	1080.800	4.4887	-51.34	20.75	
10	Spectrogram 1	1	1187.481431729	1189.016838949	143.400	470.100	1.5354	-56.10	12.81	
11	Spectrogram 1	1	1190.042201289	1191.072817089	159.300	709.100	1.0306	-45.30	15.32	
12	Spectrogram 1	1	1176.618019279	1183.414779029	580.000	1526.500	6.7968	-54.75	15.07	
13	Spectrogram 1	1	1192.317306709	1193.090679809	326.700	756.900	0.7734	-44.42	23.24	
14	Spectrogram 1	1	1194.444082729	1195.425671669	294.800	669.300	0.9816	-43.04	21.55	
15	Spectrogram 1	1	1196.972417869	1197.790408649	318.700	693.200	0.8180	-46.95	22.45	
16	Spectrogram 1	1	1199.488321669	1200.291439889	278.900	605.500	0.8031	-46.68	19.24	
17	Spectrogram 1	1	1202.284362879	1203.146971339	294.800	701.100	0.8626	-43.95	23.32	
18	Spectrogram 1	1	1205.088273909	1206.203715879	255.000	669.300	1.1154	-48.64	18.72	
19	Spectrogram 1	1	1208.152021189	1209.475678999	159.300	390.400	1.3237	-54.82	12.92	
20	Spectrogram 1	1	1211.704282179	1213.042812549	127.500	398.400	1.3385	-55.48	13.55	
21	Spectrogram 1	1	1215.220502369	1216.767248569	127.500	398.400	1.5467	-57.40	12.27	
22	Spectrogram 1	1	1239.031821659	1246.225099259	589.600	1381.600	7.1933	-54.53	11.88	
23	Spectrogram 1	1	1246.393363059	1251.062683659	748.900	1593.500	4.6693	-54.25	16.44	
24	Spectrogram 1	1	1251.449941759	1254.457657259	358.500	900.300	3.0077	-51.60	11.40	
25	Spectrogram 1	1	1257.172584680	1258.013903680	661.334	980.034	0.8413	-53.58	15.53	
26	Spectrogram 1	1	1259.114843418	1259.893063518	605.247	1043.447	0.7782	-50.80	22.27	
27	Spectrogram 1	1	1261.022765080	1261.674787380	609.870	1024.170	0.6520	-49.60	23.62	
28	Spectrogram 1	1	1262.728085914	1263.527339014	786.238	1096.938	0.7993	-61.59	16.19	
29	Spectrogram 1	1	1264.749535257	1265.590854357	736.526	1007.426	0.8413	-54.63	21.46	
30	Spectrogram 1	1	1268.615889459	1269.499274359	23.900	255.000	0.8834	-47.57	15.95	
31	Spectrogram 1	1	1271.160879459	1271.939099559	47.800	247.000	0.7782	-47.75	17.59	
32	Spectrogram 1	1	1273.495539759	1274.484089559	39.800	239.000	0.9885	-46.71	16.42	
33	Spectrogram 1	1	1276.040529759	1277.029079659	31.900	247.000	0.9885	-46.46	17.00	
34	Spectrogram 1	1	1278.498173559	1279.402591559	31.900	207.200	0.9044	-49.10	13.93	
35	Spectrogram 1	1	1283.167500000	1283.399849352	0.000	8000.000	0.2323	-34.82	16.84	Phaser
36	Spectrogram 1	1	1286.209164249	1288.236940415	0.000	8000.000	2.0278	-34.62	16.42	Upsweep
37	Spectrogram 1	1	1290.201348576	1292.342820689	0.000	8000.000	2.1415	-34.61	15.30	Downsweep
38	Spectrogram 1	1	1295.228543659	1297.298565159	0.000	8000.000	2.0700	-34.59	16.36	
39	Spectrogram 1	1	1299.181374169	1301.293641009	0.000	8000.000	2.1123	-34.64	15.27	
40	Spectrogram 1	1	1304.187446579	1306.278590749	0.000	8000.000	2.0911	-34.60	16.22	
41	Spectrogram 1	1	1308.221876239	1310.334143079	0.000	8000.000	2.1123	-34.62	15.28	
42	Spectrogram 1	1	1312.224621899	1312.478093919	0.000	8000.000	0.2535	-34.71	17.20	
43	Spectrogram 1	1	1321.553718779	1326.042401599	580.000	1080.800	4.4887	-51.25	20.87	
44	Spectrogram 1	1	1336.950431729	1338.485838949	143.400	470.100	1.5354	-55.87	12.32	
45	Spectrogram 1	1	1339.511201289	1340.541817089	159.300	709.100	1.0306	-45.22	15.95	
46	Spectrogram 1	1	1326.087019279	1332.883779029	580.000	1526.500	6.7968	-54.69	15.19	
47	Spectrogram 1	1	1341.786306709	1342.559679809	326.700	756.900	0.7734	-44.37	23.65	
48	Spectrogram 1	1	1343.913082729	1344.894671669	294.800	669.300	0.9816	-42.94	22.43	
49	Spectrogram 1	1	1346.441417869	1347.259408649	318.700	693.200	0.8180	-46.67	22.21	
50	Spectrogram 1	1	1348.957321669	1349.760439889	278.900	605.500	0.8031	-46.40	19.19	
51	Spectrogram 1	1	1351.753362879	1352.615971339	294.800	701.100	0.8626	-43.74	23.38	
52	Spectrogram 1	1	1354.557273909	1355.672715879	255.000	669.300	1.1154	-48.51	19.94	
53	Spectrogram 1	1	1357.621021189	1358.944678999	159.300	390.400	1.3237	-54.52	14.16	
54	Spectrogram 1	1	1361.173282179	1362.511812549	127.500	398.400	1.3385	-55.46	13.82	
55	Spectrogram 1	1	1364.689502369	1366.236248569	127.500	398.400	1.5467	-57.84	12.82	
56	Spectrogram 1	1	1388.500821659	1395.694099259	589.600	1381.600	7.1933	-54.35	11.96	
57	Spectrogram 1	1	1395.862363059	1400.531683659	748.900	1593.500	4.6693	-54.15	16.28	
58	Spectrogram 1	1	1400.918941759	1403.926657259	358.500	900.300	3.0077	-51.38	11.78	
59	Spectrogram 1	1	1406.641584680	1407.482903680	661.334	980.034	0.8413	-53.22	15.99	
60	Spectrogram 1	1	1408.583843418	1409.362063518	605.247	1043.447	0.7782	-50.31	21.92	
61	Spectrogram 1	1	1410.491765080	1411.143787380	609.870	1024.170	0.6520	-49.25	24.03	
62	Spectrogram 1	1	1412.197085914	1412.996339014	786.238	1096.938	0.7993	-61.06	16.29	
63	Spectrogram 1	1	1414.218535257	1415.059854357	736.526	1007.426	0.8413	-54.25	21.69	
64	Spectrogram 1	1	1418.084889459	1418.968274359	23.900	255.000	0.8834	-47.56	15.21	
65	Spectrogram 1	1	1420.629879459	1421.408099559	47.800	247.000	0.7782	-47.96	15.89	
66	Spectrogram 1	1	1422.964539759	1423.953089559	39.800	239.000	0.9885	-46.81	14.53	
67	Spectrogram 1	1	1425.509529759	1426.498079659	31.900	247.000	0.9885	-46.54	16.25	
68	Spectrogram 1	1	1427.967173559	1428.871591559	31.900	207.200	0.9044	-48.88	15.25	
69	Spectrogram 1	1	1432.598500000	1432.830849352	0.000	8000.000	0.2323	-34.76	16.66	Phaser
70	Spectrogram 1	1	1435.640164249	1437.667940415	0.000	8000.000	2.0278	-34.60	16.37	Upsweep
71	Spectrogram 1	1	1439.632348576	1441.773820689	0.000	8000.000	2.1415	-34.60	15.21	Downsweep
72	Spectrogram 1	1	1444.659543659	1446.729565159	0.000	8000.000	2.0700	-34.58	16.34	
73	Spectrogram 1	1	1448.612374169	1450.724641009	0.000	8000.000	2.1123	-34.62	15.27	
74	Spectrogram 1	1	1453.618446579	1455.709590749	0.000	8000.000	2.0911	-34.60	16.46	
75	Spectrogram 1	1	1457.652876239	1459.765143079	0.000	8000.000	2.1123	-34.62	15.19	
76	Spectrogram 1	1	1461.655621899	1461.909093919	0.000	8000.000	0.2535	-34.82	18.50	
