Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	2907.430000000	2907.662349352	0.000	8000.000	0.2323	-33.38	19.02	2907.4300	S00974_20190807_193028.wav	S00974_20190807_193028.wav	Phaser
2	Spectrogram 1	1	2910.471664249	2912.499440415	0.000	8000.000	2.0278	-33.23	18.39	2910.4717	S00974_20190807_193028.wav	S00974_20190807_193028.wav	Upsweep
3	Spectrogram 1	1	2914.463848576	2916.605320689	0.000	8000.000	2.1415	-33.26	16.28	2914.4638	S00974_20190807_193028.wav	S00974_20190807_193028.wav	Downsweep
4	Spectrogram 1	1	2919.491043659	2921.561065159	0.000	8000.000	2.0700	-33.26	17.86	2919.4910	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
5	Spectrogram 1	1	2923.443874169	2925.556141009	0.000	8000.000	2.1123	-33.31	17.13	2923.4439	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
6	Spectrogram 1	1	2928.449946579	2930.541090749	0.000	8000.000	2.0911	-33.30	18.42	2928.4499	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
7	Spectrogram 1	1	2932.484376239	2934.596643079	0.000	8000.000	2.1123	-33.19	17.98	2932.4844	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
8	Spectrogram 1	1	2936.487121899	2936.740593919	0.000	8000.000	0.2535	-33.37	18.10	2936.4871	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
9	Spectrogram 1	1	2945.816218779	2950.304901599	580.000	1080.800	4.4887	-50.50	20.92	2945.8162	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
10	Spectrogram 1	1	2961.212931729	2962.748338949	143.400	470.100	1.5354	-55.93	12.85	2961.2129	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
11	Spectrogram 1	1	2963.773701289	2964.804317089	159.300	709.100	1.0306	-44.97	15.76	2963.7737	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
12	Spectrogram 1	1	2950.349519279	2957.146279029	580.000	1526.500	6.7968	-54.72	14.96	2950.3495	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
13	Spectrogram 1	1	2966.048806709	2966.822179809	326.700	756.900	0.7734	-44.89	23.96	2966.0488	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
14	Spectrogram 1	1	2968.175582729	2969.157171669	294.800	669.300	0.9816	-41.85	22.27	2968.1756	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
15	Spectrogram 1	1	2970.703917869	2971.521908649	318.700	693.200	0.8180	-46.03	22.94	2970.7039	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
16	Spectrogram 1	1	2973.219821669	2974.022939889	278.900	605.500	0.8031	-46.36	20.76	2973.2198	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
17	Spectrogram 1	1	2976.015862879	2976.878471339	294.800	701.100	0.8626	-43.61	24.27	2976.0159	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
18	Spectrogram 1	1	2978.819773909	2979.935215879	255.000	669.300	1.1154	-48.20	18.61	2978.8198	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
19	Spectrogram 1	1	2981.883521189	2983.207178999	159.300	390.400	1.3237	-55.45	12.46	2981.8835	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
20	Spectrogram 1	1	2985.435782179	2986.774312549	127.500	398.400	1.3385	-55.83	13.08	2985.4358	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
21	Spectrogram 1	1	2988.952002369	2990.498748569	127.500	398.400	1.5467	-57.16	12.18	2988.9520	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
22	Spectrogram 1	1	3012.763321659	3019.956599259	589.600	1381.600	7.1933	-54.47	11.83	3012.7633	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
23	Spectrogram 1	1	3020.124863059	3024.794183659	748.900	1593.500	4.6693	-54.00	16.05	3020.1249	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
24	Spectrogram 1	1	3025.181441759	3028.189157259	358.500	900.300	3.0077	-53.10	11.72	3025.1814	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
25	Spectrogram 1	1	3030.904084680	3031.745403680	661.334	980.034	0.8413	-54.02	15.46	3030.9041	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
26	Spectrogram 1	1	3032.846343418	3033.624563518	605.247	1043.447	0.7782	-50.60	21.66	3032.8463	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
27	Spectrogram 1	1	3034.754265080	3035.406287380	609.870	1024.170	0.6520	-49.95	23.43	3034.7543	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
28	Spectrogram 1	1	3036.459585914	3037.258839014	786.238	1096.938	0.7993	-61.31	15.00	3036.4596	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
29	Spectrogram 1	1	3038.481035257	3039.322354357	736.526	1007.426	0.8413	-54.86	21.41	3038.4810	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
30	Spectrogram 1	1	3042.347389459	3043.230774359	23.900	255.000	0.8834	-47.31	15.28	3042.3474	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
31	Spectrogram 1	1	3044.892379459	3045.670599559	47.800	247.000	0.7782	-47.60	17.20	3044.8924	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
32	Spectrogram 1	1	3047.227039759	3048.215589559	39.800	239.000	0.9885	-46.43	15.29	3047.2270	S00974_20190807_193028.wav	S00974_20190807_193028.wav	
