Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	727.200000000	727.432349352	0.000	8000.000	0.2323	-35.00	18.24	Phaser
2	Spectrogram 1	1	730.241664249	732.269440415	0.000	8000.000	2.0278	-34.48	18.00	Upsweep
3	Spectrogram 1	1	734.233848576	736.375320689	0.000	8000.000	2.1415	-34.55	16.57	Downsweep
4	Spectrogram 1	1	739.261043659	741.331065159	0.000	8000.000	2.0700	-34.50	18.98	
5	Spectrogram 1	1	743.213874169	745.326141009	0.000	8000.000	2.1123	-34.52	15.79	
6	Spectrogram 1	1	748.219946579	750.311090749	0.000	8000.000	2.0911	-34.52	18.37	
7	Spectrogram 1	1	752.254376239	754.366643079	0.000	8000.000	2.1123	-34.56	15.53	
8	Spectrogram 1	1	756.257121899	756.510593919	0.000	8000.000	0.2535	-34.85	19.61	
9	Spectrogram 1	1	765.586218779	770.074901599	580.000	1080.800	4.4887	-45.15	24.51	
10	Spectrogram 1	1	780.982931729	782.518338949	143.400	470.100	1.5354	-57.15	12.89	
11	Spectrogram 1	1	783.543701289	784.574317089	159.300	709.100	1.0306	-48.67	15.19	
12	Spectrogram 1	1	770.119519279	776.916279029	580.000	1526.500	6.7968	-49.13	19.81	
13	Spectrogram 1	1	785.818806709	786.592179809	326.700	756.900	0.7734	-45.70	21.55	
14	Spectrogram 1	1	787.945582729	788.927171669	294.800	669.300	0.9816	-48.64	20.20	
15	Spectrogram 1	1	790.473917869	791.291908649	318.700	693.200	0.8180	-49.42	20.44	
16	Spectrogram 1	1	792.989821669	793.792939889	278.900	605.500	0.8031	-49.82	18.89	
17	Spectrogram 1	1	795.785862879	796.648471339	294.800	701.100	0.8626	-46.37	21.90	
18	Spectrogram 1	1	798.589773909	799.705215879	255.000	669.300	1.1154	-50.50	17.70	
19	Spectrogram 1	1	801.653521189	802.977178999	159.300	390.400	1.3237	-55.25	13.62	
20	Spectrogram 1	1	805.205782179	806.544312549	127.500	398.400	1.3385	-56.55	13.28	
21	Spectrogram 1	1	808.722002369	810.268748569	127.500	398.400	1.5467	-58.07	12.48	
22	Spectrogram 1	1	832.533321659	839.726599259	589.600	1381.600	7.1933	-52.71	12.86	
23	Spectrogram 1	1	839.894863059	844.564183659	748.900	1593.500	4.6693	-48.61	20.35	
24	Spectrogram 1	1	844.951441759	847.959157259	358.500	900.300	3.0077	-54.73	11.92	
25	Spectrogram 1	1	850.674084680	851.515403680	661.334	980.034	0.8413	-49.06	18.77	
26	Spectrogram 1	1	852.616343418	853.394563518	605.247	1043.447	0.7782	-45.28	24.44	
27	Spectrogram 1	1	854.524265080	855.176287380	609.870	1024.170	0.6520	-44.96	24.58	
28	Spectrogram 1	1	856.229585914	857.028839014	786.238	1096.938	0.7993	-54.99	18.67	
29	Spectrogram 1	1	858.251035257	859.092354357	736.526	1007.426	0.8413	-48.73	24.77	
30	Spectrogram 1	1	862.117389459	863.000774359	23.900	255.000	0.8834	-50.67	13.55	
31	Spectrogram 1	1	864.662379459	865.440599559	47.800	247.000	0.7782	-50.97	13.36	
32	Spectrogram 1	1	866.997039759	867.985589559	39.800	239.000	0.9885	-50.14	13.61	
33	Spectrogram 1	1	869.542029759	870.530579659	31.900	247.000	0.9885	-49.92	14.25	
34	Spectrogram 1	1	871.999673559	872.904091559	31.900	207.200	0.9044	-52.24	14.19	
35	Spectrogram 1	1	876.669000000	876.901349352	0.000	8000.000	0.2323	-34.96	17.21	Phaser
36	Spectrogram 1	1	879.710664249	881.738440415	0.000	8000.000	2.0278	-34.51	19.01	Upsweep
37	Spectrogram 1	1	883.702848576	885.844320689	0.000	8000.000	2.1415	-34.59	15.41	Downsweep
38	Spectrogram 1	1	888.730043659	890.800065159	0.000	8000.000	2.0700	-34.54	18.14	
39	Spectrogram 1	1	892.682874169	894.795141009	0.000	8000.000	2.1123	-34.56	16.53	
40	Spectrogram 1	1	897.688946579	899.780090749	0.000	8000.000	2.0911	-34.52	17.79	
41	Spectrogram 1	1	901.723376239	903.835643079	0.000	8000.000	2.1123	-34.54	17.41	
42	Spectrogram 1	1	905.726121899	905.979593919	0.000	8000.000	0.2535	-34.89	20.74	
43	Spectrogram 1	1	915.055218779	919.543901599	580.000	1080.800	4.4887	-45.19	24.30	
44	Spectrogram 1	1	930.451931729	931.987338949	143.400	470.100	1.5354	-57.17	12.68	
45	Spectrogram 1	1	933.012701289	934.043317089	159.300	709.100	1.0306	-48.71	14.60	
46	Spectrogram 1	1	919.588519279	926.385279029	580.000	1526.500	6.7968	-49.39	19.62	
47	Spectrogram 1	1	935.287806709	936.061179809	326.700	756.900	0.7734	-45.75	20.84	
48	Spectrogram 1	1	937.414582729	938.396171669	294.800	669.300	0.9816	-48.70	20.07	
49	Spectrogram 1	1	939.942917869	940.760908649	318.700	693.200	0.8180	-49.30	19.42	
50	Spectrogram 1	1	942.458821669	943.261939889	278.900	605.500	0.8031	-49.93	20.12	
51	Spectrogram 1	1	945.254862879	946.117471339	294.800	701.100	0.8626	-46.42	22.08	
