Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	End File	Begin File	Sound Type					
1	Spectrogram 1	1	2813.5385	2813.770849	0	8000	0.2323	-33.48	19.2	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Phaser1		2813.5385	2813.770849		2813.5385
2	Spectrogram 1	1	2816.580164	2818.60794	0	8000	2.0278	-32.95	19.63	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Upsweep1		2816.580164	2818.60794		
3	Spectrogram 1	1	2820.572349	2822.713821	0	8000	2.1415	-32.99	17.16	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Downsweep1		2820.572349	2822.713821		
4	Spectrogram 1	1	2825.599544	2827.669565	0	8000	2.07	-32.96	19.88	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Upsweep2		2825.599544	2827.669565		
5	Spectrogram 1	1	2829.552374	2831.664641	0	8000	2.1123	-33.07	16.64	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Downsweep2		2829.552374	2831.664641		
6	Spectrogram 1	1	2834.558447	2836.649591	0	8000	2.0911	-32.98	19.34	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Upsweep3		2834.558447	2836.649591		
7	Spectrogram 1	1	2838.592876	2840.705143	0	8000	2.1123	-33.04	16.88	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Downsweep3		2838.592876	2840.705143		
8	Spectrogram 1	1	2842.595622	2842.849094	0	8000	0.2535	-33.36	16.86	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Phaser2		2842.595622	2842.849094		
9	Spectrogram 1	1	2851.924719	2856.413402	580	1080.8	4.4887	-49.29	23.27	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Hfunstart		2851.924719	2856.413402		
10	Spectrogram 1	1	2867.321432	2868.856839	143.4	470.1	1.5354	-55.19	13.52	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_start		2867.321432	2868.856839		
11	Spectrogram 1	1	2869.882201	2870.912817	159.3	709.1	1.0306	-50.01	14.12	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P1		2869.882201	2870.912817		
12	Spectrogram 1	1	2856.458019	2863.254779	580	1526.5	6.7968	-50.09	19.24	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Hfuntrill		2856.458019	2863.254779		
13	Spectrogram 1	1	2872.157307	2872.93068	326.7	756.9	0.7734	-48.26	20.59	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P2		2872.157307	2872.93068		
14	Spectrogram 1	1	2874.284083	2875.265672	294.8	669.3	0.9816	-45.82	22.37	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P3		2874.284083	2875.265672		
15	Spectrogram 1	1	2876.812418	2877.630409	318.7	693.2	0.818	-49.92	19.91	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P4		2876.812418	2877.630409		
16	Spectrogram 1	1	2879.328322	2880.13144	278.9	605.5	0.8031	-51.24	17.36	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P5		2879.328322	2880.13144		
17	Spectrogram 1	1	2882.124363	2882.986971	294.8	701.1	0.8626	-47.72	21.47	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P6		2882.124363	2882.986971		
18	Spectrogram 1	1	2884.928274	2886.043716	255	669.3	1.1154	-50.86	19.18	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P7		2884.928274	2886.043716		
19	Spectrogram 1	1	2887.992021	2889.315679	159.3	390.4	1.3237	-53.58	13.89	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P8		2887.992021	2889.315679		
20	Spectrogram 1	1	2891.544282	2892.882813	127.5	398.4	1.3385	-53.13	14.03	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P9		2891.544282	2892.882813		
21	Spectrogram 1	1	2895.060502	2896.607249	127.5	398.4	1.5467	-53.09	14.54	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pmor_P10		2895.060502	2896.607249		
22	Spectrogram 1	1	2918.871822	2926.065099	589.6	1381.6	7.1933	-54.69	12.86	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Halb_start		2918.871822	2926.065099		
23	Spectrogram 1	1	2926.233363	2930.902684	748.9	1593.5	4.6693	-47.78	20.76	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Halb_peak		2926.233363	2930.902684		
24	Spectrogram 1	1	2931.289942	2934.297657	358.5	900.3	3.0077	-56.65	11.71	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Halb_end		2931.289942	2934.297657		
25	Spectrogram 1	1	2937.012585	2937.853904	661.334	980.034	0.8413	-52.77	19.07	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pwur_P1		2937.012585	2937.853904		
26	Spectrogram 1	1	2938.954843	2939.733064	605.247	1043.447	0.7782	-47.14	24.83	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pwur_P2		2938.954843	2939.733064		
27	Spectrogram 1	1	2940.862765	2941.514787	609.87	1024.17	0.652	-47.54	24.62	S00974_20190812_160006.wav	S00974_20190812_160006.wav	1_Pwur_P3		2940.862765	2941.514787		
