Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	131.130000000	131.362349352	0.000	8000.000	0.2323	-34.09	16.80	131.1300	S01143_20190812_130005.wav	S01143_20190812_130005.wav	Phaser
2	Spectrogram 1	1	134.171664249	136.199440415	0.000	8000.000	2.0278	-34.00	17.83	134.1717	S01143_20190812_130005.wav	S01143_20190812_130005.wav	Upsweep
3	Spectrogram 1	1	138.163848576	140.305320689	0.000	8000.000	2.1415	-33.95	17.63	138.1638	S01143_20190812_130005.wav	S01143_20190812_130005.wav	Downsweep
4	Spectrogram 1	1	143.191043659	145.261065159	0.000	8000.000	2.0700	-33.76	18.07	143.1910	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
5	Spectrogram 1	1	147.143874169	149.256141009	0.000	8000.000	2.1123	-33.90	17.37	147.1439	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
6	Spectrogram 1	1	152.149946579	154.241090749	0.000	8000.000	2.0911	-33.95	18.15	152.1499	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
7	Spectrogram 1	1	156.184376239	158.296643079	0.000	8000.000	2.1123	-33.92	18.00	156.1844	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
8	Spectrogram 1	1	160.187121899	160.440593919	0.000	8000.000	0.2535	-34.61	17.60	160.1871	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
9	Spectrogram 1	1	169.516218779	174.004901599	580.000	1080.800	4.4887	-57.42	13.17	169.5162	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
10	Spectrogram 1	1	184.912931729	186.448338949	143.400	470.100	1.5354	-58.00	11.91	184.9129	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
11	Spectrogram 1	1	187.473701289	188.504317089	159.300	709.100	1.0306	-56.85	12.43	187.4737	S01143_20190812_130005.wav	S01143_20190812_130005.wav	
