Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	End File	Begin File	Sound Type					
1	Spectrogram 1	1	1962.409	1962.641349	0	8000	0.2323	-33.48	19.2	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Phaser1		1962.409	1962.641349		1962.409
2	Spectrogram 1	1	1965.450664	1967.47844	0	8000	2.0278	-32.95	19.63	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Upsweep1		1965.450664	1967.47844		
3	Spectrogram 1	1	1969.442849	1971.584321	0	8000	2.1415	-32.99	17.16	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Downsweep1		1969.442849	1971.584321		
4	Spectrogram 1	1	1974.470044	1976.540065	0	8000	2.07	-32.96	19.88	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Upsweep2		1974.470044	1976.540065		
5	Spectrogram 1	1	1978.422874	1980.535141	0	8000	2.1123	-33.07	16.64	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Downsweep2		1978.422874	1980.535141		
6	Spectrogram 1	1	1983.428947	1985.520091	0	8000	2.0911	-32.98	19.34	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Upsweep3		1983.428947	1985.520091		
7	Spectrogram 1	1	1987.463376	1989.575643	0	8000	2.1123	-33.04	16.88	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Downsweep3		1987.463376	1989.575643		
8	Spectrogram 1	1	1991.466122	1991.719594	0	8000	0.2535	-33.36	16.86	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Phaser2		1991.466122	1991.719594		
9	Spectrogram 1	1	2000.795219	2005.283902	580	1080.8	4.4887	-49.29	23.27	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Hfunstart		2000.795219	2005.283902		
10	Spectrogram 1	1	2016.191932	2017.727339	143.4	470.1	1.5354	-55.19	13.52	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_start		2016.191932	2017.727339		
11	Spectrogram 1	1	2018.752701	2019.783317	159.3	709.1	1.0306	-50.01	14.12	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P1		2018.752701	2019.783317		
12	Spectrogram 1	1	2005.328519	2012.125279	580	1526.5	6.7968	-50.09	19.24	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Hfuntrill		2005.328519	2012.125279		
13	Spectrogram 1	1	2021.027807	2021.80118	326.7	756.9	0.7734	-48.26	20.59	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P2		2021.027807	2021.80118		
14	Spectrogram 1	1	2023.154583	2024.136172	294.8	669.3	0.9816	-45.82	22.37	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P3		2023.154583	2024.136172		
15	Spectrogram 1	1	2025.682918	2026.500909	318.7	693.2	0.818	-49.92	19.91	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P4		2025.682918	2026.500909		
16	Spectrogram 1	1	2028.198822	2029.00194	278.9	605.5	0.8031	-51.24	17.36	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P5		2028.198822	2029.00194		
17	Spectrogram 1	1	2030.994863	2031.857471	294.8	701.1	0.8626	-47.72	21.47	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P6		2030.994863	2031.857471		
18	Spectrogram 1	1	2033.798774	2034.914216	255	669.3	1.1154	-50.86	19.18	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P7		2033.798774	2034.914216		
19	Spectrogram 1	1	2036.862521	2038.186179	159.3	390.4	1.3237	-53.58	13.89	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P8		2036.862521	2038.186179		
20	Spectrogram 1	1	2040.414782	2041.753313	127.5	398.4	1.3385	-53.13	14.03	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P9		2040.414782	2041.753313		
21	Spectrogram 1	1	2043.931002	2045.477749	127.5	398.4	1.5467	-53.09	14.54	S00976_20190812_160005.wav	S00976_20190812_160005.wav	1_Pmor_P10		2043.931002	2045.477749		
