Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2098.130000000	2098.362349352	0.000	8000.000	0.2323	-34.59	17.08	Phaser
2	Spectrogram 1	1	2101.171664249	2103.199440415	0.000	8000.000	2.0278	-34.22	18.18	Upsweep
3	Spectrogram 1	1	2105.163848576	2107.305320689	0.000	8000.000	2.1415	-34.27	15.80	Downsweep
4	Spectrogram 1	1	2110.191043659	2112.261065159	0.000	8000.000	2.0700	-34.21	18.18	
5	Spectrogram 1	1	2114.143874169	2116.256141009	0.000	8000.000	2.1123	-34.29	15.62	
6	Spectrogram 1	1	2119.149946579	2121.241090749	0.000	8000.000	2.0911	-34.23	18.06	
7	Spectrogram 1	1	2123.184376239	2125.296643079	0.000	8000.000	2.1123	-34.30	15.70	
8	Spectrogram 1	1	2127.187121899	2127.440593919	0.000	8000.000	0.2535	-34.90	18.43	
9	Spectrogram 1	1	2136.516218779	2141.004901599	580.000	1080.800	4.4887	-44.99	23.62	
10	Spectrogram 1	1	2151.912931729	2153.448338949	143.400	470.100	1.5354	-53.64	13.20	
11	Spectrogram 1	1	2154.473701289	2155.504317089	159.300	709.100	1.0306	-47.53	15.64	
12	Spectrogram 1	1	2141.049519279	2147.846279029	580.000	1526.500	6.7968	-50.41	18.28	
13	Spectrogram 1	1	2156.748806709	2157.522179809	326.700	756.900	0.7734	-43.01	24.08	
14	Spectrogram 1	1	2158.875582729	2159.857171669	294.800	669.300	0.9816	-44.75	22.19	
15	Spectrogram 1	1	2161.403917869	2162.221908649	318.700	693.200	0.8180	-47.40	22.34	
16	Spectrogram 1	1	2163.919821669	2164.722939889	278.900	605.500	0.8031	-48.45	19.94	
17	Spectrogram 1	1	2166.715862879	2167.578471339	294.800	701.100	0.8626	-44.42	23.14	
18	Spectrogram 1	1	2169.519773909	2170.635215879	255.000	669.300	1.1154	-48.15	19.70	
19	Spectrogram 1	1	2172.583521189	2173.907178999	159.300	390.400	1.3237	-51.22	15.14	
20	Spectrogram 1	1	2176.135782179	2177.474312549	127.500	398.400	1.3385	-52.12	13.91	
21	Spectrogram 1	1	2179.652002369	2181.198748569	127.500	398.400	1.5467	-54.82	13.48	
22	Spectrogram 1	1	2203.463321659	2210.656599259	589.600	1381.600	7.1933	-53.08	12.79	
23	Spectrogram 1	1	2210.824863059	2215.494183659	748.900	1593.500	4.6693	-50.53	19.54	
24	Spectrogram 1	1	2215.881441759	2218.889157259	358.500	900.300	3.0077	-52.38	12.32	
25	Spectrogram 1	1	2221.604084680	2222.445403680	661.334	980.034	0.8413	-52.14	17.50	
26	Spectrogram 1	1	2223.546343418	2224.324563518	605.247	1043.447	0.7782	-47.27	22.37	
27	Spectrogram 1	1	2225.454265080	2226.106287380	609.870	1024.170	0.6520	-46.91	23.94	
28	Spectrogram 1	1	2227.159585914	2227.958839014	786.238	1096.938	0.7993	-57.40	17.84	
29	Spectrogram 1	1	2229.181035257	2230.022354357	736.526	1007.426	0.8413	-50.46	25.26	
30	Spectrogram 1	1	2233.047389459	2233.930774359	23.900	255.000	0.8834	-45.18	16.26	
31	Spectrogram 1	1	2235.592379459	2236.370599559	47.800	247.000	0.7782	-45.78	18.18	
32	Spectrogram 1	1	2237.927039759	2238.915589559	39.800	239.000	0.9885	-44.47	16.49	
33	Spectrogram 1	1	2240.472029759	2241.460579659	31.900	247.000	0.9885	-44.23	16.28	
34	Spectrogram 1	1	2242.929673559	2243.834091559	31.900	207.200	0.9044	-46.78	15.89	
35	Spectrogram 1	1	2247.599000000	2247.831349352	0.000	8000.000	0.2323	-34.58	18.40	Phaser
36	Spectrogram 1	1	2250.640664249	2252.668440415	0.000	8000.000	2.0278	-34.23	18.36	Upsweep
37	Spectrogram 1	1	2254.632848576	2256.774320689	0.000	8000.000	2.1415	-34.28	15.83	Downsweep
38	Spectrogram 1	1	2259.660043659	2261.730065159	0.000	8000.000	2.0700	-34.21	18.21	
39	Spectrogram 1	1	2263.612874169	2265.725141009	0.000	8000.000	2.1123	-34.25	16.74	
40	Spectrogram 1	1	2268.618946579	2270.710090749	0.000	8000.000	2.0911	-34.20	17.99	
41	Spectrogram 1	1	2272.653376239	2274.765643079	0.000	8000.000	2.1123	-34.26	16.07	
42	Spectrogram 1	1	2276.656121899	2276.909593919	0.000	8000.000	0.2535	-34.83	18.89	
43	Spectrogram 1	1	2285.985218779	2290.473901599	580.000	1080.800	4.4887	-44.92	24.11	
44	Spectrogram 1	1	2301.381931729	2302.917338949	143.400	470.100	1.5354	-53.44	13.54	
45	Spectrogram 1	1	2303.942701289	2304.973317089	159.300	709.100	1.0306	-47.41	16.23	
46	Spectrogram 1	1	2290.518519279	2297.315279029	580.000	1526.500	6.7968	-50.41	18.29	
47	Spectrogram 1	1	2306.217806709	2306.991179809	326.700	756.900	0.7734	-43.03	23.97	
48	Spectrogram 1	1	2308.344582729	2309.326171669	294.800	669.300	0.9816	-44.75	21.78	
49	Spectrogram 1	1	2310.872917869	2311.690908649	318.700	693.200	0.8180	-47.20	22.53	
50	Spectrogram 1	1	2313.388821669	2314.191939889	278.900	605.500	0.8031	-47.99	20.49	
51	Spectrogram 1	1	2316.184862879	2317.047471339	294.800	701.100	0.8626	-44.32	23.61	
52	Spectrogram 1	1	2318.988773909	2320.104215879	255.000	669.300	1.1154	-48.09	19.89	
53	Spectrogram 1	1	2322.052521189	2323.376178999	159.300	390.400	1.3237	-50.98	15.41	
54	Spectrogram 1	1	2325.604782179	2326.943312549	127.500	398.400	1.3385	-52.04	13.60	
55	Spectrogram 1	1	2329.121002369	2330.667748569	127.500	398.400	1.5467	-54.96	14.53	
56	Spectrogram 1	1	2352.932321659	2360.125599259	589.600	1381.600	7.1933	-53.08	12.84	
57	Spectrogram 1	1	2360.293863059	2364.963183659	748.900	1593.500	4.6693	-50.47	19.24	
58	Spectrogram 1	1	2365.350441759	2368.358157259	358.500	900.300	3.0077	-52.35	12.78	
59	Spectrogram 1	1	2371.073084680	2371.914403680	661.334	980.034	0.8413	-52.00	18.11	
60	Spectrogram 1	1	2373.015343418	2373.793563518	605.247	1043.447	0.7782	-47.23	22.42	
