Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1175.100000000	1175.332349352	0.000	8000.000	0.2323	-27.90	22.62	1175.1000	S01143_20190806_140005.wav	S01143_20190806_140005.wav	Phaser
2	Spectrogram 1	1	1178.141664249	1180.169440415	0.000	8000.000	2.0278	-26.60	22.21	1178.1417	S01143_20190806_140005.wav	S01143_20190806_140005.wav	Upsweep
3	Spectrogram 1	1	1182.133848576	1184.275320689	0.000	8000.000	2.1415	-26.27	20.58	1182.1338	S01143_20190806_140005.wav	S01143_20190806_140005.wav	Downsweep
4	Spectrogram 1	1	1187.161043659	1189.231065159	0.000	8000.000	2.0700	-28.07	21.81	1187.1610	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
5	Spectrogram 1	1	1191.113874169	1193.226141009	0.000	8000.000	2.1123	-27.99	20.14	1191.1139	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
6	Spectrogram 1	1	1196.119946579	1198.211090749	0.000	8000.000	2.0911	-27.25	21.56	1196.1199	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
7	Spectrogram 1	1	1200.154376239	1202.266643079	0.000	8000.000	2.1123	-25.39	20.59	1200.1544	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
8	Spectrogram 1	1	1204.157121899	1204.410593919	0.000	8000.000	0.2535	-24.12	21.83	1204.1571	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
9	Spectrogram 1	1	1213.486218779	1217.974901599	580.000	1080.800	4.4887	-43.78	22.29	1213.4862	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
10	Spectrogram 1	1	1228.882931729	1230.418338949	143.400	470.100	1.5354	-48.44	14.08	1228.8829	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
11	Spectrogram 1	1	1231.443701289	1232.474317089	159.300	709.100	1.0306	-42.55	16.32	1231.4437	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
12	Spectrogram 1	1	1218.019519279	1224.816279029	580.000	1526.500	6.7968	-46.04	20.52	1218.0195	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
13	Spectrogram 1	1	1233.718806709	1234.492179809	326.700	756.900	0.7734	-41.39	20.18	1233.7188	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
14	Spectrogram 1	1	1235.845582729	1236.827171669	294.800	669.300	0.9816	-41.09	19.50	1235.8456	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
15	Spectrogram 1	1	1238.373917869	1239.191908649	318.700	693.200	0.8180	-44.10	20.23	1238.3739	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
16	Spectrogram 1	1	1240.889821669	1241.692939889	278.900	605.500	0.8031	-43.82	17.23	1240.8898	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
17	Spectrogram 1	1	1243.685862879	1244.548471339	294.800	701.100	0.8626	-41.34	20.66	1243.6859	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
18	Spectrogram 1	1	1246.489773909	1247.605215879	255.000	669.300	1.1154	-44.54	16.28	1246.4898	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
19	Spectrogram 1	1	1249.553521189	1250.877178999	159.300	390.400	1.3237	-47.99	12.97	1249.5535	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
20	Spectrogram 1	1	1253.105782179	1254.444312549	127.500	398.400	1.3385	-48.78	13.99	1253.1058	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
21	Spectrogram 1	1	1256.622002369	1258.168748569	127.500	398.400	1.5467	-50.00	13.79	1256.6220	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
22	Spectrogram 1	1	1280.433321659	1287.626599259	589.600	1381.600	7.1933	-50.60	13.05	1280.4333	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
23	Spectrogram 1	1	1287.794863059	1292.464183659	748.900	1593.500	4.6693	-44.44	20.33	1287.7949	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
24	Spectrogram 1	1	1292.851441759	1295.859157259	358.500	900.300	3.0077	-50.21	12.62	1292.8514	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
25	Spectrogram 1	1	1298.574084680	1299.415403680	661.334	980.034	0.8413	-50.56	15.42	1298.5741	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
26	Spectrogram 1	1	1300.516343418	1301.294563518	605.247	1043.447	0.7782	-45.44	22.79	1300.5163	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
27	Spectrogram 1	1	1302.424265080	1303.076287380	609.870	1024.170	0.6520	-45.98	20.75	1302.4243	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
28	Spectrogram 1	1	1304.129585914	1304.928839014	786.238	1096.938	0.7993	-55.65	16.25	1304.1296	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
29	Spectrogram 1	1	1306.151035257	1306.992354357	736.526	1007.426	0.8413	-49.21	23.87	1306.1510	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
30	Spectrogram 1	1	1310.017389459	1310.900774359	23.900	255.000	0.8834	-37.19	16.75	1310.0174	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
31	Spectrogram 1	1	1312.562379459	1313.340599559	47.800	247.000	0.7782	-40.43	15.92	1312.5624	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
32	Spectrogram 1	1	1314.897039759	1315.885589559	39.800	239.000	0.9885	-40.08	15.47	1314.8970	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
33	Spectrogram 1	1	1317.442029759	1318.430579659	31.900	247.000	0.9885	-39.08	16.44	1317.4420	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
34	Spectrogram 1	1	1319.899673559	1320.804091559	31.900	207.200	0.9044	-38.01	16.31	1319.8997	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
35	Spectrogram 1	1	1324.569000000	1324.801349352	0.000	8000.000	0.2323	-27.68	21.93	1324.5690	S01143_20190806_140005.wav	S01143_20190806_140005.wav	Phaser
36	Spectrogram 1	1	1327.610664249	1329.638440415	0.000	8000.000	2.0278	-27.72	23.18	1327.6107	S01143_20190806_140005.wav	S01143_20190806_140005.wav	Upsweep
37	Spectrogram 1	1	1331.602848576	1333.744320689	0.000	8000.000	2.1415	-27.75	21.57	1331.6028	S01143_20190806_140005.wav	S01143_20190806_140005.wav	Downsweep
38	Spectrogram 1	1	1336.630043659	1338.700065159	0.000	8000.000	2.0700	-26.91	23.22	1336.6300	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
39	Spectrogram 1	1	1340.582874169	1342.695141009	0.000	8000.000	2.1123	-26.20	21.36	1340.5829	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
40	Spectrogram 1	1	1345.588946579	1347.680090749	0.000	8000.000	2.0911	-27.20	23.52	1345.5889	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
41	Spectrogram 1	1	1349.623376239	1351.735643079	0.000	8000.000	2.1123	-24.76	21.69	1349.6234	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
42	Spectrogram 1	1	1353.626121899	1353.879593919	0.000	8000.000	0.2535	-28.83	20.71	1353.6261	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
43	Spectrogram 1	1	1362.955218779	1367.443901599	580.000	1080.800	4.4887	-44.55	22.13	1362.9552	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
44	Spectrogram 1	1	1378.351931729	1379.887338949	143.400	470.100	1.5354	-48.50	14.34	1378.3519	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
45	Spectrogram 1	1	1380.912701289	1381.943317089	159.300	709.100	1.0306	-42.52	16.79	1380.9127	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
46	Spectrogram 1	1	1367.488519279	1374.285279029	580.000	1526.500	6.7968	-46.28	20.15	1367.4885	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
47	Spectrogram 1	1	1383.187806709	1383.961179809	326.700	756.900	0.7734	-41.79	20.16	1383.1878	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
48	Spectrogram 1	1	1385.314582729	1386.296171669	294.800	669.300	0.9816	-41.20	19.94	1385.3146	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
49	Spectrogram 1	1	1387.842917869	1388.660908649	318.700	693.200	0.8180	-44.18	20.49	1387.8429	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
50	Spectrogram 1	1	1390.358821669	1391.161939889	278.900	605.500	0.8031	-43.86	16.60	1390.3588	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
51	Spectrogram 1	1	1393.154862879	1394.017471339	294.800	701.100	0.8626	-41.11	21.81	1393.1549	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
52	Spectrogram 1	1	1395.958773909	1397.074215879	255.000	669.300	1.1154	-44.29	17.03	1395.9588	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
53	Spectrogram 1	1	1399.022521189	1400.346178999	159.300	390.400	1.3237	-47.36	13.38	1399.0225	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
54	Spectrogram 1	1	1402.574782179	1403.913312549	127.500	398.400	1.3385	-48.67	13.90	1402.5748	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
55	Spectrogram 1	1	1406.091002369	1407.637748569	127.500	398.400	1.5467	-48.55	13.62	1406.0910	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
56	Spectrogram 1	1	1429.902321659	1437.095599259	589.600	1381.600	7.1933	-50.78	13.24	1429.9023	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
57	Spectrogram 1	1	1437.263863059	1441.933183659	748.900	1593.500	4.6693	-44.39	20.27	1437.2639	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
58	Spectrogram 1	1	1442.320441759	1445.328157259	358.500	900.300	3.0077	-50.44	12.88	1442.3204	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
59	Spectrogram 1	1	1448.043084680	1448.884403680	661.334	980.034	0.8413	-50.53	16.64	1448.0431	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
60	Spectrogram 1	1	1449.985343418	1450.763563518	605.247	1043.447	0.7782	-45.75	22.81	1449.9853	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
61	Spectrogram 1	1	1451.893265080	1452.545287380	609.870	1024.170	0.6520	-45.89	22.07	1451.8933	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
62	Spectrogram 1	1	1453.598585914	1454.397839014	786.238	1096.938	0.7993	-55.57	15.59	1453.5986	S01143_20190806_140005.wav	S01143_20190806_140005.wav	
