Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1986.470000000	1986.702349352	0.000	8000.000	0.2323	-32.10	14.33	1986.4700	S00974_20190808_154219.wav	S00974_20190808_154219.wav	Phaser
2	Spectrogram 1	1	1989.511664249	1991.539440415	0.000	8000.000	2.0278	-32.08	14.80	1989.5117	S00974_20190808_154219.wav	S00974_20190808_154219.wav	Upsweep
3	Spectrogram 1	1	1993.503848576	1995.645320689	0.000	8000.000	2.1415	-32.09	14.54	1993.5038	S00974_20190808_154219.wav	S00974_20190808_154219.wav	Downsweep
4	Spectrogram 1	1	1998.531043659	2000.601065159	0.000	8000.000	2.0700	-32.07	14.66	1998.5310	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
5	Spectrogram 1	1	2002.483874169	2004.596141009	0.000	8000.000	2.1123	-32.07	14.43	2002.4839	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
6	Spectrogram 1	1	2007.489946579	2009.581090749	0.000	8000.000	2.0911	-32.08	14.52	2007.4899	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
7	Spectrogram 1	1	2011.524376239	2013.636643079	0.000	8000.000	2.1123	-32.08	14.53	2011.5244	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
8	Spectrogram 1	1	2015.527121899	2015.780593919	0.000	8000.000	0.2535	-32.11	14.15	2015.5271	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
9	Spectrogram 1	1	2024.856218779	2029.344901599	580.000	1080.800	4.4887	-61.19	11.97	2024.8562	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
10	Spectrogram 1	1	2040.252931729	2041.788338949	143.400	470.100	1.5354	-61.57	11.03	2040.2529	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
11	Spectrogram 1	1	2042.813701289	2043.844317089	159.300	709.100	1.0306	-58.48	11.72	2042.8137	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
12	Spectrogram 1	1	2029.389519279	2036.186279029	580.000	1526.500	6.7968	-63.32	10.93	2029.3895	S00974_20190808_154219.wav	S00974_20190808_154219.wav	
