Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1133.255000000	1133.487349352	0.000	8000.000	0.2323	-35.06	16.15	Phaser
2	Spectrogram 1	1	1136.296664249	1138.324440415	0.000	8000.000	2.0278	-34.69	17.02	Upsweep
3	Spectrogram 1	1	1140.288848576	1142.430320689	0.000	8000.000	2.1415	-34.69	15.39	Downsweep
4	Spectrogram 1	1	1145.316043659	1147.386065159	0.000	8000.000	2.0700	-34.67	16.74	
5	Spectrogram 1	1	1149.268874169	1151.381141009	0.000	8000.000	2.1123	-34.73	15.28	
6	Spectrogram 1	1	1154.274946579	1156.366090749	0.000	8000.000	2.0911	-34.67	16.21	
7	Spectrogram 1	1	1158.309376239	1160.421643079	0.000	8000.000	2.1123	-34.74	15.19	
8	Spectrogram 1	1	1162.312121899	1162.565593919	0.000	8000.000	0.2535	-34.99	17.41	
9	Spectrogram 1	1	1171.641218779	1176.129901599	580.000	1080.800	4.4887	-51.50	20.94	
10	Spectrogram 1	1	1187.037931729	1188.573338949	143.400	470.100	1.5354	-55.85	12.86	
11	Spectrogram 1	1	1189.598701289	1190.629317089	159.300	709.100	1.0306	-45.14	15.62	
12	Spectrogram 1	1	1176.174519279	1182.971279029	580.000	1526.500	6.7968	-54.61	14.86	
13	Spectrogram 1	1	1191.873806709	1192.647179809	326.700	756.900	0.7734	-44.31	22.97	
14	Spectrogram 1	1	1194.000582729	1194.982171669	294.800	669.300	0.9816	-43.10	22.22	
15	Spectrogram 1	1	1196.528917869	1197.346908649	318.700	693.200	0.8180	-46.86	22.73	
16	Spectrogram 1	1	1199.044821669	1199.847939889	278.900	605.500	0.8031	-46.33	19.10	
17	Spectrogram 1	1	1201.840862879	1202.703471339	294.800	701.100	0.8626	-43.57	23.60	
18	Spectrogram 1	1	1204.644773909	1205.760215879	255.000	669.300	1.1154	-48.22	17.94	
19	Spectrogram 1	1	1207.708521189	1209.032178999	159.300	390.400	1.3237	-54.47	14.00	
20	Spectrogram 1	1	1211.260782179	1212.599312549	127.500	398.400	1.3385	-55.46	12.86	
21	Spectrogram 1	1	1214.777002369	1216.323748569	127.500	398.400	1.5467	-57.47	12.25	
22	Spectrogram 1	1	1238.588321659	1245.781599259	589.600	1381.600	7.1933	-54.24	11.72	
23	Spectrogram 1	1	1245.949863059	1250.619183659	748.900	1593.500	4.6693	-54.14	16.08	
24	Spectrogram 1	1	1251.006441759	1254.014157259	358.500	900.300	3.0077	-51.73	11.94	
25	Spectrogram 1	1	1256.729084680	1257.570403680	661.334	980.034	0.8413	-53.54	16.17	
26	Spectrogram 1	1	1258.671343418	1259.449563518	605.247	1043.447	0.7782	-50.68	21.33	
27	Spectrogram 1	1	1260.579265080	1261.231287380	609.870	1024.170	0.6520	-49.98	22.46	
28	Spectrogram 1	1	1262.284585914	1263.083839014	786.238	1096.938	0.7993	-61.52	15.95	
29	Spectrogram 1	1	1264.306035257	1265.147354357	736.526	1007.426	0.8413	-54.64	22.03	
30	Spectrogram 1	1	1268.172389459	1269.055774359	23.900	255.000	0.8834	-47.50	15.05	
31	Spectrogram 1	1	1270.717379459	1271.495599559	47.800	247.000	0.7782	-48.07	16.37	
