Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1995.000000000	1995.232349352	0.000	8000.000	0.2323	-31.40	14.67	1995.0000	S00974_20190808_134218.wav	S00974_20190808_134218.wav	Phaser
2	Spectrogram 1	1	1998.041664249	2000.069440415	0.000	8000.000	2.0278	-31.47	14.30	1998.0417	S00974_20190808_134218.wav	S00974_20190808_134218.wav	Upsweep
3	Spectrogram 1	1	2002.033848576	2004.175320689	0.000	8000.000	2.1415	-31.47	14.48	2002.0338	S00974_20190808_134218.wav	S00974_20190808_134218.wav	Downsweep
4	Spectrogram 1	1	2007.061043659	2009.131065159	0.000	8000.000	2.0700	-31.47	14.39	2007.0610	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
5	Spectrogram 1	1	2011.013874169	2013.126141009	0.000	8000.000	2.1123	-31.46	14.28	2011.0139	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
6	Spectrogram 1	1	2016.019946579	2018.111090749	0.000	8000.000	2.0911	-31.47	14.27	2016.0199	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
7	Spectrogram 1	1	2020.054376239	2022.166643079	0.000	8000.000	2.1123	-31.47	14.31	2020.0544	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
8	Spectrogram 1	1	2024.057121899	2024.310593919	0.000	8000.000	0.2535	-31.47	13.99	2024.0571	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
9	Spectrogram 1	1	2033.386218779	2037.874901599	580.000	1080.800	4.4887	-65.59	10.67	2033.3862	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
10	Spectrogram 1	1	2048.782931729	2050.318338949	143.400	470.100	1.5354	-62.74	11.20	2048.7829	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
11	Spectrogram 1	1	2051.343701289	2052.374317089	159.300	709.100	1.0306	-62.03	11.53	2051.3437	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
12	Spectrogram 1	1	2037.919519279	2044.716279029	580.000	1526.500	6.7968	-64.39	10.57	2037.9195	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
13	Spectrogram 1	1	2053.618806709	2054.392179809	326.700	756.900	0.7734	-63.37	11.32	2053.6188	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
14	Spectrogram 1	1	2055.745582729	2056.727171669	294.800	669.300	0.9816	-63.12	12.02	2055.7456	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
15	Spectrogram 1	1	2058.273917869	2059.091908649	318.700	693.200	0.8180	-64.01	10.97	2058.2739	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
16	Spectrogram 1	1	2060.789821669	2061.592939889	278.900	605.500	0.8031	-64.80	10.48	2060.7898	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
17	Spectrogram 1	1	2063.585862879	2064.448471339	294.800	701.100	0.8626	-63.62	11.63	2063.5859	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
18	Spectrogram 1	1	2066.389773909	2067.505215879	255.000	669.300	1.1154	-63.46	10.71	2066.3898	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
19	Spectrogram 1	1	2069.453521189	2070.777178999	159.300	390.400	1.3237	-64.38	10.27	2069.4535	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
20	Spectrogram 1	1	2073.005782179	2074.344312549	127.500	398.400	1.3385	-62.41	11.31	2073.0058	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
21	Spectrogram 1	1	2076.522002369	2078.068748569	127.500	398.400	1.5467	-62.85	11.02	2076.5220	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
22	Spectrogram 1	1	2100.333321659	2107.526599259	589.600	1381.600	7.1933	-64.82	10.57	2100.3333	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
23	Spectrogram 1	1	2107.694863059	2112.364183659	748.900	1593.500	4.6693	-65.56	10.40	2107.6949	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
24	Spectrogram 1	1	2112.751441759	2115.759157259	358.500	900.300	3.0077	-64.51	10.47	2112.7514	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
25	Spectrogram 1	1	2118.474084680	2119.315403680	661.334	980.034	0.8413	-68.16	10.49	2118.4741	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
26	Spectrogram 1	1	2120.416343418	2121.194563518	605.247	1043.447	0.7782	-66.89	10.31	2120.4163	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
27	Spectrogram 1	1	2122.324265080	2122.976287380	609.870	1024.170	0.6520	-66.68	10.98	2122.3243	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
28	Spectrogram 1	1	2124.029585914	2124.828839014	786.238	1096.938	0.7993	-69.17	10.01	2124.0296	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
29	Spectrogram 1	1	2126.051035257	2126.892354357	736.526	1007.426	0.8413	-68.72	9.62	2126.0510	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
30	Spectrogram 1	1	2129.917389459	2130.800774359	23.900	255.000	0.8834	-55.99	12.39	2129.9174	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
31	Spectrogram 1	1	2132.462379459	2133.240599559	47.800	247.000	0.7782	-58.75	11.42	2132.4624	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
32	Spectrogram 1	1	2134.797039759	2135.785589559	39.800	239.000	0.9885	-58.35	11.31	2134.7970	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
33	Spectrogram 1	1	2137.342029759	2138.330579659	31.900	247.000	0.9885	-57.29	12.37	2137.3420	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
34	Spectrogram 1	1	2139.799673559	2140.704091559	31.900	207.200	0.9044	-57.83	12.61	2139.7997	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
35	Spectrogram 1	1	2144.469000000	2144.701349352	0.000	8000.000	0.2323	-31.47	14.08	2144.4690	S00974_20190808_134218.wav	S00974_20190808_134218.wav	Phaser
36	Spectrogram 1	1	2147.510664249	2149.538440415	0.000	8000.000	2.0278	-31.49	14.29	2147.5107	S00974_20190808_134218.wav	S00974_20190808_134218.wav	Upsweep
37	Spectrogram 1	1	2151.502848576	2153.644320689	0.000	8000.000	2.1415	-31.48	14.13	2151.5028	S00974_20190808_134218.wav	S00974_20190808_134218.wav	Downsweep
38	Spectrogram 1	1	2156.530043659	2158.600065159	0.000	8000.000	2.0700	-31.49	14.32	2156.5300	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
39	Spectrogram 1	1	2160.482874169	2162.595141009	0.000	8000.000	2.1123	-31.50	14.31	2160.4829	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
40	Spectrogram 1	1	2165.488946579	2167.580090749	0.000	8000.000	2.0911	-31.47	14.47	2165.4889	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
41	Spectrogram 1	1	2169.523376239	2171.635643079	0.000	8000.000	2.1123	-31.48	14.22	2169.5234	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
42	Spectrogram 1	1	2173.526121899	2173.779593919	0.000	8000.000	0.2535	-31.64	14.25	2173.5261	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
43	Spectrogram 1	1	2182.855218779	2187.343901599	580.000	1080.800	4.4887	-65.38	10.94	2182.8552	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
44	Spectrogram 1	1	2198.251931729	2199.787338949	143.400	470.100	1.5354	-62.60	11.20	2198.2519	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
45	Spectrogram 1	1	2200.812701289	2201.843317089	159.300	709.100	1.0306	-61.77	11.39	2200.8127	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
46	Spectrogram 1	1	2187.388519279	2194.185279029	580.000	1526.500	6.7968	-64.33	10.64	2187.3885	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
47	Spectrogram 1	1	2203.087806709	2203.861179809	326.700	756.900	0.7734	-63.48	10.88	2203.0878	S00974_20190808_134218.wav	S00974_20190808_134218.wav	
