Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2096.368000000	2096.600349352	0.000	8000.000	0.2323	-33.88	17.44	Phaser
2	Spectrogram 1	1	2099.409664249	2101.437440415	0.000	8000.000	2.0278	-33.35	23.23	Upsweep
3	Spectrogram 1	1	2103.401848576	2105.543320689	0.000	8000.000	2.1415	-33.51	16.36	Downsweep
4	Spectrogram 1	1	2108.429043659	2110.499065159	0.000	8000.000	2.0700	-33.42	21.38	
5	Spectrogram 1	1	2112.381874169	2114.494141009	0.000	8000.000	2.1123	-33.52	17.22	
6	Spectrogram 1	1	2117.387946579	2119.479090749	0.000	8000.000	2.0911	-33.48	18.08	
7	Spectrogram 1	1	2121.422376239	2123.534643079	0.000	8000.000	2.1123	-33.55	15.97	
8	Spectrogram 1	1	2125.425121899	2125.678593919	0.000	8000.000	0.2535	-33.68	17.81	
9	Spectrogram 1	1	2134.754218779	2139.242901599	580.000	1080.800	4.4887	-44.43	24.31	
10	Spectrogram 1	1	2150.150931729	2151.686338949	143.400	470.100	1.5354	-52.59	12.93	
11	Spectrogram 1	1	2152.711701289	2153.742317089	159.300	709.100	1.0306	-47.58	15.82	
12	Spectrogram 1	1	2139.287519279	2146.084279029	580.000	1526.500	6.7968	-51.03	17.01	
13	Spectrogram 1	1	2154.986806709	2155.760179809	326.700	756.900	0.7734	-44.66	23.26	
14	Spectrogram 1	1	2157.113582729	2158.095171669	294.800	669.300	0.9816	-47.06	21.39	
15	Spectrogram 1	1	2159.641917869	2160.459908649	318.700	693.200	0.8180	-48.13	21.72	
16	Spectrogram 1	1	2162.157821669	2162.960939889	278.900	605.500	0.8031	-48.58	19.56	
17	Spectrogram 1	1	2164.953862879	2165.816471339	294.800	701.100	0.8626	-43.18	23.10	
18	Spectrogram 1	1	2167.757773909	2168.873215879	255.000	669.300	1.1154	-48.11	19.68	
