Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1199.755000000	1199.987349352	0.000	8000.000	0.2323	-33.21	17.60	1199.7550	S00974_20190805_104413.wav	S00974_20190805_104413.wav	Phaser
2	Spectrogram 1	1	1202.796664249	1204.824440415	0.000	8000.000	2.0278	-33.10	17.53	1202.7967	S00974_20190805_104413.wav	S00974_20190805_104413.wav	Upsweep
3	Spectrogram 1	1	1206.788848576	1208.930320689	0.000	8000.000	2.1415	-33.05	16.33	1206.7888	S00974_20190805_104413.wav	S00974_20190805_104413.wav	Downsweep
4	Spectrogram 1	1	1211.816043659	1213.886065159	0.000	8000.000	2.0700	-33.11	16.42	1211.8160	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
5	Spectrogram 1	1	1215.768874169	1217.881141009	0.000	8000.000	2.1123	-33.15	16.00	1215.7689	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
6	Spectrogram 1	1	1220.774946579	1222.866090749	0.000	8000.000	2.0911	-33.11	16.49	1220.7749	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
7	Spectrogram 1	1	1224.809376239	1226.921643079	0.000	8000.000	2.1123	-33.14	15.73	1224.8094	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
8	Spectrogram 1	1	1228.812121899	1229.065593919	0.000	8000.000	0.2535	-33.11	17.04	1228.8121	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
9	Spectrogram 1	1	1238.141218779	1242.629901599	580.000	1080.800	4.4887	-49.58	18.89	1238.1412	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
10	Spectrogram 1	1	1253.537931729	1255.073338949	143.400	470.100	1.5354	-59.86	11.75	1253.5379	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
11	Spectrogram 1	1	1256.098701289	1257.129317089	159.300	709.100	1.0306	-54.18	13.75	1256.0987	S00974_20190805_104413.wav	S00974_20190805_104413.wav	
