Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	964.950000000	965.182349352	0.000	8000.000	0.2323	-35.83	16.84	964.9500	S01143_20190811_110703.wav	S01143_20190811_110703.wav	Phaser
2	Spectrogram 1	1	967.991664249	970.019440415	0.000	8000.000	2.0278	-36.31	17.14	967.9917	S01143_20190811_110703.wav	S01143_20190811_110703.wav	Upsweep
3	Spectrogram 1	1	971.983848576	974.125320689	0.000	8000.000	2.1415	-36.44	16.65	971.9838	S01143_20190811_110703.wav	S01143_20190811_110703.wav	Downsweep
4	Spectrogram 1	1	977.011043659	979.081065159	0.000	8000.000	2.0700	-36.19	17.15	977.0110	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
5	Spectrogram 1	1	980.963874169	983.076141009	0.000	8000.000	2.1123	-36.01	17.08	980.9639	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
6	Spectrogram 1	1	985.969946579	988.061090749	0.000	8000.000	2.0911	-36.48	17.15	985.9699	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
7	Spectrogram 1	1	990.004376239	992.116643079	0.000	8000.000	2.1123	-36.24	16.92	990.0044	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
8	Spectrogram 1	1	994.007121899	994.260593919	0.000	8000.000	0.2535	-36.25	16.51	994.0071	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
9	Spectrogram 1	1	1003.336218779	1007.824901599	580.000	1080.800	4.4887	-56.17	11.83	1003.3362	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
10	Spectrogram 1	1	1018.732931729	1020.268338949	143.400	470.100	1.5354	-53.34	11.27	1018.7329	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
11	Spectrogram 1	1	1021.293701289	1022.324317089	159.300	709.100	1.0306	-52.45	12.00	1021.2937	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
12	Spectrogram 1	1	1007.869519279	1014.666279029	580.000	1526.500	6.7968	-56.63	11.33	1007.8695	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
13	Spectrogram 1	1	1023.568806709	1024.342179809	326.700	756.900	0.7734	-54.81	11.06	1023.5688	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
14	Spectrogram 1	1	1025.695582729	1026.677171669	294.800	669.300	0.9816	-53.96	11.37	1025.6956	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
15	Spectrogram 1	1	1028.223917869	1029.041908649	318.700	693.200	0.8180	-55.08	11.69	1028.2239	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
16	Spectrogram 1	1	1030.739821669	1031.542939889	278.900	605.500	0.8031	-55.23	11.69	1030.7398	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
17	Spectrogram 1	1	1033.535862879	1034.398471339	294.800	701.100	0.8626	-53.66	11.74	1033.5359	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
18	Spectrogram 1	1	1036.339773909	1037.455215879	255.000	669.300	1.1154	-54.26	11.15	1036.3398	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
19	Spectrogram 1	1	1039.403521189	1040.727178999	159.300	390.400	1.3237	-53.93	10.51	1039.4035	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
20	Spectrogram 1	1	1042.955782179	1044.294312549	127.500	398.400	1.3385	-53.16	11.74	1042.9558	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
21	Spectrogram 1	1	1046.472002369	1048.018748569	127.500	398.400	1.5467	-53.00	11.16	1046.4720	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
22	Spectrogram 1	1	1070.283321659	1077.476599259	589.600	1381.600	7.1933	-57.35	11.00	1070.2833	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
23	Spectrogram 1	1	1077.644863059	1082.314183659	748.900	1593.500	4.6693	-58.08	10.87	1077.6449	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
24	Spectrogram 1	1	1082.701441759	1085.709157259	358.500	900.300	3.0077	-55.94	11.09	1082.7014	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
25	Spectrogram 1	1	1088.424084680	1089.265403680	661.334	980.034	0.8413	-59.21	10.40	1088.4241	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
26	Spectrogram 1	1	1090.366343418	1091.144563518	605.247	1043.447	0.7782	-56.54	11.64	1090.3663	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
27	Spectrogram 1	1	1092.274265080	1092.926287380	609.870	1024.170	0.6520	-57.54	11.42	1092.2743	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
28	Spectrogram 1	1	1093.979585914	1094.778839014	786.238	1096.938	0.7993	-61.74	10.88	1093.9796	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
29	Spectrogram 1	1	1096.001035257	1096.842354357	736.526	1007.426	0.8413	-59.67	11.67	1096.0010	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
30	Spectrogram 1	1	1099.867389459	1100.750774359	23.900	255.000	0.8834	-48.88	10.90	1099.8674	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
31	Spectrogram 1	1	1102.412379459	1103.190599559	47.800	247.000	0.7782	-51.03	10.79	1102.4124	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
32	Spectrogram 1	1	1104.747039759	1105.735589559	39.800	239.000	0.9885	-49.72	10.52	1104.7470	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
33	Spectrogram 1	1	1107.292029759	1108.280579659	31.900	247.000	0.9885	-49.43	11.20	1107.2920	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
34	Spectrogram 1	1	1109.749673559	1110.654091559	31.900	207.200	0.9044	-50.14	11.10	1109.7497	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
35	Spectrogram 1	1	1114.419000000	1114.651349352	0.000	8000.000	0.2323	-37.27	16.86	1114.4190	S01143_20190811_110703.wav	S01143_20190811_110703.wav	Phaser
36	Spectrogram 1	1	1117.460664249	1119.488440415	0.000	8000.000	2.0278	-36.30	17.15	1117.4607	S01143_20190811_110703.wav	S01143_20190811_110703.wav	Upsweep
37	Spectrogram 1	1	1121.452848576	1123.594320689	0.000	8000.000	2.1415	-36.15	16.81	1121.4528	S01143_20190811_110703.wav	S01143_20190811_110703.wav	Downsweep
38	Spectrogram 1	1	1126.480043659	1128.550065159	0.000	8000.000	2.0700	-36.30	16.82	1126.4800	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
39	Spectrogram 1	1	1130.432874169	1132.545141009	0.000	8000.000	2.1123	-36.29	16.82	1130.4329	S01143_20190811_110703.wav	S01143_20190811_110703.wav	
