Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1396.950000000	1397.182349352	0.000	8000.000	0.2323	-28.96	19.42	1396.9500	S01143_20190806_150005.wav	S01143_20190806_150005.wav	Phaser
2	Spectrogram 1	1	1399.991664249	1402.019440415	0.000	8000.000	2.0278	-30.50	16.82	1399.9917	S01143_20190806_150005.wav	S01143_20190806_150005.wav	Upsweep
3	Spectrogram 1	1	1403.983848576	1406.125320689	0.000	8000.000	2.1415	-31.66	16.21	1403.9838	S01143_20190806_150005.wav	S01143_20190806_150005.wav	Downsweep
4	Spectrogram 1	1	1409.011043659	1411.081065159	0.000	8000.000	2.0700	-30.95	17.34	1409.0110	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
5	Spectrogram 1	1	1412.963874169	1415.076141009	0.000	8000.000	2.1123	-31.90	16.19	1412.9639	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
6	Spectrogram 1	1	1417.969946579	1420.061090749	0.000	8000.000	2.0911	-31.42	17.14	1417.9699	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
7	Spectrogram 1	1	1422.004376239	1424.116643079	0.000	8000.000	2.1123	-31.18	17.11	1422.0044	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
8	Spectrogram 1	1	1426.007121899	1426.260593919	0.000	8000.000	0.2535	-31.66	16.67	1426.0071	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
9	Spectrogram 1	1	1435.336218779	1439.824901599	580.000	1080.800	4.4887	-53.86	15.68	1435.3362	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
10	Spectrogram 1	1	1450.732931729	1452.268338949	143.400	470.100	1.5354	-53.77	13.46	1450.7329	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
11	Spectrogram 1	1	1453.293701289	1454.324317089	159.300	709.100	1.0306	-51.23	15.26	1453.2937	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
12	Spectrogram 1	1	1439.869519279	1446.666279029	580.000	1526.500	6.7968	-55.06	13.19	1439.8695	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
13	Spectrogram 1	1	1455.568806709	1456.342179809	326.700	756.900	0.7734	-53.09	13.92	1455.5688	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
14	Spectrogram 1	1	1457.695582729	1458.677171669	294.800	669.300	0.9816	-52.84	14.78	1457.6956	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
15	Spectrogram 1	1	1460.223917869	1461.041908649	318.700	693.200	0.8180	-53.43	14.60	1460.2239	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
16	Spectrogram 1	1	1462.739821669	1463.542939889	278.900	605.500	0.8031	-54.41	12.06	1462.7398	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
17	Spectrogram 1	1	1465.535862879	1466.398471339	294.800	701.100	0.8626	-51.62	15.59	1465.5359	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
18	Spectrogram 1	1	1468.339773909	1469.455215879	255.000	669.300	1.1154	-52.63	13.38	1468.3398	S01143_20190806_150005.wav	S01143_20190806_150005.wav	
