Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	688.670000000	688.902349352	0.000	8000.000	0.2323	-34.63	21.87	Phaser
2	Spectrogram 1	1	691.711664249	693.739440415	0.000	8000.000	2.0278	-34.18	20.69	Upsweep
3	Spectrogram 1	1	695.703848576	697.845320689	0.000	8000.000	2.1415	-34.23	19.52	Downsweep
4	Spectrogram 1	1	700.731043659	702.801065159	0.000	8000.000	2.0700	-34.18	20.62	
5	Spectrogram 1	1	704.683874169	706.796141009	0.000	8000.000	2.1123	-34.23	19.66	
6	Spectrogram 1	1	709.689946579	711.781090749	0.000	8000.000	2.0911	-34.22	19.89	
7	Spectrogram 1	1	713.724376239	715.836643079	0.000	8000.000	2.1123	-34.15	20.27	
8	Spectrogram 1	1	717.727121899	717.980593919	0.000	8000.000	0.2535	-34.48	21.83	
9	Spectrogram 1	1	727.056218779	731.544901599	580.000	1080.800	4.4887	-46.46	23.19	
10	Spectrogram 1	1	742.452931729	743.988338949	143.400	470.100	1.5354	-57.48	12.69	
11	Spectrogram 1	1	745.013701289	746.044317089	159.300	709.100	1.0306	-49.16	14.54	
12	Spectrogram 1	1	731.589519279	738.386279029	580.000	1526.500	6.7968	-49.55	19.35	
13	Spectrogram 1	1	747.288806709	748.062179809	326.700	756.900	0.7734	-46.29	20.58	
14	Spectrogram 1	1	749.415582729	750.397171669	294.800	669.300	0.9816	-48.21	19.92	
15	Spectrogram 1	1	751.943917869	752.761908649	318.700	693.200	0.8180	-50.39	19.87	
16	Spectrogram 1	1	754.459821669	755.262939889	278.900	605.500	0.8031	-49.87	19.14	
17	Spectrogram 1	1	757.255862879	758.118471339	294.800	701.100	0.8626	-48.30	22.32	
18	Spectrogram 1	1	760.059773909	761.175215879	255.000	669.300	1.1154	-49.90	16.76	
19	Spectrogram 1	1	763.123521189	764.447178999	159.300	390.400	1.3237	-55.68	13.82	
20	Spectrogram 1	1	766.675782179	768.014312549	127.500	398.400	1.3385	-57.08	12.46	
21	Spectrogram 1	1	770.192002369	771.738748569	127.500	398.400	1.5467	-57.91	12.88	
22	Spectrogram 1	1	794.003321659	801.196599259	589.600	1381.600	7.1933	-54.29	12.54	
23	Spectrogram 1	1	801.364863059	806.034183659	748.900	1593.500	4.6693	-48.39	20.45	
24	Spectrogram 1	1	806.421441759	809.429157259	358.500	900.300	3.0077	-53.42	11.74	
25	Spectrogram 1	1	812.144084680	812.985403680	661.334	980.034	0.8413	-49.53	17.83	
26	Spectrogram 1	1	814.086343418	814.864563518	605.247	1043.447	0.7782	-46.28	22.33	
27	Spectrogram 1	1	815.994265080	816.646287380	609.870	1024.170	0.6520	-46.00	24.15	
28	Spectrogram 1	1	817.699585914	818.498839014	786.238	1096.938	0.7993	-55.87	18.62	
29	Spectrogram 1	1	819.721035257	820.562354357	736.526	1007.426	0.8413	-49.05	26.31	
30	Spectrogram 1	1	823.587389459	824.470774359	23.900	255.000	0.8834	-50.90	13.95	
31	Spectrogram 1	1	826.132379459	826.910599559	47.800	247.000	0.7782	-51.37	13.58	
32	Spectrogram 1	1	828.467039759	829.455589559	39.800	239.000	0.9885	-50.10	13.84	
33	Spectrogram 1	1	831.012029759	832.000579659	31.900	247.000	0.9885	-50.20	14.69	
34	Spectrogram 1	1	833.469673559	834.374091559	31.900	207.200	0.9044	-52.86	13.86	
35	Spectrogram 1	1	838.139000000	838.371349352	0.000	8000.000	0.2323	-34.51	20.60	Phaser
36	Spectrogram 1	1	841.180664249	843.208440415	0.000	8000.000	2.0278	-34.17	21.03	Upsweep
37	Spectrogram 1	1	845.172848576	847.314320689	0.000	8000.000	2.1415	-34.21	20.37	Downsweep
38	Spectrogram 1	1	850.200043659	852.270065159	0.000	8000.000	2.0700	-34.16	20.58	
39	Spectrogram 1	1	854.152874169	856.265141009	0.000	8000.000	2.1123	-34.16	19.96	
40	Spectrogram 1	1	859.158946579	861.250090749	0.000	8000.000	2.0911	-34.21	20.81	
41	Spectrogram 1	1	863.193376239	865.305643079	0.000	8000.000	2.1123	-34.20	19.88	
42	Spectrogram 1	1	867.196121899	867.449593919	0.000	8000.000	0.2535	-34.60	21.34	
43	Spectrogram 1	1	876.525218779	881.013901599	580.000	1080.800	4.4887	-46.45	22.86	
44	Spectrogram 1	1	891.921931729	893.457338949	143.400	470.100	1.5354	-57.67	13.26	
45	Spectrogram 1	1	894.482701289	895.513317089	159.300	709.100	1.0306	-49.07	14.50	
46	Spectrogram 1	1	881.058519279	887.855279029	580.000	1526.500	6.7968	-49.61	19.50	
