Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	813.650000000	813.882349352	0.000	8000.000	0.2323	-32.88	18.12	813.6500	S00976_20190811_172127.wav	S00976_20190811_172127.wav	Phaser
2	Spectrogram 1	1	816.691664249	818.719440415	0.000	8000.000	2.0278	-32.56	20.03	816.6917	S00976_20190811_172127.wav	S00976_20190811_172127.wav	Upsweep
3	Spectrogram 1	1	820.683848576	822.825320689	0.000	8000.000	2.1415	-32.91	15.35	820.6838	S00976_20190811_172127.wav	S00976_20190811_172127.wav	Downsweep
4	Spectrogram 1	1	825.711043659	827.781065159	0.000	8000.000	2.0700	-32.89	17.54	825.7110	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
5	Spectrogram 1	1	829.663874169	831.776141009	0.000	8000.000	2.1123	-32.40	18.87	829.6639	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
6	Spectrogram 1	1	834.669946579	836.761090749	0.000	8000.000	2.0911	-32.88	17.40	834.6699	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
7	Spectrogram 1	1	838.704376239	840.816643079	0.000	8000.000	2.1123	-32.91	15.30	838.7044	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
8	Spectrogram 1	1	842.707121899	842.960593919	0.000	8000.000	0.2535	-33.16	19.06	842.7071	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
9	Spectrogram 1	1	852.036218779	856.524901599	580.000	1080.800	4.4887	-44.17	24.82	852.0362	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
10	Spectrogram 1	1	867.432931729	868.968338949	143.400	470.100	1.5354	-53.85	13.19	867.4329	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
11	Spectrogram 1	1	869.993701289	871.024317089	159.300	709.100	1.0306	-48.01	14.82	869.9937	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
12	Spectrogram 1	1	856.569519279	863.366279029	580.000	1526.500	6.7968	-50.49	17.94	856.5695	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
13	Spectrogram 1	1	872.268806709	873.042179809	326.700	756.900	0.7734	-43.97	23.99	872.2688	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
14	Spectrogram 1	1	874.395582729	875.377171669	294.800	669.300	0.9816	-46.65	22.73	874.3956	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
15	Spectrogram 1	1	876.923917869	877.741908649	318.700	693.200	0.8180	-47.76	21.28	876.9239	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
16	Spectrogram 1	1	879.439821669	880.242939889	278.900	605.500	0.8031	-48.91	19.27	879.4398	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
17	Spectrogram 1	1	882.235862879	883.098471339	294.800	701.100	0.8626	-43.45	22.82	882.2359	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
18	Spectrogram 1	1	885.039773909	886.155215879	255.000	669.300	1.1154	-48.48	19.31	885.0398	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
19	Spectrogram 1	1	888.103521189	889.427178999	159.300	390.400	1.3237	-51.88	15.87	888.1035	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
20	Spectrogram 1	1	891.655782179	892.994312549	127.500	398.400	1.3385	-52.35	12.38	891.6558	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
21	Spectrogram 1	1	895.172002369	896.718748569	127.500	398.400	1.5467	-54.94	13.93	895.1720	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
22	Spectrogram 1	1	918.983321659	926.176599259	589.600	1381.600	7.1933	-51.75	12.94	918.9833	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
23	Spectrogram 1	1	926.344863059	931.014183659	748.900	1593.500	4.6693	-50.65	19.16	926.3449	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
24	Spectrogram 1	1	931.401441759	934.409157259	358.500	900.300	3.0077	-52.86	12.31	931.4014	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
25	Spectrogram 1	1	937.124084680	937.965403680	661.334	980.034	0.8413	-51.52	18.42	937.1241	S00976_20190811_172127.wav	S00976_20190811_172127.wav	
