Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	25.750000000	25.982349352	0.000	8000.000	0.2323	-32.94	14.68	25.7500	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Phaser
2	Spectrogram 1	1	28.791664249	30.819440415	0.000	8000.000	2.0278	-32.84	15.10	28.7917	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Upsweep
3	Spectrogram 1	1	32.783848576	34.925320689	0.000	8000.000	2.1415	-32.85	14.59	32.7838	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Downsweep
4	Spectrogram 1	1	37.811043659	39.881065159	0.000	8000.000	2.0700	-32.84	15.13	37.8110	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
5	Spectrogram 1	1	41.763874169	43.876141009	0.000	8000.000	2.1123	-32.84	14.41	41.7639	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
6	Spectrogram 1	1	46.769946579	48.861090749	0.000	8000.000	2.0911	-32.86	15.02	46.7699	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
7	Spectrogram 1	1	50.804376239	52.916643079	0.000	8000.000	2.1123	-32.84	14.56	50.8044	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
8	Spectrogram 1	1	54.807121899	55.060593919	0.000	8000.000	0.2535	-32.76	14.49	54.8071	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
9	Spectrogram 1	1	64.136218779	68.624901599	580.000	1080.800	4.4887	-58.68	13.91	64.1362	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
10	Spectrogram 1	1	79.532931729	81.068338949	143.400	470.100	1.5354	-61.12	11.47	79.5329	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
11	Spectrogram 1	1	82.093701289	83.124317089	159.300	709.100	1.0306	-57.74	12.37	82.0937	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
12	Spectrogram 1	1	68.669519279	75.466279029	580.000	1526.500	6.7968	-61.51	11.31	68.6695	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
13	Spectrogram 1	1	84.368806709	85.142179809	326.700	756.900	0.7734	-57.75	12.76	84.3688	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
14	Spectrogram 1	1	86.495582729	87.477171669	294.800	669.300	0.9816	-57.66	13.28	86.4956	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
15	Spectrogram 1	1	89.023917869	89.841908649	318.700	693.200	0.8180	-60.15	13.74	89.0239	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
16	Spectrogram 1	1	91.539821669	92.342939889	278.900	605.500	0.8031	-59.76	12.81	91.5398	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
17	Spectrogram 1	1	94.335862879	95.198471339	294.800	701.100	0.8626	-56.34	13.12	94.3359	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
18	Spectrogram 1	1	97.139773909	98.255215879	255.000	669.300	1.1154	-59.28	12.75	97.1398	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
19	Spectrogram 1	1	100.203521189	101.527178999	159.300	390.400	1.3237	-61.85	11.22	100.2035	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
20	Spectrogram 1	1	103.755782179	105.094312549	127.500	398.400	1.3385	-60.32	11.38	103.7558	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
21	Spectrogram 1	1	107.272002369	108.818748569	127.500	398.400	1.5467	-61.70	11.33	107.2720	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
22	Spectrogram 1	1	131.083321659	138.276599259	589.600	1381.600	7.1933	-61.95	11.31	131.0833	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
23	Spectrogram 1	1	138.444863059	143.114183659	748.900	1593.500	4.6693	-62.50	11.57	138.4449	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
24	Spectrogram 1	1	143.501441759	146.509157259	358.500	900.300	3.0077	-62.69	11.06	143.5014	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
25	Spectrogram 1	1	149.224084680	150.065403680	661.334	980.034	0.8413	-63.36	10.27	149.2241	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
26	Spectrogram 1	1	151.166343418	151.944563518	605.247	1043.447	0.7782	-59.90	14.30	151.1663	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
27	Spectrogram 1	1	153.074265080	153.726287380	609.870	1024.170	0.6520	-59.74	13.94	153.0743	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
28	Spectrogram 1	1	154.779585914	155.578839014	786.238	1096.938	0.7993	-67.36	10.79	154.7796	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
29	Spectrogram 1	1	156.801035257	157.642354357	736.526	1007.426	0.8413	-63.88	13.12	156.8010	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
30	Spectrogram 1	1	160.667389459	161.550774359	23.900	255.000	0.8834	-54.81	12.08	160.6674	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
31	Spectrogram 1	1	163.212379459	163.990599559	47.800	247.000	0.7782	-55.97	12.67	163.2124	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
32	Spectrogram 1	1	165.547039759	166.535589559	39.800	239.000	0.9885	-55.22	11.62	165.5470	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
33	Spectrogram 1	1	168.092029759	169.080579659	31.900	247.000	0.9885	-54.70	13.37	168.0920	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
34	Spectrogram 1	1	170.549673559	171.454091559	31.900	207.200	0.9044	-56.90	12.27	170.5497	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
35	Spectrogram 1	1	175.219000000	175.451349352	0.000	8000.000	0.2323	-32.99	14.46	175.2190	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Phaser
36	Spectrogram 1	1	178.260664249	180.288440415	0.000	8000.000	2.0278	-32.85	15.19	178.2607	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Upsweep
37	Spectrogram 1	1	182.252848576	184.394320689	0.000	8000.000	2.1415	-32.85	14.68	182.2528	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Downsweep
38	Spectrogram 1	1	187.280043659	189.350065159	0.000	8000.000	2.0700	-32.84	15.12	187.2800	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
39	Spectrogram 1	1	191.232874169	193.345141009	0.000	8000.000	2.1123	-32.87	14.65	191.2329	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
40	Spectrogram 1	1	196.238946579	198.330090749	0.000	8000.000	2.0911	-32.86	15.22	196.2389	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
41	Spectrogram 1	1	200.273376239	202.385643079	0.000	8000.000	2.1123	-32.86	14.65	200.2734	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
42	Spectrogram 1	1	204.276121899	204.529593919	0.000	8000.000	0.2535	-32.85	14.57	204.2761	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
43	Spectrogram 1	1	213.605218779	218.093901599	580.000	1080.800	4.4887	-58.13	14.56	213.6052	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
44	Spectrogram 1	1	229.001931729	230.537338949	143.400	470.100	1.5354	-60.90	12.08	229.0019	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
45	Spectrogram 1	1	231.562701289	232.593317089	159.300	709.100	1.0306	-57.71	12.20	231.5627	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
46	Spectrogram 1	1	218.138519279	224.935279029	580.000	1526.500	6.7968	-61.32	11.32	218.1385	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
47	Spectrogram 1	1	233.837806709	234.611179809	326.700	756.900	0.7734	-58.01	12.99	233.8378	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
48	Spectrogram 1	1	235.964582729	236.946171669	294.800	669.300	0.9816	-57.38	14.57	235.9646	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
49	Spectrogram 1	1	238.492917869	239.310908649	318.700	693.200	0.8180	-59.49	13.27	238.4929	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
50	Spectrogram 1	1	241.008821669	241.811939889	278.900	605.500	0.8031	-59.72	11.87	241.0088	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
51	Spectrogram 1	1	243.804862879	244.667471339	294.800	701.100	0.8626	-56.13	14.08	243.8049	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
52	Spectrogram 1	1	246.608773909	247.724215879	255.000	669.300	1.1154	-59.05	12.85	246.6088	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
53	Spectrogram 1	1	249.672521189	250.996178999	159.300	390.400	1.3237	-61.62	11.51	249.6725	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
54	Spectrogram 1	1	253.224782179	254.563312549	127.500	398.400	1.3385	-60.55	11.37	253.2248	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
55	Spectrogram 1	1	256.741002369	258.287748569	127.500	398.400	1.5467	-61.94	11.18	256.7410	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
56	Spectrogram 1	1	280.552321659	287.745599259	589.600	1381.600	7.1933	-62.03	10.98	280.5523	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
57	Spectrogram 1	1	287.913863059	292.583183659	748.900	1593.500	4.6693	-62.71	11.23	287.9139	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
58	Spectrogram 1	1	292.970441759	295.978157259	358.500	900.300	3.0077	-62.78	10.89	292.9704	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
59	Spectrogram 1	1	298.693084680	299.534403680	661.334	980.034	0.8413	-63.16	11.71	298.6931	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
60	Spectrogram 1	1	300.635343418	301.413563518	605.247	1043.447	0.7782	-59.77	13.87	300.6353	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
61	Spectrogram 1	1	302.543265080	303.195287380	609.870	1024.170	0.6520	-59.14	15.40	302.5433	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
62	Spectrogram 1	1	304.248585914	305.047839014	786.238	1096.938	0.7993	-66.84	11.07	304.2486	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
63	Spectrogram 1	1	306.270035257	307.111354357	736.526	1007.426	0.8413	-63.93	12.83	306.2700	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
64	Spectrogram 1	1	310.136389459	311.019774359	23.900	255.000	0.8834	-55.05	12.62	310.1364	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
65	Spectrogram 1	1	312.681379459	313.459599559	47.800	247.000	0.7782	-56.33	12.16	312.6814	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
66	Spectrogram 1	1	315.016039759	316.004589559	39.800	239.000	0.9885	-54.96	13.55	315.0160	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
67	Spectrogram 1	1	317.561029759	318.549579659	31.900	247.000	0.9885	-54.87	13.47	317.5610	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
68	Spectrogram 1	1	320.018673559	320.923091559	31.900	207.200	0.9044	-56.09	11.73	320.0187	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
69	Spectrogram 1	1	324.650000000	324.882349352	0.000	8000.000	0.2323	-32.85	14.59	324.6500	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Phaser
70	Spectrogram 1	1	327.691664249	329.719440415	0.000	8000.000	2.0278	-32.87	15.16	327.6917	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Upsweep
71	Spectrogram 1	1	331.683848576	333.825320689	0.000	8000.000	2.1415	-32.87	14.55	331.6838	S00976_20190811_162126.wav	S00976_20190811_162126.wav	Downsweep
72	Spectrogram 1	1	336.711043659	338.781065159	0.000	8000.000	2.0700	-32.88	15.07	336.7110	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
73	Spectrogram 1	1	340.663874169	342.776141009	0.000	8000.000	2.1123	-32.88	14.51	340.6639	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
74	Spectrogram 1	1	345.669946579	347.761090749	0.000	8000.000	2.0911	-32.86	15.24	345.6699	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
75	Spectrogram 1	1	349.704376239	351.816643079	0.000	8000.000	2.1123	-32.87	14.69	349.7044	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
76	Spectrogram 1	1	353.707121899	353.960593919	0.000	8000.000	0.2535	-32.81	14.60	353.7071	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
77	Spectrogram 1	1	363.036218779	367.524901599	580.000	1080.800	4.4887	-58.24	14.44	363.0362	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
78	Spectrogram 1	1	378.432931729	379.968338949	143.400	470.100	1.5354	-61.16	11.68	378.4329	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
79	Spectrogram 1	1	380.993701289	382.024317089	159.300	709.100	1.0306	-57.22	12.18	380.9937	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
80	Spectrogram 1	1	367.569519279	374.366279029	580.000	1526.500	6.7968	-61.34	11.45	367.5695	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
81	Spectrogram 1	1	383.268806709	384.042179809	326.700	756.900	0.7734	-57.42	13.88	383.2688	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
82	Spectrogram 1	1	385.395582729	386.377171669	294.800	669.300	0.9816	-56.89	14.66	385.3956	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
83	Spectrogram 1	1	387.923917869	388.741908649	318.700	693.200	0.8180	-59.34	13.55	387.9239	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
84	Spectrogram 1	1	390.439821669	391.242939889	278.900	605.500	0.8031	-58.78	13.82	390.4398	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
85	Spectrogram 1	1	393.235862879	394.098471339	294.800	701.100	0.8626	-56.42	14.28	393.2359	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
86	Spectrogram 1	1	396.039773909	397.155215879	255.000	669.300	1.1154	-59.00	12.20	396.0398	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
87	Spectrogram 1	1	399.103521189	400.427178999	159.300	390.400	1.3237	-61.99	10.91	399.1035	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
88	Spectrogram 1	1	402.655782179	403.994312549	127.500	398.400	1.3385	-60.20	11.04	402.6558	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
89	Spectrogram 1	1	406.172002369	407.718748569	127.500	398.400	1.5467	-61.32	11.46	406.1720	S00976_20190811_162126.wav	S00976_20190811_162126.wav	
