Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1675.900000000	1676.132349352	0.000	8000.000	0.2323	-33.09	22.10	Phaser
2	Spectrogram 1	1	1678.941664249	1680.969440415	0.000	8000.000	2.0278	-32.27	22.62	Upsweep
3	Spectrogram 1	1	1682.933848576	1685.075320689	0.000	8000.000	2.1415	-32.45	22.11	Downsweep
4	Spectrogram 1	1	1687.961043659	1690.031065159	0.000	8000.000	2.0700	-32.34	22.51	
5	Spectrogram 1	1	1691.913874169	1694.026141009	0.000	8000.000	2.1123	-32.47	22.54	
6	Spectrogram 1	1	1696.919946579	1699.011090749	0.000	8000.000	2.0911	-32.42	22.84	
7	Spectrogram 1	1	1700.954376239	1703.066643079	0.000	8000.000	2.1123	-32.44	22.04	
8	Spectrogram 1	1	1704.957121899	1705.210593919	0.000	8000.000	0.2535	-33.18	22.06	
9	Spectrogram 1	1	1714.286218779	1718.774901599	580.000	1080.800	4.4887	-31.87	21.23	
10	Spectrogram 1	1	1729.682931729	1731.218338949	143.400	470.100	1.5354	-51.85	10.67	
11	Spectrogram 1	1	1732.243701289	1733.274317089	159.300	709.100	1.0306	-43.85	12.27	
12	Spectrogram 1	1	1718.819519279	1725.616279029	580.000	1526.500	6.7968	-36.79	20.81	
13	Spectrogram 1	1	1734.518806709	1735.292179809	326.700	756.900	0.7734	-35.61	18.79	
14	Spectrogram 1	1	1736.645582729	1737.627171669	294.800	669.300	0.9816	-41.45	13.63	
15	Spectrogram 1	1	1739.173917869	1739.991908649	318.700	693.200	0.8180	-37.95	18.20	
16	Spectrogram 1	1	1741.689821669	1742.492939889	278.900	605.500	0.8031	-46.61	13.90	
17	Spectrogram 1	1	1744.485862879	1745.348471339	294.800	701.100	0.8626	-34.42	16.41	
18	Spectrogram 1	1	1747.289773909	1748.405215879	255.000	669.300	1.1154	-46.30	11.35	
19	Spectrogram 1	1	1750.353521189	1751.677178999	159.300	390.400	1.3237	-53.56	10.70	
20	Spectrogram 1	1	1753.905782179	1755.244312549	127.500	398.400	1.3385	-53.20	10.12	
21	Spectrogram 1	1	1757.422002369	1758.968748569	127.500	398.400	1.5467	-53.11	10.34	
22	Spectrogram 1	1	1781.233321659	1788.426599259	589.600	1381.600	7.1933	-36.61	15.48	
23	Spectrogram 1	1	1788.594863059	1793.264183659	748.900	1593.500	4.6693	-34.51	20.15	
24	Spectrogram 1	1	1793.651441759	1796.659157259	358.500	900.300	3.0077	-40.17	12.15	
25	Spectrogram 1	1	1799.374084680	1800.215403680	661.334	980.034	0.8413	-37.48	17.10	
26	Spectrogram 1	1	1801.316343418	1802.094563518	605.247	1043.447	0.7782	-35.80	18.40	
27	Spectrogram 1	1	1803.224265080	1803.876287380	609.870	1024.170	0.6520	-36.21	20.04	
28	Spectrogram 1	1	1804.929585914	1805.728839014	786.238	1096.938	0.7993	-43.05	17.91	
29	Spectrogram 1	1	1806.951035257	1807.792354357	736.526	1007.426	0.8413	-39.81	20.45	
30	Spectrogram 1	1	1810.817389459	1811.700774359	23.900	255.000	0.8834	-50.09	11.95	
31	Spectrogram 1	1	1813.362379459	1814.140599559	47.800	247.000	0.7782	-52.44	11.33	
32	Spectrogram 1	1	1815.697039759	1816.685589559	39.800	239.000	0.9885	-51.18	11.57	
33	Spectrogram 1	1	1818.242029759	1819.230579659	31.900	247.000	0.9885	-49.98	13.01	
34	Spectrogram 1	1	1820.699673559	1821.604091559	31.900	207.200	0.9044	-50.02	12.26	
35	Spectrogram 1	1	1825.369000000	1825.601349352	0.000	8000.000	0.2323	-33.17	22.21	Phaser
36	Spectrogram 1	1	1828.410664249	1830.438440415	0.000	8000.000	2.0278	-32.40	22.14	Upsweep
37	Spectrogram 1	1	1832.402848576	1834.544320689	0.000	8000.000	2.1415	-32.43	20.78	Downsweep
38	Spectrogram 1	1	1837.430043659	1839.500065159	0.000	8000.000	2.0700	-32.31	22.95	
39	Spectrogram 1	1	1841.382874169	1843.495141009	0.000	8000.000	2.1123	-32.44	21.96	
40	Spectrogram 1	1	1846.388946579	1848.480090749	0.000	8000.000	2.0911	-32.43	22.90	
41	Spectrogram 1	1	1850.423376239	1852.535643079	0.000	8000.000	2.1123	-32.45	22.51	
42	Spectrogram 1	1	1854.426121899	1854.679593919	0.000	8000.000	0.2535	-33.47	23.14	
43	Spectrogram 1	1	1863.755218779	1868.243901599	580.000	1080.800	4.4887	-31.88	21.43	
44	Spectrogram 1	1	1879.151931729	1880.687338949	143.400	470.100	1.5354	-51.82	11.13	
45	Spectrogram 1	1	1881.712701289	1882.743317089	159.300	709.100	1.0306	-44.20	11.78	
46	Spectrogram 1	1	1868.288519279	1875.085279029	580.000	1526.500	6.7968	-36.66	20.75	
47	Spectrogram 1	1	1883.987806709	1884.761179809	326.700	756.900	0.7734	-35.53	18.00	
48	Spectrogram 1	1	1886.114582729	1887.096171669	294.800	669.300	0.9816	-41.45	13.06	
49	Spectrogram 1	1	1888.642917869	1889.460908649	318.700	693.200	0.8180	-38.20	16.36	
50	Spectrogram 1	1	1891.158821669	1891.961939889	278.900	605.500	0.8031	-46.63	13.25	
51	Spectrogram 1	1	1893.954862879	1894.817471339	294.800	701.100	0.8626	-34.24	17.32	
52	Spectrogram 1	1	1896.758773909	1897.874215879	255.000	669.300	1.1154	-46.17	11.38	
53	Spectrogram 1	1	1899.822521189	1901.146178999	159.300	390.400	1.3237	-53.99	10.60	
54	Spectrogram 1	1	1903.374782179	1904.713312549	127.500	398.400	1.3385	-53.09	10.32	
55	Spectrogram 1	1	1906.891002369	1908.437748569	127.500	398.400	1.5467	-52.80	9.74	
56	Spectrogram 1	1	1930.702321659	1937.895599259	589.600	1381.600	7.1933	-36.64	16.27	
57	Spectrogram 1	1	1938.063863059	1942.733183659	748.900	1593.500	4.6693	-35.03	19.61	
58	Spectrogram 1	1	1943.120441759	1946.128157259	358.500	900.300	3.0077	-40.62	11.99	
59	Spectrogram 1	1	1948.843084680	1949.684403680	661.334	980.034	0.8413	-37.97	17.66	
