Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2335.950000000	2336.182349352	0.000	8000.000	0.2323	-37.31	20.05	Phaser
2	Spectrogram 1	1	2338.991664249	2341.019440415	0.000	8000.000	2.0278	-36.40	20.77	Upsweep
3	Spectrogram 1	1	2342.983848576	2345.125320689	0.000	8000.000	2.1415	-36.39	20.61	Downsweep
4	Spectrogram 1	1	2348.011043659	2350.081065159	0.000	8000.000	2.0700	-36.48	20.89	
5	Spectrogram 1	1	2351.963874169	2354.076141009	0.000	8000.000	2.1123	-36.64	19.98	
6	Spectrogram 1	1	2356.969946579	2359.061090749	0.000	8000.000	2.0911	-36.49	21.14	
7	Spectrogram 1	1	2361.004376239	2363.116643079	0.000	8000.000	2.1123	-36.58	20.47	
8	Spectrogram 1	1	2365.007121899	2365.260593919	0.000	8000.000	0.2535	-37.65	21.40	
9	Spectrogram 1	1	2374.336218779	2378.824901599	580.000	1080.800	4.4887	-37.11	23.19	
10	Spectrogram 1	1	2389.732931729	2391.268338949	143.400	470.100	1.5354	-57.90	10.16	
11	Spectrogram 1	1	2392.293701289	2393.324317089	159.300	709.100	1.0306	-50.14	11.47	
12	Spectrogram 1	1	2378.869519279	2385.666279029	580.000	1526.500	6.7968	-38.87	21.28	
13	Spectrogram 1	1	2394.568806709	2395.342179809	326.700	756.900	0.7734	-42.76	17.82	
14	Spectrogram 1	1	2396.695582729	2397.677171669	294.800	669.300	0.9816	-48.30	13.27	
15	Spectrogram 1	1	2399.223917869	2400.041908649	318.700	693.200	0.8180	-43.67	15.85	
16	Spectrogram 1	1	2401.739821669	2402.542939889	278.900	605.500	0.8031	-52.02	12.81	
17	Spectrogram 1	1	2404.535862879	2405.398471339	294.800	701.100	0.8626	-44.03	15.61	
18	Spectrogram 1	1	2407.339773909	2408.455215879	255.000	669.300	1.1154	-50.61	11.20	
19	Spectrogram 1	1	2410.403521189	2411.727178999	159.300	390.400	1.3237	-59.10	9.95	
20	Spectrogram 1	1	2413.955782179	2415.294312549	127.500	398.400	1.3385	-58.97	10.53	
21	Spectrogram 1	1	2417.472002369	2419.018748569	127.500	398.400	1.5467	-58.25	10.66	
22	Spectrogram 1	1	2441.283321659	2448.476599259	589.600	1381.600	7.1933	-40.29	16.31	
23	Spectrogram 1	1	2448.644863059	2453.314183659	748.900	1593.500	4.6693	-37.84	19.65	
24	Spectrogram 1	1	2453.701441759	2456.709157259	358.500	900.300	3.0077	-44.94	12.58	
25	Spectrogram 1	1	2459.424084680	2460.265403680	661.334	980.034	0.8413	-40.23	16.64	
26	Spectrogram 1	1	2461.366343418	2462.144563518	605.247	1043.447	0.7782	-38.43	16.92	
27	Spectrogram 1	1	2463.274265080	2463.926287380	609.870	1024.170	0.6520	-39.63	17.43	
28	Spectrogram 1	1	2464.979585914	2465.778839014	786.238	1096.938	0.7993	-45.69	16.60	
29	Spectrogram 1	1	2467.001035257	2467.842354357	736.526	1007.426	0.8413	-42.47	19.21	
30	Spectrogram 1	1	2470.867389459	2471.750774359	23.900	255.000	0.8834	-54.50	13.35	
31	Spectrogram 1	1	2473.412379459	2474.190599559	47.800	247.000	0.7782	-56.58	10.78	
32	Spectrogram 1	1	2475.747039759	2476.735589559	39.800	239.000	0.9885	-55.94	10.99	
33	Spectrogram 1	1	2478.292029759	2479.280579659	31.900	247.000	0.9885	-54.50	13.11	
34	Spectrogram 1	1	2480.749673559	2481.654091559	31.900	207.200	0.9044	-54.40	13.81	
35	Spectrogram 1	1	2485.419000000	2485.651349352	0.000	8000.000	0.2323	-37.07	21.98	Phaser
36	Spectrogram 1	1	2488.460664249	2490.488440415	0.000	8000.000	2.0278	-36.02	20.53	Upsweep
37	Spectrogram 1	1	2492.452848576	2494.594320689	0.000	8000.000	2.1415	-36.08	21.02	Downsweep
38	Spectrogram 1	1	2497.480043659	2499.550065159	0.000	8000.000	2.0700	-36.59	20.86	
39	Spectrogram 1	1	2501.432874169	2503.545141009	0.000	8000.000	2.1123	-36.11	20.65	
40	Spectrogram 1	1	2506.438946579	2508.530090749	0.000	8000.000	2.0911	-36.20	21.31	
41	Spectrogram 1	1	2510.473376239	2512.585643079	0.000	8000.000	2.1123	-36.51	20.75	
42	Spectrogram 1	1	2514.476121899	2514.729593919	0.000	8000.000	0.2535	-37.87	21.06	
43	Spectrogram 1	1	2523.805218779	2528.293901599	580.000	1080.800	4.4887	-36.84	24.11	
44	Spectrogram 1	1	2539.201931729	2540.737338949	143.400	470.100	1.5354	-57.56	10.84	
45	Spectrogram 1	1	2541.762701289	2542.793317089	159.300	709.100	1.0306	-50.23	11.71	
46	Spectrogram 1	1	2528.338519279	2535.135279029	580.000	1526.500	6.7968	-38.97	21.32	
47	Spectrogram 1	1	2544.037806709	2544.811179809	326.700	756.900	0.7734	-42.50	17.82	
48	Spectrogram 1	1	2546.164582729	2547.146171669	294.800	669.300	0.9816	-48.50	12.91	
49	Spectrogram 1	1	2548.692917869	2549.510908649	318.700	693.200	0.8180	-43.79	16.32	
50	Spectrogram 1	1	2551.208821669	2552.011939889	278.900	605.500	0.8031	-51.90	11.86	
51	Spectrogram 1	1	2554.004862879	2554.867471339	294.800	701.100	0.8626	-43.77	15.92	
52	Spectrogram 1	1	2556.808773909	2557.924215879	255.000	669.300	1.1154	-50.80	11.11	
53	Spectrogram 1	1	2559.872521189	2561.196178999	159.300	390.400	1.3237	-59.42	10.99	
54	Spectrogram 1	1	2563.424782179	2564.763312549	127.500	398.400	1.3385	-58.64	10.97	
55	Spectrogram 1	1	2566.941002369	2568.487748569	127.500	398.400	1.5467	-58.29	10.01	
56	Spectrogram 1	1	2590.752321659	2597.945599259	589.600	1381.600	7.1933	-40.44	16.40	
57	Spectrogram 1	1	2598.113863059	2602.783183659	748.900	1593.500	4.6693	-38.00	19.70	
58	Spectrogram 1	1	2603.170441759	2606.178157259	358.500	900.300	3.0077	-45.14	11.92	
59	Spectrogram 1	1	2608.893084680	2609.734403680	661.334	980.034	0.8413	-40.57	17.32	
60	Spectrogram 1	1	2610.835343418	2611.613563518	605.247	1043.447	0.7782	-38.60	18.90	
61	Spectrogram 1	1	2612.743265080	2613.395287380	609.870	1024.170	0.6520	-39.65	18.30	
62	Spectrogram 1	1	2614.448585914	2615.247839014	786.238	1096.938	0.7993	-45.71	16.57	
63	Spectrogram 1	1	2616.470035257	2617.311354357	736.526	1007.426	0.8413	-42.37	19.44	
64	Spectrogram 1	1	2620.336389459	2621.219774359	23.900	255.000	0.8834	-54.79	11.55	
65	Spectrogram 1	1	2622.881379459	2623.659599559	47.800	247.000	0.7782	-56.92	12.25	
66	Spectrogram 1	1	2625.216039759	2626.204589559	39.800	239.000	0.9885	-56.38	11.89	
67	Spectrogram 1	1	2627.761029759	2628.749579659	31.900	247.000	0.9885	-54.76	13.17	
68	Spectrogram 1	1	2630.218673559	2631.123091559	31.900	207.200	0.9044	-54.97	13.25	
69	Spectrogram 1	1	2634.850000000	2635.082349352	0.000	8000.000	0.2323	-37.00	21.86	Phaser
70	Spectrogram 1	1	2637.891664249	2639.919440415	0.000	8000.000	2.0278	-36.36	21.14	Upsweep
71	Spectrogram 1	1	2641.883848576	2644.025320689	0.000	8000.000	2.1415	-36.49	20.90	Downsweep
72	Spectrogram 1	1	2646.911043659	2648.981065159	0.000	8000.000	2.0700	-36.58	20.49	
73	Spectrogram 1	1	2650.863874169	2652.976141009	0.000	8000.000	2.1123	-36.65	20.18	
74	Spectrogram 1	1	2655.869946579	2657.961090749	0.000	8000.000	2.0911	-36.68	19.82	
75	Spectrogram 1	1	2659.904376239	2662.016643079	0.000	8000.000	2.1123	-36.62	19.81	
76	Spectrogram 1	1	2663.907121899	2664.160593919	0.000	8000.000	0.2535	-37.89	19.98	
77	Spectrogram 1	1	2673.236218779	2677.724901599	580.000	1080.800	4.4887	-37.18	23.98	
78	Spectrogram 1	1	2688.632931729	2690.168338949	143.400	470.100	1.5354	-57.64	10.10	
79	Spectrogram 1	1	2691.193701289	2692.224317089	159.300	709.100	1.0306	-50.13	11.76	
80	Spectrogram 1	1	2677.769519279	2684.566279029	580.000	1526.500	6.7968	-38.95	22.27	
81	Spectrogram 1	1	2693.468806709	2694.242179809	326.700	756.900	0.7734	-42.97	16.99	
82	Spectrogram 1	1	2695.595582729	2696.577171669	294.800	669.300	0.9816	-48.45	12.54	
83	Spectrogram 1	1	2698.123917869	2698.941908649	318.700	693.200	0.8180	-44.08	15.87	
84	Spectrogram 1	1	2700.639821669	2701.442939889	278.900	605.500	0.8031	-52.12	13.39	
85	Spectrogram 1	1	2703.435862879	2704.298471339	294.800	701.100	0.8626	-43.93	16.42	
86	Spectrogram 1	1	2706.239773909	2707.355215879	255.000	669.300	1.1154	-50.49	11.75	
87	Spectrogram 1	1	2709.303521189	2710.627178999	159.300	390.400	1.3237	-59.62	10.33	
88	Spectrogram 1	1	2712.855782179	2714.194312549	127.500	398.400	1.3385	-58.70	10.01	
89	Spectrogram 1	1	2716.372002369	2717.918748569	127.500	398.400	1.5467	-59.13	10.72	
90	Spectrogram 1	1	2740.183321659	2747.376599259	589.600	1381.600	7.1933	-40.61	15.82	
91	Spectrogram 1	1	2747.544863059	2752.214183659	748.900	1593.500	4.6693	-38.17	20.28	
92	Spectrogram 1	1	2752.601441759	2755.609157259	358.500	900.300	3.0077	-45.52	11.96	
93	Spectrogram 1	1	2758.324084680	2759.165403680	661.334	980.034	0.8413	-40.42	17.19	
94	Spectrogram 1	1	2760.266343418	2761.044563518	605.247	1043.447	0.7782	-38.35	18.83	
