Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1412.900000000	1413.132349352	0.000	8000.000	0.2323	-30.40	23.22	Phaser
2	Spectrogram 1	1	1415.941664249	1417.969440415	0.000	8000.000	2.0278	-28.41	23.08	Upsweep
3	Spectrogram 1	1	1419.933848576	1422.075320689	0.000	8000.000	2.1415	-28.67	22.53	Downsweep
4	Spectrogram 1	1	1424.961043659	1427.031065159	0.000	8000.000	2.0700	-28.56	22.56	
5	Spectrogram 1	1	1428.913874169	1431.026141009	0.000	8000.000	2.1123	-28.64	23.14	
6	Spectrogram 1	1	1433.919946579	1436.011090749	0.000	8000.000	2.0911	-28.58	22.19	
7	Spectrogram 1	1	1437.954376239	1440.066643079	0.000	8000.000	2.1123	-28.54	22.57	
8	Spectrogram 1	1	1441.957121899	1442.210593919	0.000	8000.000	0.2535	-30.83	23.89	
9	Spectrogram 1	1	1451.286218779	1455.774901599	580.000	1080.800	4.4887	-25.00	27.07	
10	Spectrogram 1	1	1466.682931729	1468.218338949	143.400	470.100	1.5354	-53.34	10.65	
11	Spectrogram 1	1	1469.243701289	1470.274317089	159.300	709.100	1.0306	-39.05	13.18	
12	Spectrogram 1	1	1455.819519279	1462.616279029	580.000	1526.500	6.7968	-29.55	25.75	
13	Spectrogram 1	1	1471.518806709	1472.292179809	326.700	756.900	0.7734	-30.27	22.50	
14	Spectrogram 1	1	1473.645582729	1474.627171669	294.800	669.300	0.9816	-37.67	16.78	
15	Spectrogram 1	1	1476.173917869	1476.991908649	318.700	693.200	0.8180	-36.21	18.40	
16	Spectrogram 1	1	1478.689821669	1479.492939889	278.900	605.500	0.8031	-39.56	16.64	
17	Spectrogram 1	1	1481.485862879	1482.348471339	294.800	701.100	0.8626	-34.31	19.61	
18	Spectrogram 1	1	1484.289773909	1485.405215879	255.000	669.300	1.1154	-41.54	15.19	
19	Spectrogram 1	1	1487.353521189	1488.677178999	159.300	390.400	1.3237	-55.25	11.44	
20	Spectrogram 1	1	1490.905782179	1492.244312549	127.500	398.400	1.3385	-55.32	10.54	
21	Spectrogram 1	1	1494.422002369	1495.968748569	127.500	398.400	1.5467	-54.78	10.51	
22	Spectrogram 1	1	1518.233321659	1525.426599259	589.600	1381.600	7.1933	-31.41	19.34	
23	Spectrogram 1	1	1525.594863059	1530.264183659	748.900	1593.500	4.6693	-27.23	24.94	
24	Spectrogram 1	1	1530.651441759	1533.659157259	358.500	900.300	3.0077	-34.24	13.44	
25	Spectrogram 1	1	1536.374084680	1537.215403680	661.334	980.034	0.8413	-34.12	18.79	
26	Spectrogram 1	1	1538.316343418	1539.094563518	605.247	1043.447	0.7782	-28.15	21.03	
27	Spectrogram 1	1	1540.224265080	1540.876287380	609.870	1024.170	0.6520	-28.14	23.93	
28	Spectrogram 1	1	1541.929585914	1542.728839014	786.238	1096.938	0.7993	-35.63	20.20	
29	Spectrogram 1	1	1543.951035257	1544.792354357	736.526	1007.426	0.8413	-31.49	25.87	
30	Spectrogram 1	1	1547.817389459	1548.700774359	23.900	255.000	0.8834	-50.43	13.86	
31	Spectrogram 1	1	1550.362379459	1551.140599559	47.800	247.000	0.7782	-52.96	11.50	
32	Spectrogram 1	1	1552.697039759	1553.685589559	39.800	239.000	0.9885	-49.69	15.16	
33	Spectrogram 1	1	1555.242029759	1556.230579659	31.900	247.000	0.9885	-50.55	14.52	
34	Spectrogram 1	1	1557.699673559	1558.604091559	31.900	207.200	0.9044	-51.23	14.00	
35	Spectrogram 1	1	1562.369000000	1562.601349352	0.000	8000.000	0.2323	-30.95	23.09	Phaser
36	Spectrogram 1	1	1565.410664249	1567.438440415	0.000	8000.000	2.0278	-28.22	22.68	Upsweep
37	Spectrogram 1	1	1569.402848576	1571.544320689	0.000	8000.000	2.1415	-28.51	22.41	Downsweep
38	Spectrogram 1	1	1574.430043659	1576.500065159	0.000	8000.000	2.0700	-28.44	22.70	
39	Spectrogram 1	1	1578.382874169	1580.495141009	0.000	8000.000	2.1123	-28.51	23.12	
40	Spectrogram 1	1	1583.388946579	1585.480090749	0.000	8000.000	2.0911	-28.46	22.32	
41	Spectrogram 1	1	1587.423376239	1589.535643079	0.000	8000.000	2.1123	-28.62	22.98	
42	Spectrogram 1	1	1591.426121899	1591.679593919	0.000	8000.000	0.2535	-30.88	23.88	
43	Spectrogram 1	1	1600.755218779	1605.243901599	580.000	1080.800	4.4887	-24.99	28.03	
44	Spectrogram 1	1	1616.151931729	1617.687338949	143.400	470.100	1.5354	-53.38	10.55	
45	Spectrogram 1	1	1618.712701289	1619.743317089	159.300	709.100	1.0306	-38.95	14.07	
46	Spectrogram 1	1	1605.288519279	1612.085279029	580.000	1526.500	6.7968	-29.52	25.84	
47	Spectrogram 1	1	1620.987806709	1621.761179809	326.700	756.900	0.7734	-30.14	21.59	
48	Spectrogram 1	1	1623.114582729	1624.096171669	294.800	669.300	0.9816	-37.42	16.52	
49	Spectrogram 1	1	1625.642917869	1626.460908649	318.700	693.200	0.8180	-36.12	19.54	
50	Spectrogram 1	1	1628.158821669	1628.961939889	278.900	605.500	0.8031	-39.41	15.77	
51	Spectrogram 1	1	1630.954862879	1631.817471339	294.800	701.100	0.8626	-34.43	20.72	
52	Spectrogram 1	1	1633.758773909	1634.874215879	255.000	669.300	1.1154	-41.27	13.95	
53	Spectrogram 1	1	1636.822521189	1638.146178999	159.300	390.400	1.3237	-55.55	10.98	
54	Spectrogram 1	1	1640.374782179	1641.713312549	127.500	398.400	1.3385	-55.03	10.08	
55	Spectrogram 1	1	1643.891002369	1645.437748569	127.500	398.400	1.5467	-54.83	11.56	
56	Spectrogram 1	1	1667.702321659	1674.895599259	589.600	1381.600	7.1933	-31.31	18.99	
57	Spectrogram 1	1	1675.063863059	1679.733183659	748.900	1593.500	4.6693	-27.23	24.94	
58	Spectrogram 1	1	1680.120441759	1683.128157259	358.500	900.300	3.0077	-34.30	12.94	
59	Spectrogram 1	1	1685.843084680	1686.684403680	661.334	980.034	0.8413	-34.11	20.34	
60	Spectrogram 1	1	1687.785343418	1688.563563518	605.247	1043.447	0.7782	-27.96	20.42	
61	Spectrogram 1	1	1689.693265080	1690.345287380	609.870	1024.170	0.6520	-28.03	22.75	
62	Spectrogram 1	1	1691.398585914	1692.197839014	786.238	1096.938	0.7993	-35.62	20.06	
63	Spectrogram 1	1	1693.420035257	1694.261354357	736.526	1007.426	0.8413	-31.68	24.52	
64	Spectrogram 1	1	1697.286389459	1698.169774359	23.900	255.000	0.8834	-50.44	15.37	
65	Spectrogram 1	1	1699.831379459	1700.609599559	47.800	247.000	0.7782	-53.12	12.11	
66	Spectrogram 1	1	1702.166039759	1703.154589559	39.800	239.000	0.9885	-50.03	15.39	
67	Spectrogram 1	1	1704.711029759	1705.699579659	31.900	247.000	0.9885	-48.93	15.15	
68	Spectrogram 1	1	1707.168673559	1708.073091559	31.900	207.200	0.9044	-50.90	13.89	
69	Spectrogram 1	1	1711.800000000	1712.032349352	0.000	8000.000	0.2323	-30.55	25.38	Phaser
70	Spectrogram 1	1	1714.841664249	1716.869440415	0.000	8000.000	2.0278	-28.33	22.86	Upsweep
71	Spectrogram 1	1	1718.833848576	1720.975320689	0.000	8000.000	2.1415	-28.58	21.85	Downsweep
72	Spectrogram 1	1	1723.861043659	1725.931065159	0.000	8000.000	2.0700	-28.46	23.22	
73	Spectrogram 1	1	1727.813874169	1729.926141009	0.000	8000.000	2.1123	-28.63	22.27	
74	Spectrogram 1	1	1732.819946579	1734.911090749	0.000	8000.000	2.0911	-28.51	22.87	
