Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1625.100000000	1625.332349352	0.000	8000.000	0.2323	-28.42	21.33	Phaser
2	Spectrogram 1	1	1628.141664249	1630.169440415	0.000	8000.000	2.0278	-28.45	20.52	Upsweep
3	Spectrogram 1	1	1632.133848576	1634.275320689	0.000	8000.000	2.1415	-28.14	20.48	Downsweep
4	Spectrogram 1	1	1637.161043659	1639.231065159	0.000	8000.000	2.0700	-28.31	19.73	
5	Spectrogram 1	1	1641.113874169	1643.226141009	0.000	8000.000	2.1123	-28.96	19.38	
6	Spectrogram 1	1	1646.119946579	1648.211090749	0.000	8000.000	2.0911	-28.85	18.92	
7	Spectrogram 1	1	1650.154376239	1652.266643079	0.000	8000.000	2.1123	-28.53	20.07	
8	Spectrogram 1	1	1654.157121899	1654.410593919	0.000	8000.000	0.2535	-28.92	19.84	
9	Spectrogram 1	1	1663.486218779	1667.974901599	580.000	1080.800	4.4887	-45.19	17.42	
10	Spectrogram 1	1	1678.882931729	1680.418338949	143.400	470.100	1.5354	-55.93	10.45	
11	Spectrogram 1	1	1681.443701289	1682.474317089	159.300	709.100	1.0306	-48.86	10.92	
12	Spectrogram 1	1	1668.019519279	1674.816279029	580.000	1526.500	6.7968	-47.16	13.96	
13	Spectrogram 1	1	1683.718806709	1684.492179809	326.700	756.900	0.7734	-45.58	15.65	
14	Spectrogram 1	1	1685.845582729	1686.827171669	294.800	669.300	0.9816	-47.86	12.24	
15	Spectrogram 1	1	1688.373917869	1689.191908649	318.700	693.200	0.8180	-47.16	14.44	
16	Spectrogram 1	1	1690.889821669	1691.692939889	278.900	605.500	0.8031	-49.88	10.82	
17	Spectrogram 1	1	1693.685862879	1694.548471339	294.800	701.100	0.8626	-46.21	15.58	
18	Spectrogram 1	1	1696.489773909	1697.605215879	255.000	669.300	1.1154	-50.24	11.10	
19	Spectrogram 1	1	1699.553521189	1700.877178999	159.300	390.400	1.3237	-55.52	10.55	
20	Spectrogram 1	1	1703.105782179	1704.444312549	127.500	398.400	1.3385	-55.90	10.11	
21	Spectrogram 1	1	1706.622002369	1708.168748569	127.500	398.400	1.5467	-52.86	11.57	
22	Spectrogram 1	1	1730.433321659	1737.626599259	589.600	1381.600	7.1933	-47.27	13.00	
23	Spectrogram 1	1	1737.794863059	1742.464183659	748.900	1593.500	4.6693	-46.96	13.79	
24	Spectrogram 1	1	1742.851441759	1745.859157259	358.500	900.300	3.0077	-47.99	11.44	
25	Spectrogram 1	1	1748.574084680	1749.415403680	661.334	980.034	0.8413	-50.26	13.11	
26	Spectrogram 1	1	1750.516343418	1751.294563518	605.247	1043.447	0.7782	-46.14	15.60	
27	Spectrogram 1	1	1752.424265080	1753.076287380	609.870	1024.170	0.6520	-46.71	17.92	
28	Spectrogram 1	1	1754.129585914	1754.928839014	786.238	1096.938	0.7993	-53.53	12.73	
29	Spectrogram 1	1	1756.151035257	1756.992354357	736.526	1007.426	0.8413	-49.85	15.45	
30	Spectrogram 1	1	1760.017389459	1760.900774359	23.900	255.000	0.8834	-49.91	11.75	
31	Spectrogram 1	1	1762.562379459	1763.340599559	47.800	247.000	0.7782	-49.92	11.65	
32	Spectrogram 1	1	1764.897039759	1765.885589559	39.800	239.000	0.9885	-52.28	12.22	
33	Spectrogram 1	1	1767.442029759	1768.430579659	31.900	247.000	0.9885	-51.15	11.59	
34	Spectrogram 1	1	1769.899673559	1770.804091559	31.900	207.200	0.9044	-50.49	11.54	
35	Spectrogram 1	1	1774.569000000	1774.801349352	0.000	8000.000	0.2323	-28.18	18.38	Phaser
36	Spectrogram 1	1	1777.610664249	1779.638440415	0.000	8000.000	2.0278	-27.55	19.34	Upsweep
37	Spectrogram 1	1	1781.602848576	1783.744320689	0.000	8000.000	2.1415	-27.94	19.82	Downsweep
38	Spectrogram 1	1	1786.630043659	1788.700065159	0.000	8000.000	2.0700	-28.48	18.87	
39	Spectrogram 1	1	1790.582874169	1792.695141009	0.000	8000.000	2.1123	-27.89	20.69	
40	Spectrogram 1	1	1795.588946579	1797.680090749	0.000	8000.000	2.0911	-28.66	19.50	
41	Spectrogram 1	1	1799.623376239	1801.735643079	0.000	8000.000	2.1123	-27.99	20.31	
42	Spectrogram 1	1	1803.626121899	1803.879593919	0.000	8000.000	0.2535	-27.81	19.04	
43	Spectrogram 1	1	1812.955218779	1817.443901599	580.000	1080.800	4.4887	-45.19	17.53	
44	Spectrogram 1	1	1828.351931729	1829.887338949	143.400	470.100	1.5354	-55.38	10.49	
45	Spectrogram 1	1	1830.912701289	1831.943317089	159.300	709.100	1.0306	-48.83	10.89	
46	Spectrogram 1	1	1817.488519279	1824.285279029	580.000	1526.500	6.7968	-46.81	14.26	
47	Spectrogram 1	1	1833.187806709	1833.961179809	326.700	756.900	0.7734	-45.05	15.90	
48	Spectrogram 1	1	1835.314582729	1836.296171669	294.800	669.300	0.9816	-47.75	12.51	
49	Spectrogram 1	1	1837.842917869	1838.660908649	318.700	693.200	0.8180	-47.23	14.28	
50	Spectrogram 1	1	1840.358821669	1841.161939889	278.900	605.500	0.8031	-50.51	12.50	
51	Spectrogram 1	1	1843.154862879	1844.017471339	294.800	701.100	0.8626	-46.16	13.68	
52	Spectrogram 1	1	1845.958773909	1847.074215879	255.000	669.300	1.1154	-50.07	11.72	
53	Spectrogram 1	1	1849.022521189	1850.346178999	159.300	390.400	1.3237	-57.39	9.85	
54	Spectrogram 1	1	1852.574782179	1853.913312549	127.500	398.400	1.3385	-56.18	9.99	
