Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1676.425000000	1676.657349352	0.000	8000.000	0.2323	-37.33	21.40	Phaser
2	Spectrogram 1	1	1679.466664249	1681.494440415	0.000	8000.000	2.0278	-35.96	22.18	Upsweep
3	Spectrogram 1	1	1683.458848576	1685.600320689	0.000	8000.000	2.1415	-36.11	20.96	Downsweep
4	Spectrogram 1	1	1688.486043659	1690.556065159	0.000	8000.000	2.0700	-36.04	22.06	
5	Spectrogram 1	1	1692.438874169	1694.551141009	0.000	8000.000	2.1123	-36.09	21.56	
6	Spectrogram 1	1	1697.444946579	1699.536090749	0.000	8000.000	2.0911	-36.23	20.92	
7	Spectrogram 1	1	1701.479376239	1703.591643079	0.000	8000.000	2.1123	-36.26	21.07	
8	Spectrogram 1	1	1705.482121899	1705.735593919	0.000	8000.000	0.2535	-36.80	21.09	
9	Spectrogram 1	1	1714.811218779	1719.299901599	580.000	1080.800	4.4887	-34.51	19.89	
10	Spectrogram 1	1	1730.207931729	1731.743338949	143.400	470.100	1.5354	-52.86	10.75	
11	Spectrogram 1	1	1732.768701289	1733.799317089	159.300	709.100	1.0306	-48.75	11.21	
12	Spectrogram 1	1	1719.344519279	1726.141279029	580.000	1526.500	6.7968	-39.17	19.15	
13	Spectrogram 1	1	1735.043806709	1735.817179809	326.700	756.900	0.7734	-39.71	14.00	
14	Spectrogram 1	1	1737.170582729	1738.152171669	294.800	669.300	0.9816	-49.01	11.29	
15	Spectrogram 1	1	1739.698917869	1740.516908649	318.700	693.200	0.8180	-43.18	14.15	
16	Spectrogram 1	1	1742.214821669	1743.017939889	278.900	605.500	0.8031	-51.37	10.72	
17	Spectrogram 1	1	1745.010862879	1745.873471339	294.800	701.100	0.8626	-39.38	12.28	
18	Spectrogram 1	1	1747.814773909	1748.930215879	255.000	669.300	1.1154	-51.90	10.58	
19	Spectrogram 1	1	1750.878521189	1752.202178999	159.300	390.400	1.3237	-54.59	10.33	
20	Spectrogram 1	1	1754.430782179	1755.769312549	127.500	398.400	1.3385	-53.24	10.45	
21	Spectrogram 1	1	1757.947002369	1759.493748569	127.500	398.400	1.5467	-53.67	10.22	
22	Spectrogram 1	1	1781.758321659	1788.951599259	589.600	1381.600	7.1933	-37.89	16.60	
23	Spectrogram 1	1	1789.119863059	1793.789183659	748.900	1593.500	4.6693	-37.62	18.68	
24	Spectrogram 1	1	1794.176441759	1797.184157259	358.500	900.300	3.0077	-43.27	11.59	
25	Spectrogram 1	1	1799.899084680	1800.740403680	661.334	980.034	0.8413	-42.07	16.40	
26	Spectrogram 1	1	1801.841343418	1802.619563518	605.247	1043.447	0.7782	-36.32	18.77	
27	Spectrogram 1	1	1803.749265080	1804.401287380	609.870	1024.170	0.6520	-36.33	18.36	
