Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1325.550000000	1325.782349352	0.000	8000.000	0.2323	-30.73	13.84	Phaser
2	Spectrogram 1	1	1328.591664249	1330.619440415	0.000	8000.000	2.0278	-30.79	13.72	Upsweep
3	Spectrogram 1	1	1332.583848576	1334.725320689	0.000	8000.000	2.1415	-30.76	13.84	Downsweep
4	Spectrogram 1	1	1337.611043659	1339.681065159	0.000	8000.000	2.0700	-30.69	13.78	
5	Spectrogram 1	1	1341.563874169	1343.676141009	0.000	8000.000	2.1123	-30.68	14.04	
6	Spectrogram 1	1	1346.569946579	1348.661090749	0.000	8000.000	2.0911	-30.69	14.03	
7	Spectrogram 1	1	1350.604376239	1352.716643079	0.000	8000.000	2.1123	-30.69	14.17	
8	Spectrogram 1	1	1354.607121899	1354.860593919	0.000	8000.000	0.2535	-30.74	14.56	
9	Spectrogram 1	1	1363.936218779	1368.424901599	580.000	1080.800	4.4887	-48.36	17.23	
10	Spectrogram 1	1	1379.332931729	1380.868338949	143.400	470.100	1.5354	-58.71	10.47	
11	Spectrogram 1	1	1381.893701289	1382.924317089	159.300	709.100	1.0306	-56.24	11.92	
12	Spectrogram 1	1	1368.469519279	1375.266279029	580.000	1526.500	6.7968	-52.95	14.69	
13	Spectrogram 1	1	1384.168806709	1384.942179809	326.700	756.900	0.7734	-53.05	13.22	
14	Spectrogram 1	1	1386.295582729	1387.277171669	294.800	669.300	0.9816	-54.47	12.04	
15	Spectrogram 1	1	1388.823917869	1389.641908649	318.700	693.200	0.8180	-54.32	13.11	
16	Spectrogram 1	1	1391.339821669	1392.142939889	278.900	605.500	0.8031	-55.73	11.13	
17	Spectrogram 1	1	1394.135862879	1394.998471339	294.800	701.100	0.8626	-53.94	13.54	
18	Spectrogram 1	1	1396.939773909	1398.055215879	255.000	669.300	1.1154	-56.38	12.03	
19	Spectrogram 1	1	1400.003521189	1401.327178999	159.300	390.400	1.3237	-60.24	10.75	
20	Spectrogram 1	1	1403.555782179	1404.894312549	127.500	398.400	1.3385	-58.94	10.01	
21	Spectrogram 1	1	1407.072002369	1408.618748569	127.500	398.400	1.5467	-58.24	11.07	
22	Spectrogram 1	1	1430.883321659	1438.076599259	589.600	1381.600	7.1933	-51.39	14.73	
23	Spectrogram 1	1	1438.244863059	1442.914183659	748.900	1593.500	4.6693	-47.49	17.12	
24	Spectrogram 1	1	1443.301441759	1446.309157259	358.500	900.300	3.0077	-56.72	11.55	
25	Spectrogram 1	1	1449.024084680	1449.865403680	661.334	980.034	0.8413	-53.39	14.25	
26	Spectrogram 1	1	1450.966343418	1451.744563518	605.247	1043.447	0.7782	-49.33	15.31	
27	Spectrogram 1	1	1452.874265080	1453.526287380	609.870	1024.170	0.6520	-48.81	17.26	
28	Spectrogram 1	1	1454.579585914	1455.378839014	786.238	1096.938	0.7993	-48.09	16.21	
29	Spectrogram 1	1	1456.601035257	1457.442354357	736.526	1007.426	0.8413	-50.03	15.24	
30	Spectrogram 1	1	1460.467389459	1461.350774359	23.900	255.000	0.8834	-51.69	14.60	
31	Spectrogram 1	1	1463.012379459	1463.790599559	47.800	247.000	0.7782	-54.73	14.12	
32	Spectrogram 1	1	1465.347039759	1466.335589559	39.800	239.000	0.9885	-54.09	14.42	
33	Spectrogram 1	1	1467.892029759	1468.880579659	31.900	247.000	0.9885	-52.02	14.21	
34	Spectrogram 1	1	1470.349673559	1471.254091559	31.900	207.200	0.9044	-51.97	15.04	
35	Spectrogram 1	1	1475.019000000	1475.251349352	0.000	8000.000	0.2323	-29.96	15.96	Phaser
