Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1025.975000000	1026.207349352	0.000	8000.000	0.2323	-30.21	22.38	Phaser
2	Spectrogram 1	1	1029.016664249	1031.044440415	0.000	8000.000	2.0278	-30.48	21.62	Upsweep
3	Spectrogram 1	1	1033.008848576	1035.150320689	0.000	8000.000	2.1415	-30.68	21.31	Downsweep
4	Spectrogram 1	1	1038.036043659	1040.106065159	0.000	8000.000	2.0700	-30.73	21.35	
5	Spectrogram 1	1	1041.988874169	1044.101141009	0.000	8000.000	2.1123	-30.29	21.50	
6	Spectrogram 1	1	1046.994946579	1049.086090749	0.000	8000.000	2.0911	-30.38	21.40	
7	Spectrogram 1	1	1051.029376239	1053.141643079	0.000	8000.000	2.1123	-30.25	21.43	
8	Spectrogram 1	1	1055.032121899	1055.285593919	0.000	8000.000	0.2535	-30.39	20.92	
9	Spectrogram 1	1	1064.361218779	1068.849901599	580.000	1080.800	4.4887	-58.84	12.95	
10	Spectrogram 1	1	1079.757931729	1081.293338949	143.400	470.100	1.5354	-59.74	11.00	
11	Spectrogram 1	1	1082.318701289	1083.349317089	159.300	709.100	1.0306	-58.27	11.12	
12	Spectrogram 1	1	1068.894519279	1075.691279029	580.000	1526.500	6.7968	-58.19	11.56	
13	Spectrogram 1	1	1084.593806709	1085.367179809	326.700	756.900	0.7734	-59.30	11.04	
14	Spectrogram 1	1	1086.720582729	1087.702171669	294.800	669.300	0.9816	-60.92	10.93	
15	Spectrogram 1	1	1089.248917869	1090.066908649	318.700	693.200	0.8180	-61.06	10.74	
16	Spectrogram 1	1	1091.764821669	1092.567939889	278.900	605.500	0.8031	-61.52	10.07	
17	Spectrogram 1	1	1094.560862879	1095.423471339	294.800	701.100	0.8626	-59.10	10.72	
18	Spectrogram 1	1	1097.364773909	1098.480215879	255.000	669.300	1.1154	-59.50	10.80	
19	Spectrogram 1	1	1100.428521189	1101.752178999	159.300	390.400	1.3237	-61.00	10.47	
20	Spectrogram 1	1	1103.980782179	1105.319312549	127.500	398.400	1.3385	-60.50	10.22	
21	Spectrogram 1	1	1107.497002369	1109.043748569	127.500	398.400	1.5467	-60.07	10.92	
22	Spectrogram 1	1	1131.308321659	1138.501599259	589.600	1381.600	7.1933	-55.57	12.73	
23	Spectrogram 1	1	1138.669863059	1143.339183659	748.900	1593.500	4.6693	-58.04	11.90	
24	Spectrogram 1	1	1143.726441759	1146.734157259	358.500	900.300	3.0077	-58.85	11.32	
25	Spectrogram 1	1	1149.449084680	1150.290403680	661.334	980.034	0.8413	-62.49	10.21	
26	Spectrogram 1	1	1151.391343418	1152.169563518	605.247	1043.447	0.7782	-56.12	13.96	
27	Spectrogram 1	1	1153.299265080	1153.951287380	609.870	1024.170	0.6520	-56.94	12.79	
28	Spectrogram 1	1	1155.004585914	1155.803839014	786.238	1096.938	0.7993	-57.50	14.76	
29	Spectrogram 1	1	1157.026035257	1157.867354357	736.526	1007.426	0.8413	-57.52	13.13	
30	Spectrogram 1	1	1160.892389459	1161.775774359	23.900	255.000	0.8834	-54.98	12.17	
31	Spectrogram 1	1	1163.437379459	1164.215599559	47.800	247.000	0.7782	-57.00	12.65	
32	Spectrogram 1	1	1165.772039759	1166.760589559	39.800	239.000	0.9885	-55.87	12.92	
33	Spectrogram 1	1	1168.317029759	1169.305579659	31.900	247.000	0.9885	-54.62	14.61	
34	Spectrogram 1	1	1170.774673559	1171.679091559	31.900	207.200	0.9044	-55.24	11.52	
35	Spectrogram 1	1	1175.444000000	1175.676349352	0.000	8000.000	0.2323	-30.64	20.68	Phaser
36	Spectrogram 1	1	1178.485664249	1180.513440415	0.000	8000.000	2.0278	-30.76	21.03	Upsweep
37	Spectrogram 1	1	1182.477848576	1184.619320689	0.000	8000.000	2.1415	-31.01	20.42	Downsweep
38	Spectrogram 1	1	1187.505043659	1189.575065159	0.000	8000.000	2.0700	-30.57	21.52	
39	Spectrogram 1	1	1191.457874169	1193.570141009	0.000	8000.000	2.1123	-30.35	21.92	
40	Spectrogram 1	1	1196.463946579	1198.555090749	0.000	8000.000	2.0911	-30.50	21.10	
41	Spectrogram 1	1	1200.498376239	1202.610643079	0.000	8000.000	2.1123	-31.20	19.83	
42	Spectrogram 1	1	1204.501121899	1204.754593919	0.000	8000.000	0.2535	-29.22	18.79	
43	Spectrogram 1	1	1213.830218779	1218.318901599	580.000	1080.800	4.4887	-58.65	12.97	
44	Spectrogram 1	1	1229.226931729	1230.762338949	143.400	470.100	1.5354	-60.21	9.75	
45	Spectrogram 1	1	1231.787701289	1232.818317089	159.300	709.100	1.0306	-58.84	11.34	
46	Spectrogram 1	1	1218.363519279	1225.160279029	580.000	1526.500	6.7968	-58.09	11.83	
47	Spectrogram 1	1	1234.062806709	1234.836179809	326.700	756.900	0.7734	-58.98	10.65	
48	Spectrogram 1	1	1236.189582729	1237.171171669	294.800	669.300	0.9816	-60.16	10.87	
49	Spectrogram 1	1	1238.717917869	1239.535908649	318.700	693.200	0.8180	-59.74	11.06	
50	Spectrogram 1	1	1241.233821669	1242.036939889	278.900	605.500	0.8031	-60.50	10.40	
51	Spectrogram 1	1	1244.029862879	1244.892471339	294.800	701.100	0.8626	-59.72	10.88	
52	Spectrogram 1	1	1246.833773909	1247.949215879	255.000	669.300	1.1154	-60.42	10.41	
53	Spectrogram 1	1	1249.897521189	1251.221178999	159.300	390.400	1.3237	-61.46	10.94	
54	Spectrogram 1	1	1253.449782179	1254.788312549	127.500	398.400	1.3385	-60.36	10.07	
55	Spectrogram 1	1	1256.966002369	1258.512748569	127.500	398.400	1.5467	-60.20	10.89	
56	Spectrogram 1	1	1280.777321659	1287.970599259	589.600	1381.600	7.1933	-57.85	11.93	
57	Spectrogram 1	1	1288.138863059	1292.808183659	748.900	1593.500	4.6693	-57.66	12.08	
58	Spectrogram 1	1	1293.195441759	1296.203157259	358.500	900.300	3.0077	-59.78	11.33	
59	Spectrogram 1	1	1298.918084680	1299.759403680	661.334	980.034	0.8413	-60.45	11.07	
60	Spectrogram 1	1	1300.860343418	1301.638563518	605.247	1043.447	0.7782	-56.17	12.97	
61	Spectrogram 1	1	1302.768265080	1303.420287380	609.870	1024.170	0.6520	-56.79	12.25	
62	Spectrogram 1	1	1304.473585914	1305.272839014	786.238	1096.938	0.7993	-63.45	10.80	
63	Spectrogram 1	1	1306.495035257	1307.336354357	736.526	1007.426	0.8413	-63.00	12.08	
64	Spectrogram 1	1	1310.361389459	1311.244774359	23.900	255.000	0.8834	-54.59	14.05	
65	Spectrogram 1	1	1312.906379459	1313.684599559	47.800	247.000	0.7782	-57.58	10.66	
66	Spectrogram 1	1	1315.241039759	1316.229589559	39.800	239.000	0.9885	-55.52	12.58	
67	Spectrogram 1	1	1317.786029759	1318.774579659	31.900	247.000	0.9885	-54.59	12.58	
68	Spectrogram 1	1	1320.243673559	1321.148091559	31.900	207.200	0.9044	-54.26	13.56	
69	Spectrogram 1	1	1324.875000000	1325.107349352	0.000	8000.000	0.2323	-31.84	21.55	Phaser
70	Spectrogram 1	1	1327.916664249	1329.944440415	0.000	8000.000	2.0278	-31.56	20.51	Upsweep
71	Spectrogram 1	1	1331.908848576	1334.050320689	0.000	8000.000	2.1415	-31.59	21.17	Downsweep
72	Spectrogram 1	1	1336.936043659	1339.006065159	0.000	8000.000	2.0700	-31.53	21.58	
73	Spectrogram 1	1	1340.888874169	1343.001141009	0.000	8000.000	2.1123	-31.45	21.69	
74	Spectrogram 1	1	1345.894946579	1347.986090749	0.000	8000.000	2.0911	-31.72	20.19	
75	Spectrogram 1	1	1349.929376239	1352.041643079	0.000	8000.000	2.1123	-32.10	20.62	
76	Spectrogram 1	1	1353.932121899	1354.185593919	0.000	8000.000	0.2535	-31.73	21.78	
77	Spectrogram 1	1	1363.261218779	1367.749901599	580.000	1080.800	4.4887	-52.14	14.40	
78	Spectrogram 1	1	1378.657931729	1380.193338949	143.400	470.100	1.5354	-60.22	10.26	
79	Spectrogram 1	1	1381.218701289	1382.249317089	159.300	709.100	1.0306	-58.82	10.52	
80	Spectrogram 1	1	1367.794519279	1374.591279029	580.000	1526.500	6.7968	-52.96	12.61	
81	Spectrogram 1	1	1383.493806709	1384.267179809	326.700	756.900	0.7734	-58.96	11.31	
82	Spectrogram 1	1	1385.620582729	1386.602171669	294.800	669.300	0.9816	-60.68	11.04	
83	Spectrogram 1	1	1388.148917869	1388.966908649	318.700	693.200	0.8180	-60.69	11.30	
84	Spectrogram 1	1	1390.664821669	1391.467939889	278.900	605.500	0.8031	-60.94	10.21	
85	Spectrogram 1	1	1393.460862879	1394.323471339	294.800	701.100	0.8626	-59.67	11.69	
86	Spectrogram 1	1	1396.264773909	1397.380215879	255.000	669.300	1.1154	-60.13	11.12	
87	Spectrogram 1	1	1399.328521189	1400.652178999	159.300	390.400	1.3237	-61.38	10.29	
88	Spectrogram 1	1	1402.880782179	1404.219312549	127.500	398.400	1.3385	-60.52	10.95	
89	Spectrogram 1	1	1406.397002369	1407.943748569	127.500	398.400	1.5467	-60.38	10.99	
90	Spectrogram 1	1	1430.208321659	1437.401599259	589.600	1381.600	7.1933	-59.14	11.72	
91	Spectrogram 1	1	1437.569863059	1442.239183659	748.900	1593.500	4.6693	-58.21	12.05	
92	Spectrogram 1	1	1442.626441759	1445.634157259	358.500	900.300	3.0077	-59.31	11.40	
93	Spectrogram 1	1	1448.349084680	1449.190403680	661.334	980.034	0.8413	-62.65	11.24	
94	Spectrogram 1	1	1450.291343418	1451.069563518	605.247	1043.447	0.7782	-59.30	11.17	
95	Spectrogram 1	1	1452.199265080	1452.851287380	609.870	1024.170	0.6520	-59.74	11.57	
96	Spectrogram 1	1	1453.904585914	1454.703839014	786.238	1096.938	0.7993	-63.72	11.26	
97	Spectrogram 1	1	1455.926035257	1456.767354357	736.526	1007.426	0.8413	-61.92	13.11	
98	Spectrogram 1	1	1459.792389459	1460.675774359	23.900	255.000	0.8834	-53.41	14.91	
99	Spectrogram 1	1	1462.337379459	1463.115599559	47.800	247.000	0.7782	-56.24	12.80	
100	Spectrogram 1	1	1464.672039759	1465.660589559	39.800	239.000	0.9885	-55.42	13.42	
101	Spectrogram 1	1	1467.217029759	1468.205579659	31.900	247.000	0.9885	-52.63	14.41	
102	Spectrogram 1	1	1469.674673559	1470.579091559	31.900	207.200	0.9044	-53.38	15.48	
