Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1644.850000000	1645.082349352	0.000	8000.000	0.2323	-35.97	16.67	Phaser
2	Spectrogram 1	1	1647.891664249	1649.919440415	0.000	8000.000	2.0278	-35.78	16.44	Upsweep
3	Spectrogram 1	1	1651.883848576	1654.025320689	0.000	8000.000	2.1415	-35.93	16.19	Downsweep
4	Spectrogram 1	1	1656.911043659	1658.981065159	0.000	8000.000	2.0700	-34.59	17.17	
5	Spectrogram 1	1	1660.863874169	1662.976141009	0.000	8000.000	2.1123	-35.14	16.86	
6	Spectrogram 1	1	1665.869946579	1667.961090749	0.000	8000.000	2.0911	-35.88	16.12	
7	Spectrogram 1	1	1669.904376239	1672.016643079	0.000	8000.000	2.1123	-35.22	16.87	
8	Spectrogram 1	1	1673.907121899	1674.160593919	0.000	8000.000	0.2535	-35.25	17.20	
9	Spectrogram 1	1	1683.236218779	1687.724901599	580.000	1080.800	4.4887	-56.32	14.04	
10	Spectrogram 1	1	1698.632931729	1700.168338949	143.400	470.100	1.5354	-60.58	11.41	
11	Spectrogram 1	1	1701.193701289	1702.224317089	159.300	709.100	1.0306	-58.02	10.79	
12	Spectrogram 1	1	1687.769519279	1694.566279029	580.000	1526.500	6.7968	-57.01	11.82	
13	Spectrogram 1	1	1703.468806709	1704.242179809	326.700	756.900	0.7734	-58.99	12.16	
14	Spectrogram 1	1	1705.595582729	1706.577171669	294.800	669.300	0.9816	-61.01	10.85	
15	Spectrogram 1	1	1708.123917869	1708.941908649	318.700	693.200	0.8180	-61.03	9.97	
16	Spectrogram 1	1	1710.639821669	1711.442939889	278.900	605.500	0.8031	-61.59	11.31	
17	Spectrogram 1	1	1713.435862879	1714.298471339	294.800	701.100	0.8626	-59.27	11.66	
18	Spectrogram 1	1	1716.239773909	1717.355215879	255.000	669.300	1.1154	-59.95	11.07	
19	Spectrogram 1	1	1719.303521189	1720.627178999	159.300	390.400	1.3237	-61.55	10.21	
20	Spectrogram 1	1	1722.855782179	1724.194312549	127.500	398.400	1.3385	-60.46	10.26	
21	Spectrogram 1	1	1726.372002369	1727.918748569	127.500	398.400	1.5467	-60.77	10.88	
22	Spectrogram 1	1	1750.183321659	1757.376599259	589.600	1381.600	7.1933	-58.55	11.76	
23	Spectrogram 1	1	1757.544863059	1762.214183659	748.900	1593.500	4.6693	-55.90	12.75	
24	Spectrogram 1	1	1762.601441759	1765.609157259	358.500	900.300	3.0077	-58.48	11.33	
25	Spectrogram 1	1	1768.324084680	1769.165403680	661.334	980.034	0.8413	-58.87	12.14	
26	Spectrogram 1	1	1770.266343418	1771.044563518	605.247	1043.447	0.7782	-57.09	13.31	
27	Spectrogram 1	1	1772.174265080	1772.826287380	609.870	1024.170	0.6520	-57.03	14.05	
28	Spectrogram 1	1	1773.879585914	1774.678839014	786.238	1096.938	0.7993	-62.99	11.69	
29	Spectrogram 1	1	1775.901035257	1776.742354357	736.526	1007.426	0.8413	-60.63	13.19	
30	Spectrogram 1	1	1779.767389459	1780.650774359	23.900	255.000	0.8834	-54.23	14.36	
31	Spectrogram 1	1	1782.312379459	1783.090599559	47.800	247.000	0.7782	-56.15	13.81	
32	Spectrogram 1	1	1784.647039759	1785.635589559	39.800	239.000	0.9885	-56.42	12.21	
33	Spectrogram 1	1	1787.192029759	1788.180579659	31.900	247.000	0.9885	-53.77	14.80	
34	Spectrogram 1	1	1789.649673559	1790.554091559	31.900	207.200	0.9044	-53.98	13.99	
35	Spectrogram 1	1	1794.319000000	1794.551349352	0.000	8000.000	0.2323	-35.61	16.65	Phaser
36	Spectrogram 1	1	1797.360664249	1799.388440415	0.000	8000.000	2.0278	-35.37	16.80	Upsweep
37	Spectrogram 1	1	1801.352848576	1803.494320689	0.000	8000.000	2.1415	-35.17	16.36	Downsweep
38	Spectrogram 1	1	1806.380043659	1808.450065159	0.000	8000.000	2.0700	-35.51	16.36	
39	Spectrogram 1	1	1810.332874169	1812.445141009	0.000	8000.000	2.1123	-33.44	17.24	
40	Spectrogram 1	1	1815.338946579	1817.430090749	0.000	8000.000	2.0911	-34.03	17.17	
41	Spectrogram 1	1	1819.373376239	1821.485643079	0.000	8000.000	2.1123	-34.71	17.39	
42	Spectrogram 1	1	1823.376121899	1823.629593919	0.000	8000.000	0.2535	-35.12	17.25	
43	Spectrogram 1	1	1832.705218779	1837.193901599	580.000	1080.800	4.4887	-56.42	14.23	
44	Spectrogram 1	1	1848.101931729	1849.637338949	143.400	470.100	1.5354	-60.43	10.42	
45	Spectrogram 1	1	1850.662701289	1851.693317089	159.300	709.100	1.0306	-58.65	10.82	
46	Spectrogram 1	1	1837.238519279	1844.035279029	580.000	1526.500	6.7968	-56.62	11.96	
47	Spectrogram 1	1	1852.937806709	1853.711179809	326.700	756.900	0.7734	-59.28	10.92	
48	Spectrogram 1	1	1855.064582729	1856.046171669	294.800	669.300	0.9816	-61.15	10.82	
