Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	977.800000000	978.032349352	0.000	8000.000	0.2323	-32.86	18.19	Phaser
2	Spectrogram 1	1	980.841664249	982.869440415	0.000	8000.000	2.0278	-32.84	18.19	Upsweep
3	Spectrogram 1	1	984.833848576	986.975320689	0.000	8000.000	2.1415	-32.88	17.35	Downsweep
4	Spectrogram 1	1	989.861043659	991.931065159	0.000	8000.000	2.0700	-32.90	17.73	
5	Spectrogram 1	1	993.813874169	995.926141009	0.000	8000.000	2.1123	-32.86	18.19	
6	Spectrogram 1	1	998.819946579	1000.911090749	0.000	8000.000	2.0911	-32.81	18.30	
7	Spectrogram 1	1	1002.854376239	1004.966643079	0.000	8000.000	2.1123	-32.86	18.36	
8	Spectrogram 1	1	1006.857121899	1007.110593919	0.000	8000.000	0.2535	-32.85	17.97	
9	Spectrogram 1	1	1016.186218779	1020.674901599	580.000	1080.800	4.4887	-43.45	18.28	
10	Spectrogram 1	1	1031.582931729	1033.118338949	143.400	470.100	1.5354	-54.60	10.17	
11	Spectrogram 1	1	1034.143701289	1035.174317089	159.300	709.100	1.0306	-47.09	11.51	
12	Spectrogram 1	1	1020.719519279	1027.516279029	580.000	1526.500	6.7968	-45.57	16.05	
13	Spectrogram 1	1	1036.418806709	1037.192179809	326.700	756.900	0.7734	-43.95	15.75	
14	Spectrogram 1	1	1038.545582729	1039.527171669	294.800	669.300	0.9816	-45.66	12.21	
15	Spectrogram 1	1	1041.073917869	1041.891908649	318.700	693.200	0.8180	-46.09	14.44	
16	Spectrogram 1	1	1043.589821669	1044.392939889	278.900	605.500	0.8031	-49.23	13.11	
17	Spectrogram 1	1	1046.385862879	1047.248471339	294.800	701.100	0.8626	-45.25	13.82	
18	Spectrogram 1	1	1049.189773909	1050.305215879	255.000	669.300	1.1154	-49.56	11.59	
19	Spectrogram 1	1	1052.253521189	1053.577178999	159.300	390.400	1.3237	-55.72	10.60	
20	Spectrogram 1	1	1055.805782179	1057.144312549	127.500	398.400	1.3385	-54.51	10.49	
21	Spectrogram 1	1	1059.322002369	1060.868748569	127.500	398.400	1.5467	-54.93	10.83	
22	Spectrogram 1	1	1083.133321659	1090.326599259	589.600	1381.600	7.1933	-46.43	13.71	
23	Spectrogram 1	1	1090.494863059	1095.164183659	748.900	1593.500	4.6693	-45.05	15.75	
24	Spectrogram 1	1	1095.551441759	1098.559157259	358.500	900.300	3.0077	-48.84	11.70	
25	Spectrogram 1	1	1101.274084680	1102.115403680	661.334	980.034	0.8413	-48.61	14.26	
26	Spectrogram 1	1	1103.216343418	1103.994563518	605.247	1043.447	0.7782	-44.62	16.10	
27	Spectrogram 1	1	1105.124265080	1105.776287380	609.870	1024.170	0.6520	-44.66	15.24	
28	Spectrogram 1	1	1106.829585914	1107.628839014	786.238	1096.938	0.7993	-51.96	12.80	
29	Spectrogram 1	1	1108.851035257	1109.692354357	736.526	1007.426	0.8413	-47.75	18.29	
30	Spectrogram 1	1	1112.717389459	1113.600774359	23.900	255.000	0.8834	-50.91	11.96	
31	Spectrogram 1	1	1115.262379459	1116.040599559	47.800	247.000	0.7782	-53.18	11.62	
32	Spectrogram 1	1	1117.597039759	1118.585589559	39.800	239.000	0.9885	-51.93	12.01	
33	Spectrogram 1	1	1120.142029759	1121.130579659	31.900	247.000	0.9885	-50.65	13.18	
34	Spectrogram 1	1	1122.599673559	1123.504091559	31.900	207.200	0.9044	-50.65	13.87	
35	Spectrogram 1	1	1127.269000000	1127.501349352	0.000	8000.000	0.2323	-32.84	18.52	Phaser
36	Spectrogram 1	1	1130.310664249	1132.338440415	0.000	8000.000	2.0278	-32.90	18.29	Upsweep
37	Spectrogram 1	1	1134.302848576	1136.444320689	0.000	8000.000	2.1415	-32.92	18.49	Downsweep
38	Spectrogram 1	1	1139.330043659	1141.400065159	0.000	8000.000	2.0700	-32.92	18.51	
39	Spectrogram 1	1	1143.282874169	1145.395141009	0.000	8000.000	2.1123	-32.91	18.23	
40	Spectrogram 1	1	1148.288946579	1150.380090749	0.000	8000.000	2.0911	-32.91	18.14	
41	Spectrogram 1	1	1152.323376239	1154.435643079	0.000	8000.000	2.1123	-32.92	18.17	
42	Spectrogram 1	1	1156.326121899	1156.579593919	0.000	8000.000	0.2535	-33.01	16.76	
43	Spectrogram 1	1	1165.655218779	1170.143901599	580.000	1080.800	4.4887	-43.28	18.15	
44	Spectrogram 1	1	1181.051931729	1182.587338949	143.400	470.100	1.5354	-54.63	10.39	
