Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	972.050000000	972.282349352	0.000	8000.000	0.2323	-40.36	17.10	Phaser
2	Spectrogram 1	1	975.091664249	977.119440415	0.000	8000.000	2.0278	-39.73	18.13	Upsweep
3	Spectrogram 1	1	979.083848576	981.225320689	0.000	8000.000	2.1415	-39.84	17.66	Downsweep
4	Spectrogram 1	1	984.111043659	986.181065159	0.000	8000.000	2.0700	-39.76	17.86	
5	Spectrogram 1	1	988.063874169	990.176141009	0.000	8000.000	2.1123	-39.71	18.36	
6	Spectrogram 1	1	993.069946579	995.161090749	0.000	8000.000	2.0911	-39.86	18.30	
7	Spectrogram 1	1	997.104376239	999.216643079	0.000	8000.000	2.1123	-39.83	17.40	
8	Spectrogram 1	1	1001.107121899	1001.360593919	0.000	8000.000	0.2535	-39.91	17.82	
9	Spectrogram 1	1	1010.436218779	1014.924901599	580.000	1080.800	4.4887	-51.73	15.48	
10	Spectrogram 1	1	1025.832931729	1027.368338949	143.400	470.100	1.5354	-57.87	10.75	
11	Spectrogram 1	1	1028.393701289	1029.424317089	159.300	709.100	1.0306	-55.54	10.63	
12	Spectrogram 1	1	1014.969519279	1021.766279029	580.000	1526.500	6.7968	-51.46	14.95	
13	Spectrogram 1	1	1030.668806709	1031.442179809	326.700	756.900	0.7734	-55.97	11.09	
14	Spectrogram 1	1	1032.795582729	1033.777171669	294.800	669.300	0.9816	-56.08	10.83	
15	Spectrogram 1	1	1035.323917869	1036.141908649	318.700	693.200	0.8180	-56.39	11.68	
16	Spectrogram 1	1	1037.839821669	1038.642939889	278.900	605.500	0.8031	-57.79	10.26	
17	Spectrogram 1	1	1040.635862879	1041.498471339	294.800	701.100	0.8626	-54.64	11.39	
18	Spectrogram 1	1	1043.439773909	1044.555215879	255.000	669.300	1.1154	-56.17	10.20	
19	Spectrogram 1	1	1046.503521189	1047.827178999	159.300	390.400	1.3237	-59.56	11.27	
20	Spectrogram 1	1	1050.055782179	1051.394312549	127.500	398.400	1.3385	-58.11	10.39	
