Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1331.900000000	1332.132349352	0.000	8000.000	0.2323	-32.54	14.14	Phaser
2	Spectrogram 1	1	1334.941664249	1336.969440415	0.000	8000.000	2.0278	-31.26	14.40	Upsweep
3	Spectrogram 1	1	1338.933848576	1341.075320689	0.000	8000.000	2.1415	-31.09	15.02	Downsweep
4	Spectrogram 1	1	1343.961043659	1346.031065159	0.000	8000.000	2.0700	-31.31	14.41	
5	Spectrogram 1	1	1347.913874169	1350.026141009	0.000	8000.000	2.1123	-31.34	14.19	
6	Spectrogram 1	1	1352.919946579	1355.011090749	0.000	8000.000	2.0911	-31.38	14.71	
7	Spectrogram 1	1	1356.954376239	1359.066643079	0.000	8000.000	2.1123	-31.15	14.86	
8	Spectrogram 1	1	1360.957121899	1361.210593919	0.000	8000.000	0.2535	-30.45	15.13	
9	Spectrogram 1	1	1370.286218779	1374.774901599	580.000	1080.800	4.4887	-53.86	14.37	
10	Spectrogram 1	1	1385.682931729	1387.218338949	143.400	470.100	1.5354	-59.36	10.76	
11	Spectrogram 1	1	1388.243701289	1389.274317089	159.300	709.100	1.0306	-57.74	11.42	
12	Spectrogram 1	1	1374.819519279	1381.616279029	580.000	1526.500	6.7968	-58.68	11.84	
13	Spectrogram 1	1	1390.518806709	1391.292179809	326.700	756.900	0.7734	-58.37	11.44	
14	Spectrogram 1	1	1392.645582729	1393.627171669	294.800	669.300	0.9816	-55.61	12.61	
15	Spectrogram 1	1	1395.173917869	1395.991908649	318.700	693.200	0.8180	-55.57	11.89	
16	Spectrogram 1	1	1397.689821669	1398.492939889	278.900	605.500	0.8031	-56.72	12.71	
17	Spectrogram 1	1	1400.485862879	1401.348471339	294.800	701.100	0.8626	-56.79	11.68	
18	Spectrogram 1	1	1403.289773909	1404.405215879	255.000	669.300	1.1154	-57.14	11.59	
19	Spectrogram 1	1	1406.353521189	1407.677178999	159.300	390.400	1.3237	-60.78	10.55	
20	Spectrogram 1	1	1409.905782179	1411.244312549	127.500	398.400	1.3385	-59.39	9.65	
21	Spectrogram 1	1	1413.422002369	1414.968748569	127.500	398.400	1.5467	-59.59	11.03	
22	Spectrogram 1	1	1437.233321659	1444.426599259	589.600	1381.600	7.1933	-56.37	12.75	
23	Spectrogram 1	1	1444.594863059	1449.264183659	748.900	1593.500	4.6693	-53.64	14.22	
24	Spectrogram 1	1	1449.651441759	1452.659157259	358.500	900.300	3.0077	-59.45	11.26	
25	Spectrogram 1	1	1455.374084680	1456.215403680	661.334	980.034	0.8413	-59.15	13.07	
26	Spectrogram 1	1	1457.316343418	1458.094563518	605.247	1043.447	0.7782	-56.44	12.68	
27	Spectrogram 1	1	1459.224265080	1459.876287380	609.870	1024.170	0.6520	-56.46	12.18	
28	Spectrogram 1	1	1460.929585914	1461.728839014	786.238	1096.938	0.7993	-54.60	14.00	
29	Spectrogram 1	1	1462.951035257	1463.792354357	736.526	1007.426	0.8413	-58.96	13.12	
30	Spectrogram 1	1	1466.817389459	1467.700774359	23.900	255.000	0.8834	-52.96	14.02	
31	Spectrogram 1	1	1469.362379459	1470.140599559	47.800	247.000	0.7782	-55.93	12.12	
32	Spectrogram 1	1	1471.697039759	1472.685589559	39.800	239.000	0.9885	-55.08	12.69	
33	Spectrogram 1	1	1474.242029759	1475.230579659	31.900	247.000	0.9885	-52.25	15.66	
34	Spectrogram 1	1	1476.699673559	1477.604091559	31.900	207.200	0.9044	-52.18	14.65	
35	Spectrogram 1	1	1481.369000000	1481.601349352	0.000	8000.000	0.2323	-32.25	14.59	Phaser
36	Spectrogram 1	1	1484.410664249	1486.438440415	0.000	8000.000	2.0278	-32.17	14.67	Upsweep
37	Spectrogram 1	1	1488.402848576	1490.544320689	0.000	8000.000	2.1415	-32.30	14.06	Downsweep
38	Spectrogram 1	1	1493.430043659	1495.500065159	0.000	8000.000	2.0700	-32.22	14.72	
39	Spectrogram 1	1	1497.382874169	1499.495141009	0.000	8000.000	2.1123	-32.25	14.97	
40	Spectrogram 1	1	1502.388946579	1504.480090749	0.000	8000.000	2.0911	-32.20	15.01	
41	Spectrogram 1	1	1506.423376239	1508.535643079	0.000	8000.000	2.1123	-32.03	15.05	
42	Spectrogram 1	1	1510.426121899	1510.679593919	0.000	8000.000	0.2535	-31.89	14.88	
43	Spectrogram 1	1	1519.755218779	1524.243901599	580.000	1080.800	4.4887	-52.47	14.90	
44	Spectrogram 1	1	1535.151931729	1536.687338949	143.400	470.100	1.5354	-59.25	9.64	
45	Spectrogram 1	1	1537.712701289	1538.743317089	159.300	709.100	1.0306	-57.99	11.07	
46	Spectrogram 1	1	1524.288519279	1531.085279029	580.000	1526.500	6.7968	-58.04	12.24	
47	Spectrogram 1	1	1539.987806709	1540.761179809	326.700	756.900	0.7734	-57.33	11.50	
48	Spectrogram 1	1	1542.114582729	1543.096171669	294.800	669.300	0.9816	-59.92	10.68	
49	Spectrogram 1	1	1544.642917869	1545.460908649	318.700	693.200	0.8180	-60.19	11.26	
50	Spectrogram 1	1	1547.158821669	1547.961939889	278.900	605.500	0.8031	-60.48	11.68	
51	Spectrogram 1	1	1549.954862879	1550.817471339	294.800	701.100	0.8626	-59.12	11.30	
52	Spectrogram 1	1	1552.758773909	1553.874215879	255.000	669.300	1.1154	-57.35	11.10	
53	Spectrogram 1	1	1555.822521189	1557.146178999	159.300	390.400	1.3237	-60.95	10.36	
54	Spectrogram 1	1	1559.374782179	1560.713312549	127.500	398.400	1.3385	-59.22	10.64	
55	Spectrogram 1	1	1562.891002369	1564.437748569	127.500	398.400	1.5467	-59.73	10.56	
56	Spectrogram 1	1	1586.702321659	1593.895599259	589.600	1381.600	7.1933	-52.10	14.62	
57	Spectrogram 1	1	1594.063863059	1598.733183659	748.900	1593.500	4.6693	-53.02	13.87	
58	Spectrogram 1	1	1599.120441759	1602.128157259	358.500	900.300	3.0077	-58.89	11.18	
59	Spectrogram 1	1	1604.843084680	1605.684403680	661.334	980.034	0.8413	-61.54	10.64	
60	Spectrogram 1	1	1606.785343418	1607.563563518	605.247	1043.447	0.7782	-59.74	11.73	
61	Spectrogram 1	1	1608.693265080	1609.345287380	609.870	1024.170	0.6520	-61.27	11.39	
62	Spectrogram 1	1	1610.398585914	1611.197839014	786.238	1096.938	0.7993	-64.72	10.92	
63	Spectrogram 1	1	1612.420035257	1613.261354357	736.526	1007.426	0.8413	-63.31	11.49	
64	Spectrogram 1	1	1616.286389459	1617.169774359	23.900	255.000	0.8834	-52.39	13.86	
65	Spectrogram 1	1	1618.831379459	1619.609599559	47.800	247.000	0.7782	-57.67	11.38	
66	Spectrogram 1	1	1621.166039759	1622.154589559	39.800	239.000	0.9885	-54.09	13.33	
67	Spectrogram 1	1	1623.711029759	1624.699579659	31.900	247.000	0.9885	-52.22	15.51	
68	Spectrogram 1	1	1626.168673559	1627.073091559	31.900	207.200	0.9044	-51.99	15.45	
69	Spectrogram 1	1	1630.800000000	1631.032349352	0.000	8000.000	0.2323	-32.19	14.46	Phaser
70	Spectrogram 1	1	1633.841664249	1635.869440415	0.000	8000.000	2.0278	-32.21	14.61	Upsweep
71	Spectrogram 1	1	1637.833848576	1639.975320689	0.000	8000.000	2.1415	-32.17	15.63	Downsweep
72	Spectrogram 1	1	1642.861043659	1644.931065159	0.000	8000.000	2.0700	-32.18	16.00	
73	Spectrogram 1	1	1646.813874169	1648.926141009	0.000	8000.000	2.1123	-32.16	14.80	
74	Spectrogram 1	1	1651.819946579	1653.911090749	0.000	8000.000	2.0911	-32.21	13.82	
75	Spectrogram 1	1	1655.854376239	1657.966643079	0.000	8000.000	2.1123	-32.21	14.00	
76	Spectrogram 1	1	1659.857121899	1660.110593919	0.000	8000.000	0.2535	-32.19	14.88	
77	Spectrogram 1	1	1669.186218779	1673.674901599	580.000	1080.800	4.4887	-54.14	14.60	
78	Spectrogram 1	1	1684.582931729	1686.118338949	143.400	470.100	1.5354	-59.52	9.82	
79	Spectrogram 1	1	1687.143701289	1688.174317089	159.300	709.100	1.0306	-57.76	11.48	
80	Spectrogram 1	1	1673.719519279	1680.516279029	580.000	1526.500	6.7968	-58.30	11.62	
81	Spectrogram 1	1	1689.418806709	1690.192179809	326.700	756.900	0.7734	-58.17	11.13	
82	Spectrogram 1	1	1691.545582729	1692.527171669	294.800	669.300	0.9816	-60.06	10.02	
83	Spectrogram 1	1	1694.073917869	1694.891908649	318.700	693.200	0.8180	-59.83	10.96	
84	Spectrogram 1	1	1696.589821669	1697.392939889	278.900	605.500	0.8031	-59.86	10.17	
85	Spectrogram 1	1	1699.385862879	1700.248471339	294.800	701.100	0.8626	-59.49	11.24	
86	Spectrogram 1	1	1702.189773909	1703.305215879	255.000	669.300	1.1154	-60.03	11.26	
87	Spectrogram 1	1	1705.253521189	1706.577178999	159.300	390.400	1.3237	-60.78	10.49	
88	Spectrogram 1	1	1708.805782179	1710.144312549	127.500	398.400	1.3385	-59.15	10.62	
89	Spectrogram 1	1	1712.322002369	1713.868748569	127.500	398.400	1.5467	-59.31	10.61	
90	Spectrogram 1	1	1736.133321659	1743.326599259	589.600	1381.600	7.1933	-51.79	14.29	
91	Spectrogram 1	1	1743.494863059	1748.164183659	748.900	1593.500	4.6693	-51.61	14.74	
92	Spectrogram 1	1	1748.551441759	1751.559157259	358.500	900.300	3.0077	-59.72	11.14	
93	Spectrogram 1	1	1754.274084680	1755.115403680	661.334	980.034	0.8413	-58.31	12.88	
94	Spectrogram 1	1	1756.216343418	1756.994563518	605.247	1043.447	0.7782	-53.79	14.71	
