Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1417.100000000	1417.332349352	0.000	8000.000	0.2323	-32.64	18.12	Phaser
2	Spectrogram 1	1	1420.141664249	1422.169440415	0.000	8000.000	2.0278	-32.86	18.12	Upsweep
3	Spectrogram 1	1	1424.133848576	1426.275320689	0.000	8000.000	2.1415	-32.78	18.23	Downsweep
4	Spectrogram 1	1	1429.161043659	1431.231065159	0.000	8000.000	2.0700	-32.84	18.08	
5	Spectrogram 1	1	1433.113874169	1435.226141009	0.000	8000.000	2.1123	-32.85	18.22	
6	Spectrogram 1	1	1438.119946579	1440.211090749	0.000	8000.000	2.0911	-32.82	17.92	
7	Spectrogram 1	1	1442.154376239	1444.266643079	0.000	8000.000	2.1123	-32.84	17.72	
8	Spectrogram 1	1	1446.157121899	1446.410593919	0.000	8000.000	0.2535	-32.70	17.82	
9	Spectrogram 1	1	1455.486218779	1459.974901599	580.000	1080.800	4.4887	-43.92	16.96	
10	Spectrogram 1	1	1470.882931729	1472.418338949	143.400	470.100	1.5354	-55.86	10.22	
11	Spectrogram 1	1	1473.443701289	1474.474317089	159.300	709.100	1.0306	-48.13	11.34	
12	Spectrogram 1	1	1460.019519279	1466.816279029	580.000	1526.500	6.7968	-45.54	16.25	
13	Spectrogram 1	1	1475.718806709	1476.492179809	326.700	756.900	0.7734	-44.39	16.37	
14	Spectrogram 1	1	1477.845582729	1478.827171669	294.800	669.300	0.9816	-46.63	12.54	
15	Spectrogram 1	1	1480.373917869	1481.191908649	318.700	693.200	0.8180	-46.67	15.05	
16	Spectrogram 1	1	1482.889821669	1483.692939889	278.900	605.500	0.8031	-49.93	12.26	
17	Spectrogram 1	1	1485.685862879	1486.548471339	294.800	701.100	0.8626	-46.20	14.66	
18	Spectrogram 1	1	1488.489773909	1489.605215879	255.000	669.300	1.1154	-50.36	11.71	
19	Spectrogram 1	1	1491.553521189	1492.877178999	159.300	390.400	1.3237	-57.30	9.92	
20	Spectrogram 1	1	1495.105782179	1496.444312549	127.500	398.400	1.3385	-56.33	9.81	
21	Spectrogram 1	1	1498.622002369	1500.168748569	127.500	398.400	1.5467	-56.29	10.29	
22	Spectrogram 1	1	1522.433321659	1529.626599259	589.600	1381.600	7.1933	-46.80	14.30	
23	Spectrogram 1	1	1529.794863059	1534.464183659	748.900	1593.500	4.6693	-45.60	15.71	
24	Spectrogram 1	1	1534.851441759	1537.859157259	358.500	900.300	3.0077	-48.53	11.61	
25	Spectrogram 1	1	1540.574084680	1541.415403680	661.334	980.034	0.8413	-49.80	12.57	
26	Spectrogram 1	1	1542.516343418	1543.294563518	605.247	1043.447	0.7782	-45.23	14.47	
27	Spectrogram 1	1	1544.424265080	1545.076287380	609.870	1024.170	0.6520	-44.85	17.11	
28	Spectrogram 1	1	1546.129585914	1546.928839014	786.238	1096.938	0.7993	-51.34	13.97	
29	Spectrogram 1	1	1548.151035257	1548.992354357	736.526	1007.426	0.8413	-48.20	16.26	
30	Spectrogram 1	1	1552.017389459	1552.900774359	23.900	255.000	0.8834	-51.92	13.84	
31	Spectrogram 1	1	1554.562379459	1555.340599559	47.800	247.000	0.7782	-53.51	13.45	
32	Spectrogram 1	1	1556.897039759	1557.885589559	39.800	239.000	0.9885	-51.65	14.37	
33	Spectrogram 1	1	1559.442029759	1560.430579659	31.900	247.000	0.9885	-51.64	14.40	
34	Spectrogram 1	1	1561.899673559	1562.804091559	31.900	207.200	0.9044	-51.88	13.64	
35	Spectrogram 1	1	1566.569000000	1566.801349352	0.000	8000.000	0.2323	-32.59	17.44	Phaser
36	Spectrogram 1	1	1569.610664249	1571.638440415	0.000	8000.000	2.0278	-32.86	18.41	Upsweep
37	Spectrogram 1	1	1573.602848576	1575.744320689	0.000	8000.000	2.1415	-32.86	18.11	Downsweep
38	Spectrogram 1	1	1578.630043659	1580.700065159	0.000	8000.000	2.0700	-32.82	18.44	
39	Spectrogram 1	1	1582.582874169	1584.695141009	0.000	8000.000	2.1123	-32.90	18.29	
