Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	996.200000000	996.432349352	0.000	8000.000	0.2323	-29.85	23.35	Phaser
2	Spectrogram 1	1	999.241664249	1001.269440415	0.000	8000.000	2.0278	-29.75	22.03	Upsweep
3	Spectrogram 1	1	1003.233848576	1005.375320689	0.000	8000.000	2.1415	-29.71	22.20	Downsweep
4	Spectrogram 1	1	1008.261043659	1010.331065159	0.000	8000.000	2.0700	-29.41	22.92	
5	Spectrogram 1	1	1012.213874169	1014.326141009	0.000	8000.000	2.1123	-29.42	21.98	
6	Spectrogram 1	1	1017.219946579	1019.311090749	0.000	8000.000	2.0911	-29.36	21.80	
7	Spectrogram 1	1	1021.254376239	1023.366643079	0.000	8000.000	2.1123	-29.41	22.07	
8	Spectrogram 1	1	1025.257121899	1025.510593919	0.000	8000.000	0.2535	-28.98	22.87	
9	Spectrogram 1	1	1034.586218779	1039.074901599	580.000	1080.800	4.4887	-58.27	12.99	
10	Spectrogram 1	1	1049.982931729	1051.518338949	143.400	470.100	1.5354	-59.91	10.05	
11	Spectrogram 1	1	1052.543701289	1053.574317089	159.300	709.100	1.0306	-56.68	11.87	
12	Spectrogram 1	1	1039.119519279	1045.916279029	580.000	1526.500	6.7968	-57.36	12.05	
13	Spectrogram 1	1	1054.818806709	1055.592179809	326.700	756.900	0.7734	-57.54	10.55	
14	Spectrogram 1	1	1056.945582729	1057.927171669	294.800	669.300	0.9816	-60.14	10.21	
15	Spectrogram 1	1	1059.473917869	1060.291908649	318.700	693.200	0.8180	-58.89	10.67	
16	Spectrogram 1	1	1061.989821669	1062.792939889	278.900	605.500	0.8031	-60.75	10.00	
17	Spectrogram 1	1	1064.785862879	1065.648471339	294.800	701.100	0.8626	-58.58	11.06	
18	Spectrogram 1	1	1067.589773909	1068.705215879	255.000	669.300	1.1154	-59.77	10.95	
