Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	425.925000000	426.157349352	0.000	8000.000	0.2323	-33.75	13.03	Phaser
2	Spectrogram 1	1	428.966664249	430.994440415	0.000	8000.000	2.0278	-32.50	14.09	Upsweep
3	Spectrogram 1	1	432.958848576	435.100320689	0.000	8000.000	2.1415	-32.41	15.19	Downsweep
4	Spectrogram 1	1	437.986043659	440.056065159	0.000	8000.000	2.0700	-32.99	15.00	
5	Spectrogram 1	1	441.938874169	444.051141009	0.000	8000.000	2.1123	-33.28	15.12	
6	Spectrogram 1	1	446.944946579	449.036090749	0.000	8000.000	2.0911	-32.13	14.57	
7	Spectrogram 1	1	450.979376239	453.091643079	0.000	8000.000	2.1123	-33.24	14.26	
8	Spectrogram 1	1	454.982121899	455.235593919	0.000	8000.000	0.2535	-34.52	13.24	
9	Spectrogram 1	1	464.311218779	468.799901599	580.000	1080.800	4.4887	-39.17	21.40	
10	Spectrogram 1	1	479.707931729	481.243338949	143.400	470.100	1.5354	-53.51	10.23	
11	Spectrogram 1	1	482.268701289	483.299317089	159.300	709.100	1.0306	-50.93	10.88	
12	Spectrogram 1	1	468.844519279	475.641279029	580.000	1526.500	6.7968	-38.30	20.76	
13	Spectrogram 1	1	484.543806709	485.317179809	326.700	756.900	0.7734	-40.89	15.44	
14	Spectrogram 1	1	486.670582729	487.652171669	294.800	669.300	0.9816	-52.48	10.81	
15	Spectrogram 1	1	489.198917869	490.016908649	318.700	693.200	0.8180	-46.44	13.93	
16	Spectrogram 1	1	491.714821669	492.517939889	278.900	605.500	0.8031	-52.24	11.03	
17	Spectrogram 1	1	494.510862879	495.373471339	294.800	701.100	0.8626	-46.50	12.14	
18	Spectrogram 1	1	497.314773909	498.430215879	255.000	669.300	1.1154	-51.62	10.81	
19	Spectrogram 1	1	500.378521189	501.702178999	159.300	390.400	1.3237	-54.90	11.17	
20	Spectrogram 1	1	503.930782179	505.269312549	127.500	398.400	1.3385	-54.18	10.34	
21	Spectrogram 1	1	507.447002369	508.993748569	127.500	398.400	1.5467	-54.19	10.16	
22	Spectrogram 1	1	531.258321659	538.451599259	589.600	1381.600	7.1933	-39.94	15.76	
23	Spectrogram 1	1	538.619863059	543.289183659	748.900	1593.500	4.6693	-34.95	20.10	
24	Spectrogram 1	1	543.676441759	546.684157259	358.500	900.300	3.0077	-43.42	12.34	
25	Spectrogram 1	1	549.399084680	550.240403680	661.334	980.034	0.8413	-42.87	16.34	
26	Spectrogram 1	1	551.341343418	552.119563518	605.247	1043.447	0.7782	-39.07	19.26	
27	Spectrogram 1	1	553.249265080	553.901287380	609.870	1024.170	0.6520	-39.75	20.28	
28	Spectrogram 1	1	554.954585914	555.753839014	786.238	1096.938	0.7993	-45.91	15.31	
29	Spectrogram 1	1	556.976035257	557.817354357	736.526	1007.426	0.8413	-43.47	19.94	
30	Spectrogram 1	1	560.842389459	561.725774359	23.900	255.000	0.8834	-49.23	15.35	
31	Spectrogram 1	1	563.387379459	564.165599559	47.800	247.000	0.7782	-53.74	11.08	
32	Spectrogram 1	1	565.722039759	566.710589559	39.800	239.000	0.9885	-51.91	13.22	
33	Spectrogram 1	1	568.267029759	569.255579659	31.900	247.000	0.9885	-49.15	15.12	
34	Spectrogram 1	1	570.724673559	571.629091559	31.900	207.200	0.9044	-49.90	16.70	
35	Spectrogram 1	1	575.394000000	575.626349352	0.000	8000.000	0.2323	-34.38	12.78	Phaser
36	Spectrogram 1	1	578.435664249	580.463440415	0.000	8000.000	2.0278	-32.42	14.27	Upsweep
37	Spectrogram 1	1	582.427848576	584.569320689	0.000	8000.000	2.1415	-31.74	15.24	Downsweep
38	Spectrogram 1	1	587.455043659	589.525065159	0.000	8000.000	2.0700	-32.78	14.56	
39	Spectrogram 1	1	591.407874169	593.520141009	0.000	8000.000	2.1123	-32.98	14.48	
40	Spectrogram 1	1	596.413946579	598.505090749	0.000	8000.000	2.0911	-31.17	14.90	
41	Spectrogram 1	1	600.448376239	602.560643079	0.000	8000.000	2.1123	-31.30	15.61	
42	Spectrogram 1	1	604.451121899	604.704593919	0.000	8000.000	0.2535	-31.85	14.08	
43	Spectrogram 1	1	613.780218779	618.268901599	580.000	1080.800	4.4887	-39.23	20.18	
44	Spectrogram 1	1	629.176931729	630.712338949	143.400	470.100	1.5354	-53.86	9.97	
45	Spectrogram 1	1	631.737701289	632.768317089	159.300	709.100	1.0306	-51.29	9.84	
46	Spectrogram 1	1	618.313519279	625.110279029	580.000	1526.500	6.7968	-38.09	20.91	
47	Spectrogram 1	1	634.012806709	634.786179809	326.700	756.900	0.7734	-40.75	15.79	
48	Spectrogram 1	1	636.139582729	637.121171669	294.800	669.300	0.9816	-52.34	10.29	
49	Spectrogram 1	1	638.667917869	639.485908649	318.700	693.200	0.8180	-46.18	12.20	
50	Spectrogram 1	1	641.183821669	641.986939889	278.900	605.500	0.8031	-51.25	11.72	
51	Spectrogram 1	1	643.979862879	644.842471339	294.800	701.100	0.8626	-46.29	12.53	
52	Spectrogram 1	1	646.783773909	647.899215879	255.000	669.300	1.1154	-50.77	11.89	
53	Spectrogram 1	1	649.847521189	651.171178999	159.300	390.400	1.3237	-55.10	10.88	
54	Spectrogram 1	1	653.399782179	654.738312549	127.500	398.400	1.3385	-54.74	12.09	
55	Spectrogram 1	1	656.916002369	658.462748569	127.500	398.400	1.5467	-54.87	10.88	
56	Spectrogram 1	1	680.727321659	687.920599259	589.600	1381.600	7.1933	-39.89	16.18	
57	Spectrogram 1	1	688.088863059	692.758183659	748.900	1593.500	4.6693	-35.21	20.53	
58	Spectrogram 1	1	693.145441759	696.153157259	358.500	900.300	3.0077	-43.18	12.48	
59	Spectrogram 1	1	698.868084680	699.709403680	661.334	980.034	0.8413	-42.97	16.47	
60	Spectrogram 1	1	700.810343418	701.588563518	605.247	1043.447	0.7782	-39.07	18.30	
61	Spectrogram 1	1	702.718265080	703.370287380	609.870	1024.170	0.6520	-37.95	20.34	
62	Spectrogram 1	1	704.423585914	705.222839014	786.238	1096.938	0.7993	-45.79	17.55	
63	Spectrogram 1	1	706.445035257	707.286354357	736.526	1007.426	0.8413	-42.97	19.11	
64	Spectrogram 1	1	710.311389459	711.194774359	23.900	255.000	0.8834	-47.72	16.78	
65	Spectrogram 1	1	712.856379459	713.634599559	47.800	247.000	0.7782	-53.15	11.51	
66	Spectrogram 1	1	715.191039759	716.179589559	39.800	239.000	0.9885	-51.15	12.76	
67	Spectrogram 1	1	717.736029759	718.724579659	31.900	247.000	0.9885	-51.12	13.67	
68	Spectrogram 1	1	720.193673559	721.098091559	31.900	207.200	0.9044	-51.31	15.90	
