Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	957.050000000	957.282349352	0.000	8000.000	0.2323	-27.35	15.95	Phaser
2	Spectrogram 1	1	960.091664249	962.119440415	0.000	8000.000	2.0278	-25.40	18.25	Upsweep
3	Spectrogram 1	1	964.083848576	966.225320689	0.000	8000.000	2.1415	-25.54	19.00	Downsweep
4	Spectrogram 1	1	969.111043659	971.181065159	0.000	8000.000	2.0700	-25.40	18.24	
5	Spectrogram 1	1	973.063874169	975.176141009	0.000	8000.000	2.1123	-26.28	17.81	
6	Spectrogram 1	1	978.069946579	980.161090749	0.000	8000.000	2.0911	-26.65	16.59	
7	Spectrogram 1	1	982.104376239	984.216643079	0.000	8000.000	2.1123	-25.56	18.82	
8	Spectrogram 1	1	986.107121899	986.360593919	0.000	8000.000	0.2535	-25.96	16.53	
9	Spectrogram 1	1	995.436218779	999.924901599	580.000	1080.800	4.4887	-28.14	23.49	
10	Spectrogram 1	1	1010.832931729	1012.368338949	143.400	470.100	1.5354	-48.49	12.34	
11	Spectrogram 1	1	1013.393701289	1014.424317089	159.300	709.100	1.0306	-40.15	12.26	
12	Spectrogram 1	1	999.969519279	1006.766279029	580.000	1526.500	6.7968	-30.59	23.82	
13	Spectrogram 1	1	1015.668806709	1016.442179809	326.700	756.900	0.7734	-31.82	18.97	
14	Spectrogram 1	1	1017.795582729	1018.777171669	294.800	669.300	0.9816	-37.55	12.81	
15	Spectrogram 1	1	1020.323917869	1021.141908649	318.700	693.200	0.8180	-37.11	16.49	
16	Spectrogram 1	1	1022.839821669	1023.642939889	278.900	605.500	0.8031	-42.64	11.63	
17	Spectrogram 1	1	1025.635862879	1026.498471339	294.800	701.100	0.8626	-36.48	15.09	
18	Spectrogram 1	1	1028.439773909	1029.555215879	255.000	669.300	1.1154	-44.35	11.76	
19	Spectrogram 1	1	1031.503521189	1032.827178999	159.300	390.400	1.3237	-50.23	10.85	
20	Spectrogram 1	1	1035.055782179	1036.394312549	127.500	398.400	1.3385	-50.13	11.68	
21	Spectrogram 1	1	1038.572002369	1040.118748569	127.500	398.400	1.5467	-50.01	11.84	
22	Spectrogram 1	1	1062.383321659	1069.576599259	589.600	1381.600	7.1933	-32.71	15.72	
