Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2229.700000000	2229.932349352	0.000	8000.000	0.2323	-24.69	18.92	Phaser
2	Spectrogram 1	1	2232.741664249	2234.769440415	0.000	8000.000	2.0278	-25.44	20.61	Upsweep
3	Spectrogram 1	1	2236.733848576	2238.875320689	0.000	8000.000	2.1415	-25.50	20.63	Downsweep
4	Spectrogram 1	1	2241.761043659	2243.831065159	0.000	8000.000	2.0700	-25.62	20.25	
5	Spectrogram 1	1	2245.713874169	2247.826141009	0.000	8000.000	2.1123	-25.82	20.60	
6	Spectrogram 1	1	2250.719946579	2252.811090749	0.000	8000.000	2.0911	-25.46	20.49	
7	Spectrogram 1	1	2254.754376239	2256.866643079	0.000	8000.000	2.1123	-25.45	21.03	
8	Spectrogram 1	1	2258.757121899	2259.010593919	0.000	8000.000	0.2535	-25.87	19.18	
9	Spectrogram 1	1	2268.086218779	2272.574901599	580.000	1080.800	4.4887	-36.76	22.54	
10	Spectrogram 1	1	2283.482931729	2285.018338949	143.400	470.100	1.5354	-40.16	19.53	
11	Spectrogram 1	1	2286.043701289	2287.074317089	159.300	709.100	1.0306	-42.18	14.54	
12	Spectrogram 1	1	2272.619519279	2279.416279029	580.000	1526.500	6.7968	-38.39	21.70	
13	Spectrogram 1	1	2288.318806709	2289.092179809	326.700	756.900	0.7734	-40.73	16.46	
14	Spectrogram 1	1	2290.445582729	2291.427171669	294.800	669.300	0.9816	-47.39	11.70	
15	Spectrogram 1	1	2292.973917869	2293.791908649	318.700	693.200	0.8180	-43.30	13.83	
16	Spectrogram 1	1	2295.489821669	2296.292939889	278.900	605.500	0.8031	-49.61	11.62	
17	Spectrogram 1	1	2298.285862879	2299.148471339	294.800	701.100	0.8626	-44.31	12.90	
18	Spectrogram 1	1	2301.089773909	2302.205215879	255.000	669.300	1.1154	-50.05	10.30	
19	Spectrogram 1	1	2304.153521189	2305.477178999	159.300	390.400	1.3237	-36.78	15.76	
20	Spectrogram 1	1	2307.705782179	2309.044312549	127.500	398.400	1.3385	-36.22	19.78	
21	Spectrogram 1	1	2311.222002369	2312.768748569	127.500	398.400	1.5467	-33.54	20.51	
22	Spectrogram 1	1	2335.033321659	2342.226599259	589.600	1381.600	7.1933	-40.56	15.00	
23	Spectrogram 1	1	2342.394863059	2347.064183659	748.900	1593.500	4.6693	-37.78	18.67	
