Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2031.350000000	2031.582349352	0.000	8000.000	0.2323	-29.79	17.55	Phaser
2	Spectrogram 1	1	2034.391664249	2036.419440415	0.000	8000.000	2.0278	-29.48	18.97	Upsweep
3	Spectrogram 1	1	2038.383848576	2040.525320689	0.000	8000.000	2.1415	-29.59	20.55	Downsweep
4	Spectrogram 1	1	2043.411043659	2045.481065159	0.000	8000.000	2.0700	-29.51	18.87	
5	Spectrogram 1	1	2047.363874169	2049.476141009	0.000	8000.000	2.1123	-28.36	21.44	
6	Spectrogram 1	1	2052.369946579	2054.461090749	0.000	8000.000	2.0911	-28.86	20.43	
7	Spectrogram 1	1	2056.404376239	2058.516643079	0.000	8000.000	2.1123	-29.16	21.34	
8	Spectrogram 1	1	2060.407121899	2060.660593919	0.000	8000.000	0.2535	-28.91	17.94	
9	Spectrogram 1	1	2069.736218779	2074.224901599	580.000	1080.800	4.4887	-35.24	24.22	
10	Spectrogram 1	1	2085.132931729	2086.668338949	143.400	470.100	1.5354	-55.29	10.09	
11	Spectrogram 1	1	2087.693701289	2088.724317089	159.300	709.100	1.0306	-48.84	11.42	
12	Spectrogram 1	1	2074.269519279	2081.066279029	580.000	1526.500	6.7968	-37.13	22.28	
13	Spectrogram 1	1	2089.968806709	2090.742179809	326.700	756.900	0.7734	-38.28	18.58	
14	Spectrogram 1	1	2092.095582729	2093.077171669	294.800	669.300	0.9816	-46.22	12.58	
15	Spectrogram 1	1	2094.623917869	2095.441908649	318.700	693.200	0.8180	-42.75	15.69	
16	Spectrogram 1	1	2097.139821669	2097.942939889	278.900	605.500	0.8031	-49.34	12.82	
17	Spectrogram 1	1	2099.935862879	2100.798471339	294.800	701.100	0.8626	-41.66	14.62	
18	Spectrogram 1	1	2102.739773909	2103.855215879	255.000	669.300	1.1154	-50.24	11.93	
19	Spectrogram 1	1	2105.803521189	2107.127178999	159.300	390.400	1.3237	-57.41	10.78	
20	Spectrogram 1	1	2109.355782179	2110.694312549	127.500	398.400	1.3385	-56.60	10.25	
21	Spectrogram 1	1	2112.872002369	2114.418748569	127.500	398.400	1.5467	-56.69	9.87	
22	Spectrogram 1	1	2136.683321659	2143.876599259	589.600	1381.600	7.1933	-39.73	15.74	
23	Spectrogram 1	1	2144.044863059	2148.714183659	748.900	1593.500	4.6693	-34.96	20.91	
24	Spectrogram 1	1	2149.101441759	2152.109157259	358.500	900.300	3.0077	-40.47	12.18	
25	Spectrogram 1	1	2154.824084680	2155.665403680	661.334	980.034	0.8413	-38.99	18.56	
26	Spectrogram 1	1	2156.766343418	2157.544563518	605.247	1043.447	0.7782	-37.22	19.09	
27	Spectrogram 1	1	2158.674265080	2159.326287380	609.870	1024.170	0.6520	-36.63	19.87	
28	Spectrogram 1	1	2160.379585914	2161.178839014	786.238	1096.938	0.7993	-44.78	17.50	
29	Spectrogram 1	1	2162.401035257	2163.242354357	736.526	1007.426	0.8413	-41.69	22.10	
30	Spectrogram 1	1	2166.267389459	2167.150774359	23.900	255.000	0.8834	-46.67	20.63	
31	Spectrogram 1	1	2168.812379459	2169.590599559	47.800	247.000	0.7782	-50.21	12.54	
32	Spectrogram 1	1	2171.147039759	2172.135589559	39.800	239.000	0.9885	-50.65	15.13	
33	Spectrogram 1	1	2173.692029759	2174.680579659	31.900	247.000	0.9885	-49.45	14.76	
34	Spectrogram 1	1	2176.149673559	2177.054091559	31.900	207.200	0.9044	-49.29	17.26	
35	Spectrogram 1	1	2180.819000000	2181.051349352	0.000	8000.000	0.2323	-30.63	18.56	Phaser
36	Spectrogram 1	1	2183.860664249	2185.888440415	0.000	8000.000	2.0278	-29.54	18.70	Upsweep
37	Spectrogram 1	1	2187.852848576	2189.994320689	0.000	8000.000	2.1415	-30.80	19.02	Downsweep
38	Spectrogram 1	1	2192.880043659	2194.950065159	0.000	8000.000	2.0700	-30.38	19.57	
39	Spectrogram 1	1	2196.832874169	2198.945141009	0.000	8000.000	2.1123	-29.60	21.11	
40	Spectrogram 1	1	2201.838946579	2203.930090749	0.000	8000.000	2.0911	-29.77	19.84	
41	Spectrogram 1	1	2205.873376239	2207.985643079	0.000	8000.000	2.1123	-30.44	20.18	
42	Spectrogram 1	1	2209.876121899	2210.129593919	0.000	8000.000	0.2535	-30.58	18.32	
43	Spectrogram 1	1	2219.205218779	2223.693901599	580.000	1080.800	4.4887	-35.39	23.68	
44	Spectrogram 1	1	2234.601931729	2236.137338949	143.400	470.100	1.5354	-55.61	9.99	
45	Spectrogram 1	1	2237.162701289	2238.193317089	159.300	709.100	1.0306	-48.61	10.62	
46	Spectrogram 1	1	2223.738519279	2230.535279029	580.000	1526.500	6.7968	-37.46	22.74	
47	Spectrogram 1	1	2239.437806709	2240.211179809	326.700	756.900	0.7734	-39.63	19.43	
48	Spectrogram 1	1	2241.564582729	2242.546171669	294.800	669.300	0.9816	-46.11	13.47	
49	Spectrogram 1	1	2244.092917869	2244.910908649	318.700	693.200	0.8180	-42.61	16.18	
50	Spectrogram 1	1	2246.608821669	2247.411939889	278.900	605.500	0.8031	-50.60	13.08	
51	Spectrogram 1	1	2249.404862879	2250.267471339	294.800	701.100	0.8626	-41.30	15.99	
52	Spectrogram 1	1	2252.208773909	2253.324215879	255.000	669.300	1.1154	-50.58	10.41	
53	Spectrogram 1	1	2255.272521189	2256.596178999	159.300	390.400	1.3237	-57.34	11.08	
54	Spectrogram 1	1	2258.824782179	2260.163312549	127.500	398.400	1.3385	-56.88	11.57	
55	Spectrogram 1	1	2262.341002369	2263.887748569	127.500	398.400	1.5467	-56.81	10.57	
56	Spectrogram 1	1	2286.152321659	2293.345599259	589.600	1381.600	7.1933	-39.94	16.18	
57	Spectrogram 1	1	2293.513863059	2298.183183659	748.900	1593.500	4.6693	-36.31	21.00	
58	Spectrogram 1	1	2298.570441759	2301.578157259	358.500	900.300	3.0077	-41.55	12.25	
59	Spectrogram 1	1	2304.293084680	2305.134403680	661.334	980.034	0.8413	-38.87	18.62	
60	Spectrogram 1	1	2306.235343418	2307.013563518	605.247	1043.447	0.7782	-37.21	18.43	
61	Spectrogram 1	1	2308.143265080	2308.795287380	609.870	1024.170	0.6520	-37.31	21.13	
62	Spectrogram 1	1	2309.848585914	2310.647839014	786.238	1096.938	0.7993	-45.44	18.01	
63	Spectrogram 1	1	2311.870035257	2312.711354357	736.526	1007.426	0.8413	-41.06	22.62	
64	Spectrogram 1	1	2315.736389459	2316.619774359	23.900	255.000	0.8834	-45.31	20.47	
65	Spectrogram 1	1	2318.281379459	2319.059599559	47.800	247.000	0.7782	-50.08	12.33	
66	Spectrogram 1	1	2320.616039759	2321.604589559	39.800	239.000	0.9885	-47.65	17.10	
67	Spectrogram 1	1	2323.161029759	2324.149579659	31.900	247.000	0.9885	-44.96	21.37	
