Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1186.300000000	1186.532349352	0.000	8000.000	0.2323	-31.88	16.65	Phaser
2	Spectrogram 1	1	1189.341664249	1191.369440415	0.000	8000.000	2.0278	-31.96	16.48	Upsweep
3	Spectrogram 1	1	1193.333848576	1195.475320689	0.000	8000.000	2.1415	-32.61	15.59	Downsweep
4	Spectrogram 1	1	1198.361043659	1200.431065159	0.000	8000.000	2.0700	-32.75	14.49	
5	Spectrogram 1	1	1202.313874169	1204.426141009	0.000	8000.000	2.1123	-32.50	14.55	
6	Spectrogram 1	1	1207.319946579	1209.411090749	0.000	8000.000	2.0911	-32.05	15.49	
7	Spectrogram 1	1	1211.354376239	1213.466643079	0.000	8000.000	2.1123	-32.35	15.13	
8	Spectrogram 1	1	1215.357121899	1215.610593919	0.000	8000.000	0.2535	-32.22	15.10	
9	Spectrogram 1	1	1224.686218779	1229.174901599	580.000	1080.800	4.4887	-58.36	13.43	
10	Spectrogram 1	1	1240.082931729	1241.618338949	143.400	470.100	1.5354	-59.09	10.08	
11	Spectrogram 1	1	1242.643701289	1243.674317089	159.300	709.100	1.0306	-57.18	10.69	
12	Spectrogram 1	1	1229.219519279	1236.016279029	580.000	1526.500	6.7968	-56.98	11.65	
13	Spectrogram 1	1	1244.918806709	1245.692179809	326.700	756.900	0.7734	-56.93	10.79	
14	Spectrogram 1	1	1247.045582729	1248.027171669	294.800	669.300	0.9816	-60.18	11.44	
15	Spectrogram 1	1	1249.573917869	1250.391908649	318.700	693.200	0.8180	-59.49	9.84	
16	Spectrogram 1	1	1252.089821669	1252.892939889	278.900	605.500	0.8031	-60.02	9.76	
17	Spectrogram 1	1	1254.885862879	1255.748471339	294.800	701.100	0.8626	-59.19	11.13	
18	Spectrogram 1	1	1257.689773909	1258.805215879	255.000	669.300	1.1154	-59.21	10.49	
19	Spectrogram 1	1	1260.753521189	1262.077178999	159.300	390.400	1.3237	-60.17	9.98	
20	Spectrogram 1	1	1264.305782179	1265.644312549	127.500	398.400	1.3385	-59.95	11.21	
21	Spectrogram 1	1	1267.822002369	1269.368748569	127.500	398.400	1.5467	-59.34	10.28	
22	Spectrogram 1	1	1291.633321659	1298.826599259	589.600	1381.600	7.1933	-60.27	11.57	
23	Spectrogram 1	1	1298.994863059	1303.664183659	748.900	1593.500	4.6693	-59.94	11.60	
24	Spectrogram 1	1	1304.051441759	1307.059157259	358.500	900.300	3.0077	-59.11	11.51	
25	Spectrogram 1	1	1309.774084680	1310.615403680	661.334	980.034	0.8413	-62.55	11.03	
26	Spectrogram 1	1	1311.716343418	1312.494563518	605.247	1043.447	0.7782	-59.67	12.42	
27	Spectrogram 1	1	1313.624265080	1314.276287380	609.870	1024.170	0.6520	-60.25	12.52	
28	Spectrogram 1	1	1315.329585914	1316.128839014	786.238	1096.938	0.7993	-60.13	12.98	
29	Spectrogram 1	1	1317.351035257	1318.192354357	736.526	1007.426	0.8413	-63.42	11.74	
30	Spectrogram 1	1	1321.217389459	1322.100774359	23.900	255.000	0.8834	-53.53	12.84	
31	Spectrogram 1	1	1323.762379459	1324.540599559	47.800	247.000	0.7782	-58.34	10.15	
32	Spectrogram 1	1	1326.097039759	1327.085589559	39.800	239.000	0.9885	-56.43	12.94	
33	Spectrogram 1	1	1328.642029759	1329.630579659	31.900	247.000	0.9885	-53.28	13.62	
34	Spectrogram 1	1	1331.099673559	1332.004091559	31.900	207.200	0.9044	-53.72	13.50	
35	Spectrogram 1	1	1335.769000000	1336.001349352	0.000	8000.000	0.2323	-31.28	18.73	Phaser
36	Spectrogram 1	1	1338.810664249	1340.838440415	0.000	8000.000	2.0278	-31.75	16.79	Upsweep
37	Spectrogram 1	1	1342.802848576	1344.944320689	0.000	8000.000	2.1415	-31.20	18.58	Downsweep
38	Spectrogram 1	1	1347.830043659	1349.900065159	0.000	8000.000	2.0700	-31.49	17.00	
39	Spectrogram 1	1	1351.782874169	1353.895141009	0.000	8000.000	2.1123	-31.63	16.84	
40	Spectrogram 1	1	1356.788946579	1358.880090749	0.000	8000.000	2.0911	-31.90	16.43	
41	Spectrogram 1	1	1360.823376239	1362.935643079	0.000	8000.000	2.1123	-31.43	16.06	
42	Spectrogram 1	1	1364.826121899	1365.079593919	0.000	8000.000	0.2535	-31.88	17.32	
43	Spectrogram 1	1	1374.155218779	1378.643901599	580.000	1080.800	4.4887	-58.77	13.13	
44	Spectrogram 1	1	1389.551931729	1391.087338949	143.400	470.100	1.5354	-59.31	11.04	
45	Spectrogram 1	1	1392.112701289	1393.143317089	159.300	709.100	1.0306	-57.81	9.83	
46	Spectrogram 1	1	1378.688519279	1385.485279029	580.000	1526.500	6.7968	-58.92	11.42	
47	Spectrogram 1	1	1394.387806709	1395.161179809	326.700	756.900	0.7734	-57.97	10.81	
48	Spectrogram 1	1	1396.514582729	1397.496171669	294.800	669.300	0.9816	-56.90	12.36	
49	Spectrogram 1	1	1399.042917869	1399.860908649	318.700	693.200	0.8180	-56.39	11.58	
50	Spectrogram 1	1	1401.558821669	1402.361939889	278.900	605.500	0.8031	-58.00	10.93	
51	Spectrogram 1	1	1404.354862879	1405.217471339	294.800	701.100	0.8626	-57.65	11.38	
52	Spectrogram 1	1	1407.158773909	1408.274215879	255.000	669.300	1.1154	-57.43	10.67	
53	Spectrogram 1	1	1410.222521189	1411.546178999	159.300	390.400	1.3237	-60.06	10.61	
54	Spectrogram 1	1	1413.774782179	1415.113312549	127.500	398.400	1.3385	-59.58	9.68	
55	Spectrogram 1	1	1417.291002369	1418.837748569	127.500	398.400	1.5467	-59.41	10.11	
56	Spectrogram 1	1	1441.102321659	1448.295599259	589.600	1381.600	7.1933	-59.69	11.91	
57	Spectrogram 1	1	1448.463863059	1453.133183659	748.900	1593.500	4.6693	-59.52	11.55	
58	Spectrogram 1	1	1453.520441759	1456.528157259	358.500	900.300	3.0077	-58.69	12.18	
59	Spectrogram 1	1	1459.243084680	1460.084403680	661.334	980.034	0.8413	-61.73	12.51	
60	Spectrogram 1	1	1461.185343418	1461.963563518	605.247	1043.447	0.7782	-59.13	11.79	
61	Spectrogram 1	1	1463.093265080	1463.745287380	609.870	1024.170	0.6520	-59.86	12.89	
62	Spectrogram 1	1	1464.798585914	1465.597839014	786.238	1096.938	0.7993	-53.86	13.00	
63	Spectrogram 1	1	1466.820035257	1467.661354357	736.526	1007.426	0.8413	-58.99	12.81	
64	Spectrogram 1	1	1470.686389459	1471.569774359	23.900	255.000	0.8834	-51.05	14.88	
65	Spectrogram 1	1	1473.231379459	1474.009599559	47.800	247.000	0.7782	-56.66	13.11	
66	Spectrogram 1	1	1475.566039759	1476.554589559	39.800	239.000	0.9885	-55.52	12.18	
67	Spectrogram 1	1	1478.111029759	1479.099579659	31.900	247.000	0.9885	-52.95	14.22	
68	Spectrogram 1	1	1480.568673559	1481.473091559	31.900	207.200	0.9044	-53.57	13.90	
69	Spectrogram 1	1	1485.200000000	1485.432349352	0.000	8000.000	0.2323	-31.25	17.54	Phaser
70	Spectrogram 1	1	1488.241664249	1490.269440415	0.000	8000.000	2.0278	-31.11	17.42	Upsweep
71	Spectrogram 1	1	1492.233848576	1494.375320689	0.000	8000.000	2.1415	-32.19	16.61	Downsweep
72	Spectrogram 1	1	1497.261043659	1499.331065159	0.000	8000.000	2.0700	-32.31	14.38	
73	Spectrogram 1	1	1501.213874169	1503.326141009	0.000	8000.000	2.1123	-30.45	16.36	
74	Spectrogram 1	1	1506.219946579	1508.311090749	0.000	8000.000	2.0911	-31.59	16.87	
75	Spectrogram 1	1	1510.254376239	1512.366643079	0.000	8000.000	2.1123	-31.40	17.11	
76	Spectrogram 1	1	1514.257121899	1514.510593919	0.000	8000.000	0.2535	-30.32	20.46	
77	Spectrogram 1	1	1523.586218779	1528.074901599	580.000	1080.800	4.4887	-58.07	13.05	
78	Spectrogram 1	1	1538.982931729	1540.518338949	143.400	470.100	1.5354	-59.31	10.17	
79	Spectrogram 1	1	1541.543701289	1542.574317089	159.300	709.100	1.0306	-57.21	11.01	
80	Spectrogram 1	1	1528.119519279	1534.916279029	580.000	1526.500	6.7968	-58.61	11.18	
81	Spectrogram 1	1	1543.818806709	1544.592179809	326.700	756.900	0.7734	-56.25	11.82	
82	Spectrogram 1	1	1545.945582729	1546.927171669	294.800	669.300	0.9816	-58.83	11.18	
83	Spectrogram 1	1	1548.473917869	1549.291908649	318.700	693.200	0.8180	-59.16	10.70	
84	Spectrogram 1	1	1550.989821669	1551.792939889	278.900	605.500	0.8031	-58.50	12.51	
85	Spectrogram 1	1	1553.785862879	1554.648471339	294.800	701.100	0.8626	-58.58	10.85	
86	Spectrogram 1	1	1556.589773909	1557.705215879	255.000	669.300	1.1154	-58.89	11.11	
87	Spectrogram 1	1	1559.653521189	1560.977178999	159.300	390.400	1.3237	-61.10	10.79	
88	Spectrogram 1	1	1563.205782179	1564.544312549	127.500	398.400	1.3385	-58.99	10.27	
89	Spectrogram 1	1	1566.722002369	1568.268748569	127.500	398.400	1.5467	-59.29	10.04	
90	Spectrogram 1	1	1590.533321659	1597.726599259	589.600	1381.600	7.1933	-60.52	11.74	
91	Spectrogram 1	1	1597.894863059	1602.564183659	748.900	1593.500	4.6693	-59.71	11.76	
92	Spectrogram 1	1	1602.951441759	1605.959157259	358.500	900.300	3.0077	-59.36	11.65	
93	Spectrogram 1	1	1608.674084680	1609.515403680	661.334	980.034	0.8413	-62.79	10.73	
94	Spectrogram 1	1	1610.616343418	1611.394563518	605.247	1043.447	0.7782	-61.00	10.81	
95	Spectrogram 1	1	1612.524265080	1613.176287380	609.870	1024.170	0.6520	-61.10	12.10	
96	Spectrogram 1	1	1614.229585914	1615.028839014	786.238	1096.938	0.7993	-65.18	10.11	
97	Spectrogram 1	1	1616.251035257	1617.092354357	736.526	1007.426	0.8413	-63.76	12.61	
98	Spectrogram 1	1	1620.117389459	1621.000774359	23.900	255.000	0.8834	-54.09	11.67	
99	Spectrogram 1	1	1622.662379459	1623.440599559	47.800	247.000	0.7782	-57.77	11.44	
100	Spectrogram 1	1	1624.997039759	1625.985589559	39.800	239.000	0.9885	-55.91	11.95	
101	Spectrogram 1	1	1627.542029759	1628.530579659	31.900	247.000	0.9885	-53.36	14.75	
102	Spectrogram 1	1	1629.999673559	1630.904091559	31.900	207.200	0.9044	-53.54	13.71	
