Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	351.275000000	351.507349352	0.000	8000.000	0.2323	-35.76	16.05	Phaser
2	Spectrogram 1	1	354.316664249	356.344440415	0.000	8000.000	2.0278	-35.06	16.52	Upsweep
3	Spectrogram 1	1	358.308848576	360.450320689	0.000	8000.000	2.1415	-35.36	16.05	Downsweep
4	Spectrogram 1	1	363.336043659	365.406065159	0.000	8000.000	2.0700	-35.18	16.30	
5	Spectrogram 1	1	367.288874169	369.401141009	0.000	8000.000	2.1123	-35.22	16.76	
6	Spectrogram 1	1	372.294946579	374.386090749	0.000	8000.000	2.0911	-35.23	16.85	
7	Spectrogram 1	1	376.329376239	378.441643079	0.000	8000.000	2.1123	-35.38	16.60	
8	Spectrogram 1	1	380.332121899	380.585593919	0.000	8000.000	0.2535	-36.87	15.07	
9	Spectrogram 1	1	389.661218779	394.149901599	580.000	1080.800	4.4887	-37.97	23.11	
10	Spectrogram 1	1	405.057931729	406.593338949	143.400	470.100	1.5354	-54.61	10.42	
11	Spectrogram 1	1	407.618701289	408.649317089	159.300	709.100	1.0306	-51.03	11.23	
12	Spectrogram 1	1	394.194519279	400.991279029	580.000	1526.500	6.7968	-37.47	21.42	
13	Spectrogram 1	1	409.893806709	410.667179809	326.700	756.900	0.7734	-42.04	14.28	
14	Spectrogram 1	1	412.020582729	413.002171669	294.800	669.300	0.9816	-50.59	12.06	
15	Spectrogram 1	1	414.548917869	415.366908649	318.700	693.200	0.8180	-44.85	14.17	
16	Spectrogram 1	1	417.064821669	417.867939889	278.900	605.500	0.8031	-52.61	11.65	
17	Spectrogram 1	1	419.860862879	420.723471339	294.800	701.100	0.8626	-44.97	11.81	
18	Spectrogram 1	1	422.664773909	423.780215879	255.000	669.300	1.1154	-52.23	10.34	
19	Spectrogram 1	1	425.728521189	427.052178999	159.300	390.400	1.3237	-55.18	10.22	
20	Spectrogram 1	1	429.280782179	430.619312549	127.500	398.400	1.3385	-55.30	10.10	
21	Spectrogram 1	1	432.797002369	434.343748569	127.500	398.400	1.5467	-55.19	11.43	
22	Spectrogram 1	1	456.608321659	463.801599259	589.600	1381.600	7.1933	-39.89	15.86	
23	Spectrogram 1	1	463.969863059	468.639183659	748.900	1593.500	4.6693	-33.90	21.26	
24	Spectrogram 1	1	469.026441759	472.034157259	358.500	900.300	3.0077	-46.20	12.06	
25	Spectrogram 1	1	474.749084680	475.590403680	661.334	980.034	0.8413	-42.71	19.01	
26	Spectrogram 1	1	476.691343418	477.469563518	605.247	1043.447	0.7782	-38.31	19.78	
27	Spectrogram 1	1	478.599265080	479.251287380	609.870	1024.170	0.6520	-39.05	20.45	
28	Spectrogram 1	1	480.304585914	481.103839014	786.238	1096.938	0.7993	-45.33	17.78	
29	Spectrogram 1	1	482.326035257	483.167354357	736.526	1007.426	0.8413	-42.75	20.68	
30	Spectrogram 1	1	486.192389459	487.075774359	23.900	255.000	0.8834	-52.17	13.48	
31	Spectrogram 1	1	488.737379459	489.515599559	47.800	247.000	0.7782	-54.11	14.25	
32	Spectrogram 1	1	491.072039759	492.060589559	39.800	239.000	0.9885	-53.24	13.77	
33	Spectrogram 1	1	493.617029759	494.605579659	31.900	247.000	0.9885	-52.30	14.03	
34	Spectrogram 1	1	496.074673559	496.979091559	31.900	207.200	0.9044	-52.93	13.88	
35	Spectrogram 1	1	500.744000000	500.976349352	0.000	8000.000	0.2323	-36.03	16.29	Phaser
36	Spectrogram 1	1	503.785664249	505.813440415	0.000	8000.000	2.0278	-35.01	16.76	Upsweep
37	Spectrogram 1	1	507.777848576	509.919320689	0.000	8000.000	2.1415	-35.24	16.42	Downsweep
38	Spectrogram 1	1	512.805043659	514.875065159	0.000	8000.000	2.0700	-34.94	16.45	
39	Spectrogram 1	1	516.757874169	518.870141009	0.000	8000.000	2.1123	-35.27	16.39	
40	Spectrogram 1	1	521.763946579	523.855090749	0.000	8000.000	2.0911	-35.15	17.28	
41	Spectrogram 1	1	525.798376239	527.910643079	0.000	8000.000	2.1123	-35.33	16.54	
42	Spectrogram 1	1	529.801121899	530.054593919	0.000	8000.000	0.2535	-36.79	15.40	
43	Spectrogram 1	1	539.130218779	543.618901599	580.000	1080.800	4.4887	-38.06	22.81	
44	Spectrogram 1	1	554.526931729	556.062338949	143.400	470.100	1.5354	-54.68	10.58	
45	Spectrogram 1	1	557.087701289	558.118317089	159.300	709.100	1.0306	-51.07	10.52	
46	Spectrogram 1	1	543.663519279	550.460279029	580.000	1526.500	6.7968	-37.61	22.08	
47	Spectrogram 1	1	559.362806709	560.136179809	326.700	756.900	0.7734	-41.89	15.07	
48	Spectrogram 1	1	561.489582729	562.471171669	294.800	669.300	0.9816	-50.42	11.22	
49	Spectrogram 1	1	564.017917869	564.835908649	318.700	693.200	0.8180	-44.65	13.92	
50	Spectrogram 1	1	566.533821669	567.336939889	278.900	605.500	0.8031	-51.96	11.06	
51	Spectrogram 1	1	569.329862879	570.192471339	294.800	701.100	0.8626	-44.82	12.18	
52	Spectrogram 1	1	572.133773909	573.249215879	255.000	669.300	1.1154	-51.85	11.08	
53	Spectrogram 1	1	575.197521189	576.521178999	159.300	390.400	1.3237	-55.91	10.84	
54	Spectrogram 1	1	578.749782179	580.088312549	127.500	398.400	1.3385	-55.33	10.75	
55	Spectrogram 1	1	582.266002369	583.812748569	127.500	398.400	1.5467	-55.52	10.91	
56	Spectrogram 1	1	606.077321659	613.270599259	589.600	1381.600	7.1933	-39.92	15.77	
57	Spectrogram 1	1	613.438863059	618.108183659	748.900	1593.500	4.6693	-33.98	21.40	
58	Spectrogram 1	1	618.495441759	621.503157259	358.500	900.300	3.0077	-46.07	12.36	
59	Spectrogram 1	1	624.218084680	625.059403680	661.334	980.034	0.8413	-42.56	18.26	
60	Spectrogram 1	1	626.160343418	626.938563518	605.247	1043.447	0.7782	-38.37	19.21	
61	Spectrogram 1	1	628.068265080	628.720287380	609.870	1024.170	0.6520	-38.95	18.81	
62	Spectrogram 1	1	629.773585914	630.572839014	786.238	1096.938	0.7993	-45.10	18.13	
63	Spectrogram 1	1	631.795035257	632.636354357	736.526	1007.426	0.8413	-43.04	20.69	
64	Spectrogram 1	1	635.661389459	636.544774359	23.900	255.000	0.8834	-52.97	13.80	
65	Spectrogram 1	1	638.206379459	638.984599559	47.800	247.000	0.7782	-54.54	12.02	
