Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	918.075000000	918.307349352	0.000	8000.000	0.2323	-33.07	23.04	Phaser
2	Spectrogram 1	1	921.116664249	923.144440415	0.000	8000.000	2.0278	-34.31	21.61	Upsweep
3	Spectrogram 1	1	925.108848576	927.250320689	0.000	8000.000	2.1415	-33.41	20.88	Downsweep
4	Spectrogram 1	1	930.136043659	932.206065159	0.000	8000.000	2.0700	-30.23	22.25	
5	Spectrogram 1	1	934.088874169	936.201141009	0.000	8000.000	2.1123	-35.12	19.66	
6	Spectrogram 1	1	939.094946579	941.186090749	0.000	8000.000	2.0911	-34.70	19.53	
7	Spectrogram 1	1	943.129376239	945.241643079	0.000	8000.000	2.1123	-34.12	20.25	
8	Spectrogram 1	1	947.132121899	947.385593919	0.000	8000.000	0.2535	-30.93	20.14	
9	Spectrogram 1	1	956.461218779	960.949901599	580.000	1080.800	4.4887	-36.22	19.43	
10	Spectrogram 1	1	971.857931729	973.393338949	143.400	470.100	1.5354	-56.75	11.38	
11	Spectrogram 1	1	974.418701289	975.449317089	159.300	709.100	1.0306	-44.55	14.17	
12	Spectrogram 1	1	960.994519279	967.791279029	580.000	1526.500	6.7968	-34.29	21.32	
13	Spectrogram 1	1	976.693806709	977.467179809	326.700	756.900	0.7734	-36.64	23.98	
14	Spectrogram 1	1	978.820582729	979.802171669	294.800	669.300	0.9816	-46.30	12.99	
15	Spectrogram 1	1	981.348917869	982.166908649	318.700	693.200	0.8180	-46.19	15.40	
16	Spectrogram 1	1	983.864821669	984.667939889	278.900	605.500	0.8031	-48.47	12.83	
17	Spectrogram 1	1	986.660862879	987.523471339	294.800	701.100	0.8626	-42.75	17.63	
18	Spectrogram 1	1	989.464773909	990.580215879	255.000	669.300	1.1154	-47.25	12.02	
19	Spectrogram 1	1	992.528521189	993.852178999	159.300	390.400	1.3237	-58.09	10.53	
20	Spectrogram 1	1	996.080782179	997.419312549	127.500	398.400	1.3385	-57.22	10.56	
21	Spectrogram 1	1	999.597002369	1001.143748569	127.500	398.400	1.5467	-58.12	9.91	
22	Spectrogram 1	1	1023.408321659	1030.601599259	589.600	1381.600	7.1933	-34.80	23.02	
23	Spectrogram 1	1	1030.769863059	1035.439183659	748.900	1593.500	4.6693	-36.34	22.64	
24	Spectrogram 1	1	1035.826441759	1038.834157259	358.500	900.300	3.0077	-43.98	16.28	
25	Spectrogram 1	1	1041.549084680	1042.390403680	661.334	980.034	0.8413	-37.15	19.80	
26	Spectrogram 1	1	1043.491343418	1044.269563518	605.247	1043.447	0.7782	-34.62	19.81	
27	Spectrogram 1	1	1045.399265080	1046.051287380	609.870	1024.170	0.6520	-37.65	18.27	
28	Spectrogram 1	1	1047.104585914	1047.903839014	786.238	1096.938	0.7993	-43.24	13.30	
29	Spectrogram 1	1	1049.126035257	1049.967354357	736.526	1007.426	0.8413	-40.53	19.72	
30	Spectrogram 1	1	1052.992389459	1053.875774359	23.900	255.000	0.8834	-52.81	15.58	
31	Spectrogram 1	1	1055.537379459	1056.315599559	47.800	247.000	0.7782	-56.30	12.47	
32	Spectrogram 1	1	1057.872039759	1058.860589559	39.800	239.000	0.9885	-55.12	12.62	
33	Spectrogram 1	1	1060.417029759	1061.405579659	31.900	247.000	0.9885	-53.96	12.67	
34	Spectrogram 1	1	1062.874673559	1063.779091559	31.900	207.200	0.9044	-52.86	15.25	
35	Spectrogram 1	1	1067.544000000	1067.776349352	0.000	8000.000	0.2323	-36.35	19.16	Phaser
36	Spectrogram 1	1	1070.585664249	1072.613440415	0.000	8000.000	2.0278	-33.78	19.56	Upsweep
37	Spectrogram 1	1	1074.577848576	1076.719320689	0.000	8000.000	2.1415	-33.72	20.41	Downsweep
