Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	1901.250000000	1901.482349352	0.000	8000.000	0.2323	-29.48	23.42	Phaser
2	Spectrogram 1	1	1904.291664249	1906.319440415	0.000	8000.000	2.0278	-27.30	20.06	Upsweep
3	Spectrogram 1	1	1908.283848576	1910.425320689	0.000	8000.000	2.1415	-27.53	19.22	Downsweep
4	Spectrogram 1	1	1913.311043659	1915.381065159	0.000	8000.000	2.0700	-27.53	21.24	
5	Spectrogram 1	1	1917.263874169	1919.376141009	0.000	8000.000	2.1123	-27.44	19.54	
6	Spectrogram 1	1	1922.269946579	1924.361090749	0.000	8000.000	2.0911	-27.53	20.67	
7	Spectrogram 1	1	1926.304376239	1928.416643079	0.000	8000.000	2.1123	-27.58	19.47	
8	Spectrogram 1	1	1930.307121899	1930.560593919	0.000	8000.000	0.2535	-29.85	21.66	
9	Spectrogram 1	1	1939.636218779	1944.124901599	580.000	1080.800	4.4887	-26.14	27.51	
10	Spectrogram 1	1	1955.032931729	1956.568338949	143.400	470.100	1.5354	-52.43	11.91	
11	Spectrogram 1	1	1957.593701289	1958.624317089	159.300	709.100	1.0306	-40.31	13.37	
12	Spectrogram 1	1	1944.169519279	1950.966279029	580.000	1526.500	6.7968	-28.97	25.49	
13	Spectrogram 1	1	1959.868806709	1960.642179809	326.700	756.900	0.7734	-27.91	22.65	
14	Spectrogram 1	1	1961.995582729	1962.977171669	294.800	669.300	0.9816	-37.67	15.21	
15	Spectrogram 1	1	1964.523917869	1965.341908649	318.700	693.200	0.8180	-34.76	20.51	
16	Spectrogram 1	1	1967.039821669	1967.842939889	278.900	605.500	0.8031	-43.10	13.21	
17	Spectrogram 1	1	1969.835862879	1970.698471339	294.800	701.100	0.8626	-34.09	18.69	
18	Spectrogram 1	1	1972.639773909	1973.755215879	255.000	669.300	1.1154	-45.93	13.32	
19	Spectrogram 1	1	1975.703521189	1977.027178999	159.300	390.400	1.3237	-54.36	11.46	
20	Spectrogram 1	1	1979.255782179	1980.594312549	127.500	398.400	1.3385	-54.12	13.19	
21	Spectrogram 1	1	1982.772002369	1984.318748569	127.500	398.400	1.5467	-54.25	10.56	
22	Spectrogram 1	1	2006.583321659	2013.776599259	589.600	1381.600	7.1933	-31.95	17.76	
23	Spectrogram 1	1	2013.944863059	2018.614183659	748.900	1593.500	4.6693	-26.61	23.51	
24	Spectrogram 1	1	2019.001441759	2022.009157259	358.500	900.300	3.0077	-38.81	12.75	
25	Spectrogram 1	1	2024.724084680	2025.565403680	661.334	980.034	0.8413	-36.41	19.66	
26	Spectrogram 1	1	2026.666343418	2027.444563518	605.247	1043.447	0.7782	-28.28	21.49	
27	Spectrogram 1	1	2028.574265080	2029.226287380	609.870	1024.170	0.6520	-28.30	23.95	
28	Spectrogram 1	1	2030.279585914	2031.078839014	786.238	1096.938	0.7993	-34.56	22.97	
29	Spectrogram 1	1	2032.301035257	2033.142354357	736.526	1007.426	0.8413	-30.67	25.11	
30	Spectrogram 1	1	2036.167389459	2037.050774359	23.900	255.000	0.8834	-50.82	15.33	
31	Spectrogram 1	1	2038.712379459	2039.490599559	47.800	247.000	0.7782	-53.47	15.18	
32	Spectrogram 1	1	2041.047039759	2042.035589559	39.800	239.000	0.9885	-52.52	13.32	
33	Spectrogram 1	1	2043.592029759	2044.580579659	31.900	247.000	0.9885	-50.73	16.33	
34	Spectrogram 1	1	2046.049673559	2046.954091559	31.900	207.200	0.9044	-52.12	13.95	
35	Spectrogram 1	1	2050.719000000	2050.951349352	0.000	8000.000	0.2323	-29.81	23.57	Phaser
36	Spectrogram 1	1	2053.760664249	2055.788440415	0.000	8000.000	2.0278	-27.10	23.25	Upsweep
37	Spectrogram 1	1	2057.752848576	2059.894320689	0.000	8000.000	2.1415	-27.40	22.65	Downsweep
38	Spectrogram 1	1	2062.780043659	2064.850065159	0.000	8000.000	2.0700	-27.30	24.06	
39	Spectrogram 1	1	2066.732874169	2068.845141009	0.000	8000.000	2.1123	-27.60	22.73	
40	Spectrogram 1	1	2071.738946579	2073.830090749	0.000	8000.000	2.0911	-27.37	23.60	
41	Spectrogram 1	1	2075.773376239	2077.885643079	0.000	8000.000	2.1123	-27.59	22.29	
42	Spectrogram 1	1	2079.776121899	2080.029593919	0.000	8000.000	0.2535	-29.68	24.26	
43	Spectrogram 1	1	2089.105218779	2093.593901599	580.000	1080.800	4.4887	-26.18	27.25	
44	Spectrogram 1	1	2104.501931729	2106.037338949	143.400	470.100	1.5354	-52.52	11.79	
45	Spectrogram 1	1	2107.062701289	2108.093317089	159.300	709.100	1.0306	-40.51	12.79	
46	Spectrogram 1	1	2093.638519279	2100.435279029	580.000	1526.500	6.7968	-28.96	26.05	
47	Spectrogram 1	1	2109.337806709	2110.111179809	326.700	756.900	0.7734	-27.80	23.59	
48	Spectrogram 1	1	2111.464582729	2112.446171669	294.800	669.300	0.9816	-37.72	15.21	
49	Spectrogram 1	1	2113.992917869	2114.810908649	318.700	693.200	0.8180	-35.09	20.13	
50	Spectrogram 1	1	2116.508821669	2117.311939889	278.900	605.500	0.8031	-43.01	13.17	
51	Spectrogram 1	1	2119.304862879	2120.167471339	294.800	701.100	0.8626	-34.21	19.94	
52	Spectrogram 1	1	2122.108773909	2123.224215879	255.000	669.300	1.1154	-45.71	12.99	
53	Spectrogram 1	1	2125.172521189	2126.496178999	159.300	390.400	1.3237	-54.75	12.10	
54	Spectrogram 1	1	2128.724782179	2130.063312549	127.500	398.400	1.3385	-54.28	12.35	
55	Spectrogram 1	1	2132.241002369	2133.787748569	127.500	398.400	1.5467	-53.99	11.80	
56	Spectrogram 1	1	2156.052321659	2163.245599259	589.600	1381.600	7.1933	-32.11	17.68	
57	Spectrogram 1	1	2163.413863059	2168.083183659	748.900	1593.500	4.6693	-26.70	24.08	
58	Spectrogram 1	1	2168.470441759	2171.478157259	358.500	900.300	3.0077	-38.97	12.72	
59	Spectrogram 1	1	2174.193084680	2175.034403680	661.334	980.034	0.8413	-36.35	20.09	
60	Spectrogram 1	1	2176.135343418	2176.913563518	605.247	1043.447	0.7782	-28.06	22.03	
61	Spectrogram 1	1	2178.043265080	2178.695287380	609.870	1024.170	0.6520	-27.89	23.09	
62	Spectrogram 1	1	2179.748585914	2180.547839014	786.238	1096.938	0.7993	-34.96	22.04	
63	Spectrogram 1	1	2181.770035257	2182.611354357	736.526	1007.426	0.8413	-30.86	25.16	
64	Spectrogram 1	1	2185.636389459	2186.519774359	23.900	255.000	0.8834	-51.85	14.33	
65	Spectrogram 1	1	2188.181379459	2188.959599559	47.800	247.000	0.7782	-54.17	13.07	
66	Spectrogram 1	1	2190.516039759	2191.504589559	39.800	239.000	0.9885	-52.98	14.96	
67	Spectrogram 1	1	2193.061029759	2194.049579659	31.900	247.000	0.9885	-51.63	14.92	
68	Spectrogram 1	1	2195.518673559	2196.423091559	31.900	207.200	0.9044	-52.48	14.13	
69	Spectrogram 1	1	2200.150000000	2200.382349352	0.000	8000.000	0.2323	-29.46	23.81	Phaser
70	Spectrogram 1	1	2203.191664249	2205.219440415	0.000	8000.000	2.0278	-27.21	22.96	Upsweep
71	Spectrogram 1	1	2207.183848576	2209.325320689	0.000	8000.000	2.1415	-27.73	22.17	Downsweep
72	Spectrogram 1	1	2212.211043659	2214.281065159	0.000	8000.000	2.0700	-27.43	22.91	
73	Spectrogram 1	1	2216.163874169	2218.276141009	0.000	8000.000	2.1123	-27.61	22.07	
74	Spectrogram 1	1	2221.169946579	2223.261090749	0.000	8000.000	2.0911	-27.36	23.59	
75	Spectrogram 1	1	2225.204376239	2227.316643079	0.000	8000.000	2.1123	-27.11	22.00	
76	Spectrogram 1	1	2229.207121899	2229.460593919	0.000	8000.000	0.2535	-28.15	25.02	
77	Spectrogram 1	1	2238.536218779	2243.024901599	580.000	1080.800	4.4887	-26.07	27.21	
78	Spectrogram 1	1	2253.932931729	2255.468338949	143.400	470.100	1.5354	-52.78	11.35	
79	Spectrogram 1	1	2256.493701289	2257.524317089	159.300	709.100	1.0306	-40.41	13.85	
80	Spectrogram 1	1	2243.069519279	2249.866279029	580.000	1526.500	6.7968	-28.97	26.32	
81	Spectrogram 1	1	2258.768806709	2259.542179809	326.700	756.900	0.7734	-27.88	23.88	
82	Spectrogram 1	1	2260.895582729	2261.877171669	294.800	669.300	0.9816	-37.79	15.27	
83	Spectrogram 1	1	2263.423917869	2264.241908649	318.700	693.200	0.8180	-34.80	19.94	
84	Spectrogram 1	1	2265.939821669	2266.742939889	278.900	605.500	0.8031	-43.06	12.86	
85	Spectrogram 1	1	2268.735862879	2269.598471339	294.800	701.100	0.8626	-34.28	19.13	
86	Spectrogram 1	1	2271.539773909	2272.655215879	255.000	669.300	1.1154	-45.58	12.98	
87	Spectrogram 1	1	2274.603521189	2275.927178999	159.300	390.400	1.3237	-54.60	12.78	
88	Spectrogram 1	1	2278.155782179	2279.494312549	127.500	398.400	1.3385	-54.35	12.99	
89	Spectrogram 1	1	2281.672002369	2283.218748569	127.500	398.400	1.5467	-54.58	11.13	
90	Spectrogram 1	1	2305.483321659	2312.676599259	589.600	1381.600	7.1933	-32.13	17.81	
91	Spectrogram 1	1	2312.844863059	2317.514183659	748.900	1593.500	4.6693	-26.58	23.89	
92	Spectrogram 1	1	2317.901441759	2320.909157259	358.500	900.300	3.0077	-39.31	12.52	
93	Spectrogram 1	1	2323.624084680	2324.465403680	661.334	980.034	0.8413	-36.35	22.28	
94	Spectrogram 1	1	2325.566343418	2326.344563518	605.247	1043.447	0.7782	-28.21	22.53	
95	Spectrogram 1	1	2327.474265080	2328.126287380	609.870	1024.170	0.6520	-28.44	23.85	
96	Spectrogram 1	1	2329.179585914	2329.978839014	786.238	1096.938	0.7993	-34.82	22.50	
97	Spectrogram 1	1	2331.201035257	2332.042354357	736.526	1007.426	0.8413	-31.04	26.80	
98	Spectrogram 1	1	2335.067389459	2335.950774359	23.900	255.000	0.8834	-52.29	13.95	
99	Spectrogram 1	1	2337.612379459	2338.390599559	47.800	247.000	0.7782	-55.04	11.43	
100	Spectrogram 1	1	2339.947039759	2340.935589559	39.800	239.000	0.9885	-54.66	11.70	
101	Spectrogram 1	1	2342.492029759	2343.480579659	31.900	247.000	0.9885	-52.06	13.92	
102	Spectrogram 1	1	2344.949673559	2345.854091559	31.900	207.200	0.9044	-52.92	13.91	
