Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2379.125000000	2379.357349352	0.000	8000.000	0.2323	-33.22	13.75	Phaser
2	Spectrogram 1	1	2382.166664249	2384.194440415	0.000	8000.000	2.0278	-33.16	13.97	Upsweep
3	Spectrogram 1	1	2386.158848576	2388.300320689	0.000	8000.000	2.1415	-33.04	14.70	Downsweep
4	Spectrogram 1	1	2391.186043659	2393.256065159	0.000	8000.000	2.0700	-32.92	14.42	
5	Spectrogram 1	1	2395.138874169	2397.251141009	0.000	8000.000	2.1123	-32.89	14.47	
6	Spectrogram 1	1	2400.144946579	2402.236090749	0.000	8000.000	2.0911	-33.01	14.40	
7	Spectrogram 1	1	2404.179376239	2406.291643079	0.000	8000.000	2.1123	-33.14	13.92	
8	Spectrogram 1	1	2408.182121899	2408.435593919	0.000	8000.000	0.2535	-33.20	13.29	
9	Spectrogram 1	1	2417.511218779	2421.999901599	580.000	1080.800	4.4887	-60.61	11.21	
10	Spectrogram 1	1	2432.907931729	2434.443338949	143.400	470.100	1.5354	-59.75	11.17	
11	Spectrogram 1	1	2435.468701289	2436.499317089	159.300	709.100	1.0306	-58.31	11.65	
12	Spectrogram 1	1	2422.044519279	2428.841279029	580.000	1526.500	6.7968	-55.53	11.80	
13	Spectrogram 1	1	2437.743806709	2438.517179809	326.700	756.900	0.7734	-60.76	10.61	
14	Spectrogram 1	1	2439.870582729	2440.852171669	294.800	669.300	0.9816	-61.51	10.89	
15	Spectrogram 1	1	2442.398917869	2443.216908649	318.700	693.200	0.8180	-61.15	10.48	
16	Spectrogram 1	1	2444.914821669	2445.717939889	278.900	605.500	0.8031	-61.65	10.14	
17	Spectrogram 1	1	2447.710862879	2448.573471339	294.800	701.100	0.8626	-61.16	10.33	
18	Spectrogram 1	1	2450.514773909	2451.630215879	255.000	669.300	1.1154	-60.32	10.70	
19	Spectrogram 1	1	2453.578521189	2454.902178999	159.300	390.400	1.3237	-60.28	9.91	
20	Spectrogram 1	1	2457.130782179	2458.469312549	127.500	398.400	1.3385	-59.48	9.97	
21	Spectrogram 1	1	2460.647002369	2462.193748569	127.500	398.400	1.5467	-59.25	10.95	
22	Spectrogram 1	1	2484.458321659	2491.651599259	589.600	1381.600	7.1933	-58.90	11.02	
23	Spectrogram 1	1	2491.819863059	2496.489183659	748.900	1593.500	4.6693	-52.67	13.78	
24	Spectrogram 1	1	2496.876441759	2499.884157259	358.500	900.300	3.0077	-58.85	10.57	
25	Spectrogram 1	1	2502.599084680	2503.440403680	661.334	980.034	0.8413	-59.71	11.16	
26	Spectrogram 1	1	2504.541343418	2505.319563518	605.247	1043.447	0.7782	-52.48	13.12	
27	Spectrogram 1	1	2506.449265080	2507.101287380	609.870	1024.170	0.6520	-60.97	11.57	
28	Spectrogram 1	1	2508.154585914	2508.953839014	786.238	1096.938	0.7993	-62.97	10.74	
29	Spectrogram 1	1	2510.176035257	2511.017354357	736.526	1007.426	0.8413	-56.09	14.41	
30	Spectrogram 1	1	2514.042389459	2514.925774359	23.900	255.000	0.8834	-50.56	17.14	
31	Spectrogram 1	1	2516.587379459	2517.365599559	47.800	247.000	0.7782	-54.27	12.92	
32	Spectrogram 1	1	2518.922039759	2519.910589559	39.800	239.000	0.9885	-52.12	15.00	
33	Spectrogram 1	1	2521.467029759	2522.455579659	31.900	247.000	0.9885	-50.32	16.19	
34	Spectrogram 1	1	2523.924673559	2524.829091559	31.900	207.200	0.9044	-50.95	16.61	
35	Spectrogram 1	1	2528.594000000	2528.826349352	0.000	8000.000	0.2323	-32.24	15.81	Phaser
36	Spectrogram 1	1	2531.635664249	2533.663440415	0.000	8000.000	2.0278	-32.55	15.85	Upsweep
37	Spectrogram 1	1	2535.627848576	2537.769320689	0.000	8000.000	2.1415	-32.29	15.95	Downsweep
38	Spectrogram 1	1	2540.655043659	2542.725065159	0.000	8000.000	2.0700	-32.57	15.58	
39	Spectrogram 1	1	2544.607874169	2546.720141009	0.000	8000.000	2.1123	-32.15	16.40	
40	Spectrogram 1	1	2549.613946579	2551.705090749	0.000	8000.000	2.0911	-32.80	15.45	
41	Spectrogram 1	1	2553.648376239	2555.760643079	0.000	8000.000	2.1123	-32.42	16.24	
42	Spectrogram 1	1	2557.651121899	2557.904593919	0.000	8000.000	0.2535	-32.56	15.61	
43	Spectrogram 1	1	2566.980218779	2571.468901599	580.000	1080.800	4.4887	-57.80	11.80	
44	Spectrogram 1	1	2582.376931729	2583.912338949	143.400	470.100	1.5354	-59.66	10.69	
45	Spectrogram 1	1	2584.937701289	2585.968317089	159.300	709.100	1.0306	-58.42	11.04	
46	Spectrogram 1	1	2571.513519279	2578.310279029	580.000	1526.500	6.7968	-54.67	11.82	
47	Spectrogram 1	1	2587.212806709	2587.986179809	326.700	756.900	0.7734	-60.99	11.02	
48	Spectrogram 1	1	2589.339582729	2590.321171669	294.800	669.300	0.9816	-61.21	10.93	
49	Spectrogram 1	1	2591.867917869	2592.685908649	318.700	693.200	0.8180	-61.49	11.28	
50	Spectrogram 1	1	2594.383821669	2595.186939889	278.900	605.500	0.8031	-54.46	10.50	
51	Spectrogram 1	1	2597.179862879	2598.042471339	294.800	701.100	0.8626	-61.32	9.94	
52	Spectrogram 1	1	2599.983773909	2601.099215879	255.000	669.300	1.1154	-60.29	10.99	
53	Spectrogram 1	1	2603.047521189	2604.371178999	159.300	390.400	1.3237	-60.23	9.93	
54	Spectrogram 1	1	2606.599782179	2607.938312549	127.500	398.400	1.3385	-58.60	10.88	
55	Spectrogram 1	1	2610.116002369	2611.662748569	127.500	398.400	1.5467	-58.86	11.09	
56	Spectrogram 1	1	2633.927321659	2641.120599259	589.600	1381.600	7.1933	-55.76	11.56	
57	Spectrogram 1	1	2641.288863059	2645.958183659	748.900	1593.500	4.6693	-51.94	14.49	
58	Spectrogram 1	1	2646.345441759	2649.353157259	358.500	900.300	3.0077	-50.69	16.11	
59	Spectrogram 1	1	2652.068084680	2652.909403680	661.334	980.034	0.8413	-62.39	10.68	
60	Spectrogram 1	1	2654.010343418	2654.788563518	605.247	1043.447	0.7782	-58.20	12.89	
61	Spectrogram 1	1	2655.918265080	2656.570287380	609.870	1024.170	0.6520	-55.60	13.21	
62	Spectrogram 1	1	2657.623585914	2658.422839014	786.238	1096.938	0.7993	-54.08	16.41	
63	Spectrogram 1	1	2659.645035257	2660.486354357	736.526	1007.426	0.8413	-62.96	10.25	
