Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	2334.850000000	2335.082349352	0.000	8000.000	0.2323	-32.26	17.83	Phaser
2	Spectrogram 1	1	2337.891664249	2339.919440415	0.000	8000.000	2.0278	-32.23	20.02	Upsweep
3	Spectrogram 1	1	2341.883848576	2344.025320689	0.000	8000.000	2.1415	-32.42	17.22	Downsweep
4	Spectrogram 1	1	2346.911043659	2348.981065159	0.000	8000.000	2.0700	-32.06	21.54	
5	Spectrogram 1	1	2350.863874169	2352.976141009	0.000	8000.000	2.1123	-32.25	19.08	
6	Spectrogram 1	1	2355.869946579	2357.961090749	0.000	8000.000	2.0911	-32.39	18.34	
7	Spectrogram 1	1	2359.904376239	2362.016643079	0.000	8000.000	2.1123	-32.41	18.26	
8	Spectrogram 1	1	2363.907121899	2364.160593919	0.000	8000.000	0.2535	-32.71	18.37	
9	Spectrogram 1	1	2373.236218779	2377.724901599	580.000	1080.800	4.4887	-52.08	15.45	
10	Spectrogram 1	1	2388.632931729	2390.168338949	143.400	470.100	1.5354	-59.53	11.04	
11	Spectrogram 1	1	2391.193701289	2392.224317089	159.300	709.100	1.0306	-56.67	11.02	
12	Spectrogram 1	1	2377.769519279	2384.566279029	580.000	1526.500	6.7968	-52.03	14.42	
13	Spectrogram 1	1	2393.468806709	2394.242179809	326.700	756.900	0.7734	-56.49	10.85	
14	Spectrogram 1	1	2395.595582729	2396.577171669	294.800	669.300	0.9816	-56.39	11.19	
15	Spectrogram 1	1	2398.123917869	2398.941908649	318.700	693.200	0.8180	-56.85	12.21	
16	Spectrogram 1	1	2400.639821669	2401.442939889	278.900	605.500	0.8031	-59.78	11.30	
17	Spectrogram 1	1	2403.435862879	2404.298471339	294.800	701.100	0.8626	-58.10	11.14	
18	Spectrogram 1	1	2406.239773909	2407.355215879	255.000	669.300	1.1154	-58.64	10.12	
19	Spectrogram 1	1	2409.303521189	2410.627178999	159.300	390.400	1.3237	-61.28	10.56	
20	Spectrogram 1	1	2412.855782179	2414.194312549	127.500	398.400	1.3385	-60.01	10.38	
21	Spectrogram 1	1	2416.372002369	2417.918748569	127.500	398.400	1.5467	-60.21	9.87	
22	Spectrogram 1	1	2440.183321659	2447.376599259	589.600	1381.600	7.1933	-53.01	13.24	
23	Spectrogram 1	1	2447.544863059	2452.214183659	748.900	1593.500	4.6693	-51.66	13.21	
24	Spectrogram 1	1	2452.601441759	2455.609157259	358.500	900.300	3.0077	-55.03	11.85	
25	Spectrogram 1	1	2458.324084680	2459.165403680	661.334	980.034	0.8413	-57.20	12.45	
26	Spectrogram 1	1	2460.266343418	2461.044563518	605.247	1043.447	0.7782	-53.24	13.51	
27	Spectrogram 1	1	2462.174265080	2462.826287380	609.870	1024.170	0.6520	-53.53	12.53	
28	Spectrogram 1	1	2463.879585914	2464.678839014	786.238	1096.938	0.7993	-59.20	11.30	
29	Spectrogram 1	1	2465.901035257	2466.742354357	736.526	1007.426	0.8413	-55.91	10.33	
30	Spectrogram 1	1	2469.767389459	2470.650774359	23.900	255.000	0.8834	-52.41	15.16	
31	Spectrogram 1	1	2472.312379459	2473.090599559	47.800	247.000	0.7782	-57.48	12.58	
