"","wav.file","center.freq","high.freq","noise.valuedb","noise.file"
"1","M1_20190823_064003.wav",100,112,44.2069175651074,2
"2","M1_20190823_064003.wav",125,141,34.3139816765451,2
"3","M1_20190823_064003.wav",160,178,34.7927001456813,2
"4","M1_20190823_064003.wav",200,224,36.5180135292118,2
"5","M1_20190823_064003.wav",250,282,39.5703012713914,2
"6","M1_20190823_064003.wav",315,355,44.4997719009074,2
"7","M1_20190823_064003.wav",400,447,46.0528968170841,2
"8","M1_20190823_064003.wav",500,562,45.154272170498,2
"9","M1_20190823_064003.wav",630,708,44.1481745211757,2
"10","M1_20190823_064003.wav",800,891,45.0014811383682,2
"11","M1_20190823_064003.wav",1000,1122,43.2058856611937,2
"12","M1_20190823_064003.wav",1250,1413,42.3215189175304,2
"13","M1_20190823_064003.wav",1600,1778,40.7454594597915,2
"14","M1_20190823_064003.wav",2000,2239,37.5096258061168,2
"15","M1_20190823_064003.wav",2500,2818,35.8383515542899,2
"16","M1_20190823_064003.wav",3150,3548,39.5446783198612,2
"17","M1_20190823_064003.wav",4000,4467,34.1460161143184,2
"18","M1_20190823_064003.wav",5000,5623,46.0672117998859,2
"19","M1_20190823_064003.wav",6300,7079,41.5927927165795,2
"20","M2_20190823_064003.wav",100,112,35.3382914973049,2
"21","M2_20190823_064003.wav",125,141,31.6505306347342,2
"22","M2_20190823_064003.wav",160,178,32.4500082316041,2
"23","M2_20190823_064003.wav",200,224,31.7585724133742,2
"24","M2_20190823_064003.wav",250,282,32.4034685407533,2
"25","M2_20190823_064003.wav",315,355,35.1716810532136,2
"26","M2_20190823_064003.wav",400,447,37.1365348071579,2
"27","M2_20190823_064003.wav",500,562,38.3321435180937,2
"28","M2_20190823_064003.wav",630,708,39.0858738862037,2
"29","M2_20190823_064003.wav",800,891,38.5657789856101,2
"30","M2_20190823_064003.wav",1000,1122,37.1388843251994,2
"31","M2_20190823_064003.wav",1250,1413,35.3118836166093,2
"32","M2_20190823_064003.wav",1600,1778,34.726614752787,2
"33","M2_20190823_064003.wav",2000,2239,32.4704784883674,2
"34","M2_20190823_064003.wav",2500,2818,32.6418842498792,2
"35","M2_20190823_064003.wav",3150,3548,38.4295073915277,2
"36","M2_20190823_064003.wav",4000,4467,31.7512920463297,2
"37","M2_20190823_064003.wav",5000,5623,46.158536614901,2
"38","M2_20190823_064003.wav",6300,7079,42.7062754621765,2
"39","M3_20190823_064003.wav",100,112,33.5901679700543,2
"40","M3_20190823_064003.wav",125,141,29.6505992372743,2
"41","M3_20190823_064003.wav",160,178,31.7337033149305,2
"42","M3_20190823_064003.wav",200,224,32.6193815503804,2
"43","M3_20190823_064003.wav",250,282,36.2788850342062,2
"44","M3_20190823_064003.wav",315,355,38.9371351901844,2
"45","M3_20190823_064003.wav",400,447,39.5854208867402,2
"46","M3_20190823_064003.wav",500,562,38.85862619571,2
"47","M3_20190823_064003.wav",630,708,38.3326758752938,2
"48","M3_20190823_064003.wav",800,891,38.8295694257604,2
"49","M3_20190823_064003.wav",1000,1122,37.8901705509485,2
"50","M3_20190823_064003.wav",1250,1413,36.7206813347319,2
"51","M3_20190823_064003.wav",1600,1778,36.0668582556937,2
"52","M3_20190823_064003.wav",2000,2239,31.7365601143955,2
"53","M3_20190823_064003.wav",2500,2818,32.1055228124474,2
"54","M3_20190823_064003.wav",3150,3548,41.4802448593974,2
"55","M3_20190823_064003.wav",4000,4467,32.4918748384236,2
"56","M3_20190823_064003.wav",5000,5623,46.1509511439707,2
"57","M3_20190823_064003.wav",6300,7079,41.6232421462815,2
"58","M4_20190823_064003.wav",100,112,38.0482257004521,2
"59","M4_20190823_064003.wav",125,141,26.6932156769719,2
"60","M4_20190823_064003.wav",160,178,27.8496090202492,2
"61","M4_20190823_064003.wav",200,224,28.4717101432583,2
"62","M4_20190823_064003.wav",250,282,28.7385686438565,2
"63","M4_20190823_064003.wav",315,355,30.3651908248481,2
"64","M4_20190823_064003.wav",400,447,31.7877370999164,2
"65","M4_20190823_064003.wav",500,562,31.71321172231,2
"66","M4_20190823_064003.wav",630,708,32.52979206797,2
"67","M4_20190823_064003.wav",800,891,32.4733942921717,2
"68","M4_20190823_064003.wav",1000,1122,31.9339726086717,2
"69","M4_20190823_064003.wav",1250,1413,31.1318021112674,2
"70","M4_20190823_064003.wav",1600,1778,33.1371426110177,2
"71","M4_20190823_064003.wav",2000,2239,29.8238155001837,2
"72","M4_20190823_064003.wav",2500,2818,31.4742345788474,2
"73","M4_20190823_064003.wav",3150,3548,42.0164622150562,2
"74","M4_20190823_064003.wav",4000,4467,30.893195783656,2
"75","M4_20190823_064003.wav",5000,5623,38.0277763272423,2
"76","M4_20190823_064003.wav",6300,7079,34.3638793723673,2
"77","M5_20190823_064007.wav",100,112,39.5222616480422,2
"78","M5_20190823_064007.wav",125,141,29.7576233850654,2
"79","M5_20190823_064007.wav",160,178,30.3575089731582,2
"80","M5_20190823_064007.wav",200,224,29.8480560148949,2
"81","M5_20190823_064007.wav",250,282,30.9023058522048,2
"82","M5_20190823_064007.wav",315,355,33.1245481314537,2
"83","M5_20190823_064007.wav",400,447,33.6596522424232,2
"84","M5_20190823_064007.wav",500,562,32.7418788686198,2
"85","M5_20190823_064007.wav",630,708,33.8535735782721,2
"86","M5_20190823_064007.wav",800,891,33.5674820075711,2
"87","M5_20190823_064007.wav",1000,1122,32.8707744031173,2
"88","M5_20190823_064007.wav",1250,1413,31.763806274512,2
"89","M5_20190823_064007.wav",1600,1778,34.5802447387133,2
"90","M5_20190823_064007.wav",2000,2239,30.7420088315936,2
"91","M5_20190823_064007.wav",2500,2818,32.6781149084125,2
"92","M5_20190823_064007.wav",3150,3548,43.6139061572299,2
"93","M5_20190823_064007.wav",4000,4467,34.1375314532745,2
"94","M5_20190823_064007.wav",5000,5623,46.4738291861675,2
"95","M5_20190823_064007.wav",6300,7079,38.4476845287508,2
"96","M6_20190823_064007.wav",100,112,33.5134610862103,2
"97","M6_20190823_064007.wav",125,141,29.3285284622889,2
"98","M6_20190823_064007.wav",160,178,29.2602400080585,2
"99","M6_20190823_064007.wav",200,224,29.0073037201267,2
"100","M6_20190823_064007.wav",250,282,30.2946180553595,2
"101","M6_20190823_064007.wav",315,355,30.6088664834068,2
"102","M6_20190823_064007.wav",400,447,31.032090086326,2
"103","M6_20190823_064007.wav",500,562,31.5060696194076,2
"104","M6_20190823_064007.wav",630,708,31.6603806934956,2
"105","M6_20190823_064007.wav",800,891,31.1989460468422,2
"106","M6_20190823_064007.wav",1000,1122,30.853067640016,2
"107","M6_20190823_064007.wav",1250,1413,29.8792151816237,2
"108","M6_20190823_064007.wav",1600,1778,33.2079169915457,2
"109","M6_20190823_064007.wav",2000,2239,29.5715323189983,2
"110","M6_20190823_064007.wav",2500,2818,30.9072001225679,2
"111","M6_20190823_064007.wav",3150,3548,40.2844866966788,2
"112","M6_20190823_064007.wav",4000,4467,33.4781440922983,2
"113","M6_20190823_064007.wav",5000,5623,38.6488891080108,2
"114","M6_20190823_064007.wav",6300,7079,31.0037487233883,2
"115","M1_20190823_080004.wav",100,112,41.0979876451551,2
"116","M1_20190823_080004.wav",125,141,33.2369296109084,2
"117","M1_20190823_080004.wav",160,178,34.2272872561605,2
"118","M1_20190823_080004.wav",200,224,37.2431094058958,2
"119","M1_20190823_080004.wav",250,282,40.4291926622425,2
"120","M1_20190823_080004.wav",315,355,44.0077659019648,2
"121","M1_20190823_080004.wav",400,447,45.8420422241562,2
"122","M1_20190823_080004.wav",500,562,45.1854510930683,2
"123","M1_20190823_080004.wav",630,708,44.355227736027,2
"124","M1_20190823_080004.wav",800,891,44.8373791329114,2
"125","M1_20190823_080004.wav",1000,1122,43.6372568101619,2
"126","M1_20190823_080004.wav",1250,1413,42.6333502546616,2
"127","M1_20190823_080004.wav",1600,1778,41.1768930504655,2
"128","M1_20190823_080004.wav",2000,2239,38.2136130830272,2
"129","M1_20190823_080004.wav",2500,2818,37.3307216743012,2
"130","M1_20190823_080004.wav",3150,3548,40.6240384471542,2
"131","M1_20190823_080004.wav",4000,4467,39.9312056118375,2
"132","M1_20190823_080004.wav",5000,5623,48.1828049417067,2
"133","M1_20190823_080004.wav",6300,7079,47.8531836003108,2
"134","M2_20190823_080004.wav",100,112,31.7841924705136,2
"135","M2_20190823_080004.wav",125,141,31.5456616655237,2
"136","M2_20190823_080004.wav",160,178,32.2880548147653,2
"137","M2_20190823_080004.wav",200,224,31.5510752161748,2
"138","M2_20190823_080004.wav",250,282,32.9898567571819,2
"139","M2_20190823_080004.wav",315,355,35.2150709303535,2
"140","M2_20190823_080004.wav",400,447,37.1134492228475,2
"141","M2_20190823_080004.wav",500,562,38.5425388756613,2
"142","M2_20190823_080004.wav",630,708,39.0506180784604,2
"143","M2_20190823_080004.wav",800,891,38.8372723914948,2
"144","M2_20190823_080004.wav",1000,1122,37.3796474710526,2
"145","M2_20190823_080004.wav",1250,1413,35.5008216094247,2
"146","M2_20190823_080004.wav",1600,1778,34.8913428735805,2
"147","M2_20190823_080004.wav",2000,2239,32.9948446056044,2
"148","M2_20190823_080004.wav",2500,2818,32.6645664016262,2
"149","M2_20190823_080004.wav",3150,3548,39.038705992842,2
"150","M2_20190823_080004.wav",4000,4467,37.9990768496157,2
"151","M2_20190823_080004.wav",5000,5623,45.3572740225579,2
"152","M2_20190823_080004.wav",6300,7079,46.8929186936347,2
"153","M3_20190823_080004.wav",100,112,32.6106239856204,2
"154","M3_20190823_080004.wav",125,141,31.2758423781289,2
"155","M3_20190823_080004.wav",160,178,31.9818558523115,2
"156","M3_20190823_080004.wav",200,224,32.7580220065407,2
"157","M3_20190823_080004.wav",250,282,35.8732558895358,2
"158","M3_20190823_080004.wav",315,355,39.1208356105016,2
"159","M3_20190823_080004.wav",400,447,39.8724326333695,2
"160","M3_20190823_080004.wav",500,562,39.0085306827144,2
"161","M3_20190823_080004.wav",630,708,39.1411898736477,2
"162","M3_20190823_080004.wav",800,891,40.5222867760753,2
"163","M3_20190823_080004.wav",1000,1122,38.587523568197,2
"164","M3_20190823_080004.wav",1250,1413,36.24078367861,2
"165","M3_20190823_080004.wav",1600,1778,36.4361592446067,2
"166","M3_20190823_080004.wav",2000,2239,32.6486767364795,2
"167","M3_20190823_080004.wav",2500,2818,32.7410626250221,2
"168","M3_20190823_080004.wav",3150,3548,40.502530902319,2
"169","M3_20190823_080004.wav",4000,4467,36.5711769367225,2
"170","M3_20190823_080004.wav",5000,5623,46.6882724036414,2
"171","M3_20190823_080004.wav",6300,7079,45.8015337528622,2
"172","M4_20190823_080004.wav",100,112,33.1519869286242,2
"173","M4_20190823_080004.wav",125,141,27.8478859404723,2
"174","M4_20190823_080004.wav",160,178,28.6310382624403,2
"175","M4_20190823_080004.wav",200,224,28.8753910609145,2
"176","M4_20190823_080004.wav",250,282,29.4220101354245,2
"177","M4_20190823_080004.wav",315,355,30.9148232058854,2
"178","M4_20190823_080004.wav",400,447,31.5417499232869,2
"179","M4_20190823_080004.wav",500,562,31.8377559220488,2
"180","M4_20190823_080004.wav",630,708,33.5819261011408,2
"181","M4_20190823_080004.wav",800,891,35.4218195167574,2
"182","M4_20190823_080004.wav",1000,1122,33.7917374146387,2
"183","M4_20190823_080004.wav",1250,1413,30.9477265720734,2
"184","M4_20190823_080004.wav",1600,1778,33.5156089126726,2
"185","M4_20190823_080004.wav",2000,2239,31.0215911566787,2
"186","M4_20190823_080004.wav",2500,2818,31.2609785878003,2
"187","M4_20190823_080004.wav",3150,3548,36.4611183104983,2
"188","M4_20190823_080004.wav",4000,4467,31.2667671447162,2
"189","M4_20190823_080004.wav",5000,5623,39.1952582395791,2
"190","M4_20190823_080004.wav",6300,7079,36.1643412346476,2
"191","M5_20190823_080008.wav",100,112,34.6910073968665,2
"192","M5_20190823_080008.wav",125,141,30.406547695233,2
"193","M5_20190823_080008.wav",160,178,29.5847141568441,2
"194","M5_20190823_080008.wav",200,224,29.6099356947302,2
"195","M5_20190823_080008.wav",250,282,30.8311342773993,2
