"","wav.file","center.freq","high.freq","noise.valuedb","noise.file"
"1","S00974_20190805_084413.wav",100,112,27.4853107108778,2
"2","S00974_20190805_084413.wav",125,141,27.8906519051181,2
"3","S00974_20190805_084413.wav",160,178,27.162180278468,2
"4","S00974_20190805_084413.wav",200,224,27.191520280449,2
"5","S00974_20190805_084413.wav",250,282,26.7075741000739,2
"6","S00974_20190805_084413.wav",315,355,26.863691764496,2
"7","S00974_20190805_084413.wav",400,447,26.5642412027817,2
"8","S00974_20190805_084413.wav",500,562,27.2704853176274,2
"9","S00974_20190805_084413.wav",630,708,26.8313783368718,2
"10","S00974_20190805_084413.wav",800,891,27.1342439645231,2
"11","S00974_20190805_084413.wav",1000,1122,27.0777201227545,2
"12","S00974_20190805_084413.wav",1250,1413,27.3711162647742,2
"13","S00974_20190805_084413.wav",1600,1778,27.4164415821718,2
"14","S00974_20190805_084413.wav",2000,2239,27.2958446133241,2
"15","S00974_20190805_084413.wav",2500,2818,27.8151993399835,2
"16","S00974_20190805_084413.wav",3150,3548,34.212297287955,2
"17","S00974_20190805_084413.wav",4000,4467,28.5809877063225,2
"18","S00974_20190805_084413.wav",5000,5623,28.7088066952016,2
"19","S00974_20190805_084413.wav",6300,7079,29.8553622600196,2
"20","S00974_20190805_144415.wav",100,112,27.6549831060352,2
"21","S00974_20190805_144415.wav",125,141,26.4577354450156,2
"22","S00974_20190805_144415.wav",160,178,27.1332493659883,2
"23","S00974_20190805_144415.wav",200,224,27.1717880445967,2
"24","S00974_20190805_144415.wav",250,282,27.1529930544937,2
"25","S00974_20190805_144415.wav",315,355,26.7957941018354,2
"26","S00974_20190805_144415.wav",400,447,26.4425000511987,2
"27","S00974_20190805_144415.wav",500,562,26.2792220885379,2
"28","S00974_20190805_144415.wav",630,708,27.0857913601753,2
"29","S00974_20190805_144415.wav",800,891,26.7091121809351,2
"30","S00974_20190805_144415.wav",1000,1122,26.9423877157819,2
"31","S00974_20190805_144415.wav",1250,1413,27.2172750815877,2
"32","S00974_20190805_144415.wav",1600,1778,27.3029671315609,2
"33","S00974_20190805_144415.wav",2000,2239,27.4565396061588,2
"34","S00974_20190805_144415.wav",2500,2818,28.0937023674504,2
"35","S00974_20190805_144415.wav",3150,3548,30.8674708538211,2
"36","S00974_20190805_144415.wav",4000,4467,28.3726541634526,2
"37","S00974_20190805_144415.wav",5000,5623,28.8708340533002,2
"38","S00974_20190805_144415.wav",6300,7079,29.5083996498679,2
"39","S00974_20190805_154415.wav",100,112,27.1302072656784,2
"40","S00974_20190805_154415.wav",125,141,27.3267937865008,2
"41","S00974_20190805_154415.wav",160,178,27.1198752976415,2
"42","S00974_20190805_154415.wav",200,224,27.0405813580022,2
"43","S00974_20190805_154415.wav",250,282,26.9172471223423,2
"44","S00974_20190805_154415.wav",315,355,26.7255112586472,2
"45","S00974_20190805_154415.wav",400,447,26.7454013214144,2
"46","S00974_20190805_154415.wav",500,562,26.934016985926,2
"47","S00974_20190805_154415.wav",630,708,26.4889974840165,2
"48","S00974_20190805_154415.wav",800,891,26.7565757483833,2
"49","S00974_20190805_154415.wav",1000,1122,26.7273104077388,2
"50","S00974_20190805_154415.wav",1250,1413,27.1794304814834,2
"51","S00974_20190805_154415.wav",1600,1778,27.4158072050316,2
"52","S00974_20190805_154415.wav",2000,2239,27.2299311945187,2
